Allen St & Stanton St	(20, 10)
Lispenard St & Broadway	(186, 188)
Riverside Dr & W 82 St	(78, 78)
Riverside Blvd & W 67 St	(1, 12)
W 43 St & 10 Ave	(172, 194)
W 44 St & 5 Ave	(10, 8)
Prospect Park West & 8 St	(5, 3)
Classon Ave & St Marks Ave	(66, 62)
Bank St & Hudson St	(128, 137)
Bayard St & Baxter St	(2, 19)
9 Ave & W 18 St	(7, 12)
1 Ave & E 18 St	(227, 199)
Hope St & Union Ave	(6, 0)
Central Park S & 6 Ave	(6, 17)
W 22 St & 8 Ave	(12, 6)
E 20 St & FDR Drive	(31, 39)
E 11 St & 1 Ave	(220, 226)
E 10 St & 5 Ave	(4, 6)
W 20 St & 8 Ave	(5, 12)
Howard St & Centre St	(209, 211)
Bedford Ave & Bergen St	(3, 2)
Vernon Blvd & 50 Ave	(101, 103)
McGuinness Blvd & Eagle St	(25, 20)
N 6 St & Bedford Ave	(180, 181)
Leonard St & Maujer St	(3, 2)
1 Ave & E 30 St	(8, 9)
W 13 St & 7 Ave	(11, 10)
Wyckoff Av & Jefferson St	(3, 2)
Devoe St & Lorimer St	(3, 1)
Clinton Ave & Myrtle Ave	(130, 124)
1 Ave & E 78 St	(184, 190)
3 Ave & E 112 St	(0, 1)
MacDougal St & Prince St	(27, 15)
1 Ave & E 44 St	(9, 9)
W 67 St & Broadway	(9, 10)
E 15 St & 3 Ave	(17, 15)
E 23 St & 1 Ave	(219, 224)
E 58 St &  1 Ave (NW Corner)	(6, 10)
Watts St & Greenwich St	(10, 20)
Vesey Pl & River Terrace	(319, 331)
8 Ave & W 52 St	(12, 8)
Cooper Square & Astor Pl	(13, 21)
W 20 St & 7 Ave	(8, 18)
West End Ave & W 107 St	(3, 3)
W 100 St & Broadway	(4, 4)
Putnam Ave & Nostrand Ave	(0, 2)
E 2 St & 2 Ave	(17, 15)
LaGuardia Pl & W 3 St	(6, 16)
MacDougal St & Washington Sq	(5, 4)
Norfolk St & Broome St	(10, 11)
E 81 St & York Ave	(82, 78)
St Marks Pl & 1 Ave	(11, 11)
E 75 St & 3 Ave	(1, 6)
Willoughby Ave & Wyckoff Ave	(1, 1)
W Broadway & Spring Street	(15, 12)
Broadway & Berry St	(8, 9)
Centre St & Worth St	(15, 6)
2 Ave & E 72 St	(11, 14)
E 20 St & Park Ave	(15, 9)
W 47 St & 10 Ave	(10, 6)
E 32 St & Park Ave	(11, 17)
Willoughby Ave & Hall St	(3, 4)
Metropolitan Ave & Meeker Ave	(5, 5)
Christopher St & Greenwich St	(35, 24)
Greenwich Ave & 8 Ave	(11, 10)
E 2 St & Avenue C	(136, 137)
Marcy Ave & Lafayette Ave	(1, 0)
Division St & Bowery	(9, 9)
11 Ave & W 41 St	(10, 8)
Reade St & Broadway	(6, 10)
E 27 St & 1 Ave	(12, 14)
W 15 St & 10 Ave	(214, 214)
Underhill Ave & Pacific St	(60, 49)
Lafayette Ave & St James Pl	(11, 4)
E 4 St & 2 Ave	(13, 7)
7 Ave & Central Park South	(8, 4)
W 42 St & 8 Ave	(6, 12)
Lafayette St & E 8 St	(12, 16)
University Pl & E 14 St	(14, 12)
Nassau Ave & Newell St	(9, 12)
West St & Chambers St	(25, 29)
W 37 St & 10 Ave	(12, 9)
W 4 St & 7 Ave S	(16, 14)
Hudson St & Reade St	(5, 9)
Clermont Ave & Park Ave	(1, 2)
Emerson Pl & Myrtle Ave	(7, 1)
E 10 St & Avenue A	(16, 14)
Fulton St & Waverly Ave	(4, 3)
Greenwich Ave & Charles St	(4, 12)
E 33 St & 1 Ave	(10, 11)
E 12 St & 3 Ave	(7, 4)
Broadway & W 53 St	(13, 11)
Fulton St & Utica Ave	(0, 1)
Water - Whitehall Plaza	(5, 7)
