Water - Whitehall Plaza	(5, 13)
W 15 St & 6 Ave	(9, 9)
W 33 St & 7 Ave	(10, 8)
W 67 St & Broadway	(5, 3)
Greenpoint Ave & Manhattan Ave	(5, 6)
Amsterdam Ave & W 82 St	(3, 4)
Washington St & Gansevoort St	(9, 13)
Old Slip & Front St	(4, 11)
W 27 St & 10 Ave	(4, 7)
Avenue C & E 18 St	(4, 6)
Fulton St & William St	(9, 7)
W 38 St & 8 Ave	(15, 15)
West End Ave & W 107 St	(2, 0)
E 6 St & Avenue B	(7, 15)
W 53 St & 10 Ave	(10, 3)
Leonard St & Church St	(4, 6)
John St & William St	(10, 11)
E 25 St & 2 Ave	(7, 10)
W 56 St & 10 Ave	(3, 8)
E 45 St & 3 Ave	(6, 10)
E 17 St & Broadway	(33, 24)
Jay St & Tech Pl	(2, 2)
N 11 St & Kent Ave	(4, 1)
E 88 St & 1 Ave	(4, 6)
Union Ave & N 12 St	(5, 5)
Liberty St & Broadway	(12, 10)
Broadway & W 60 St	(17, 7)
3 Ave & E 62 St	(3, 5)
FDR Drive & E 35 St	(13, 15)
Broadway & Berry St	(10, 8)
E 4 St & 2 Ave	(10, 10)
Vernon Blvd & 47 Rd	(3, 3)
W 52 St & 6 Ave	(4, 3)
Park Ave & E 124 St	(3, 4)
W 49 St & 8 Ave	(7, 5)
E 118 St & Park Ave	(0, 1)
3 Ave & Schermerhorn St	(1, 1)
Huron St & Franklin St	(8, 14)
W 4 St & 7 Ave S	(11, 12)
W 84 St & Broadway	(1, 2)
Cedar St & Myrtle Ave	(1, 0)
Henry St & Atlantic Ave	(3, 4)
W 70 St & Amsterdam Ave	(16, 9)
Degraw St & Hoyt St	(2, 1)
South St & Gouverneur Ln	(5, 10)
Broadway & E 14 St	(28, 20)
12 Ave & W 40 St	(14, 16)
Monroe St & Bedford Ave	(1, 0)
W 100 St & Broadway	(4, 2)
W 13 St & 5 Ave	(13, 14)
Emerson Pl & Myrtle Ave	(3, 1)
Columbus Ave & W 72 St	(4, 2)
E 53 St & Madison Ave	(8, 4)
46 Ave & 5 St	(9, 6)
Barclay St & Church St	(18, 14)
W 22 St & 10 Ave	(12, 5)
W 45 St & 8 Ave	(7, 7)
Columbus Ave & W 95 St	(3, 3)
Bank St & Washington St	(9, 8)
Underhill Ave & Lincoln Pl	(3, 1)
W 25 St & 6 Ave	(7, 9)
Allen St & Rivington St	(14, 7)
Bus Slip & State St	(3, 8)
28 St & 38 Ave	(1, 0)
11 St & 43 Ave	(1, 3)
India St & Manhattan Ave	(2, 5)
W 106 St & Central Park West	(1, 0)
Stanton St & Norfolk St	(11, 8)
Clinton St & Union St	(3, 6)
Murray St & Greenwich St	(12, 6)
Cathedral Pkwy & Broadway	(1, 1)
Columbia St & Degraw St	(2, 1)
Broadway & W 53 St	(2, 5)
William St & Pine St	(6, 9)
DeKalb Ave & Hudson Ave	(3, 5)
W 34 St & 11 Ave	(12, 19)
Bond St & Fulton St	(5, 5)
Cumberland St & Lafayette Ave	(4, 1)
Lexington Ave & Classon Ave	(3, 3)
E 47 St & 2 Ave	(8, 10)
McGuinness Blvd & Eagle St	(12, 14)
Driggs Ave & N Henry St	(1, 5)
Cleveland Pl & Spring St	(17, 15)
Lefferts Pl & Franklin Ave	(1, 2)
Hanson Pl & Ashland Pl	(6, 5)
E 6 St & Avenue D	(9, 1)
W 11 St & 6 Ave	(6, 5)
E 118 St & 3 Ave	(1, 0)
Sullivan St & Washington Sq	(5, 1)
Park Pl & Vanderbilt Ave	(6, 1)
Amsterdam Ave & W 79 St	(2, 3)
E 53 St & 3 Ave	(6, 6)
Reade St & Broadway	(8, 9)
W 20 St & 7 Ave	(6, 7)
Broadway & W 37 St	(6, 7)
Hicks St & Montague St	(3, 4)
E 85 St & York Ave	(1, 2)
Bayard St & Baxter St	(9, 6)
E 10 St & 5 Ave	(7, 2)
Duane St & Greenwich St	(7, 3)
S Portland Ave & Hanson Pl	(3, 3)
Center Blvd & 51 Ave	(4, 2)
West Drive & Prospect Park West	(3, 0)
Broadway & W 29 St	(6, 10)
E 72 St & Park Ave	(4, 5)
1 Pl & Clinton St	(2, 1)
Broadway & W 38 St	(2, 8)
Milton St & Franklin St	(7, 11)
11 Ave & W 41 St	(8, 7)
11 Ave & W 59 St	(6, 8)
W 13 St & 7 Ave	(8, 10)
W 52 St & 5 Ave	(8, 6)
W 59 St & 10 Ave	(4, 6)
Central Park West & W 72 St	(2, 4)
6 Ave & Canal St	(17, 21)
6 Ave & 12 St	(1, 1)
Fulton St & Broadway	(11, 11)
Dean St & 4 Ave	(1, 5)
E 12 St & 3 Ave	(12, 13)
Broadway & E 22 St	(22, 31)
Park Pl & Church St	(14, 6)
W 88 St & West End Ave	(2, 3)
E 51 St & 1 Ave	(5, 8)
Cliff St & Fulton St	(9, 8)
Pershing Square South	(13, 11)
W 37 St & 10 Ave	(5, 7)
E 81 St & 3 Ave	(1, 2)
Butler St & Court St	(2, 2)
2 Ave & E 31 St	(8, 7)
E 76 St & Park Ave	(2, 1)
1 Ave & E 30 St	(6, 7)
W 46 St & 11 Ave	(8, 4)
Cadman Plaza West & Montague St	(0, 2)
