Allen St & Hester St	(18, 12)
Howard St & Centre St	(191, 192)
Suffolk St & Stanton St	(154, 157)
Fulton St & Broadway	(15, 18)
W 43 St & 10 Ave	(192, 193)
W 35 St & Dyer Ave	(3, 7)
Lispenard St & Broadway	(198, 197)
E 16 St & Irving Pl	(11, 9)
Greenwich St & W Houston St	(24, 13)
Bank St & Hudson St	(158, 156)
6 Ave & Broome St	(15, 10)
Grand Ave & Bergen St	(2, 3)
Stanton St & Chrystie St	(18, 16)
3 Ave & 14 St	(1, 0)
W Broadway & Spring Street	(13, 5)
E 7 St & Avenue A	(13, 19)
E 11 St & 1 Ave	(204, 206)
W 42 St & 8 Ave	(11, 11)
W 15 St & 10 Ave	(178, 179)
E 19 St & 3 Ave	(7, 12)
E 11 St & Avenue B	(8, 10)
E 48 St & 3 Ave	(6, 3)
1 Ave & E 78 St	(200, 199)
Eastern Pkwy & Franklin Ave	(11, 3)
6 Ave & W 33 St	(10, 10)
N 6 St & Bedford Ave	(196, 193)
Broad St & Bridge St	(56, 79)
Christopher St & Greenwich St	(28, 40)
Broadway & E 14 St	(28, 27)
E 72 St & Park Ave	(3, 2)
Classon Ave & St Marks Ave	(40, 56)
Cumberland St & Lafayette Ave	(0, 1)
Mercer St & Spring St	(16, 10)
E 11 St & 2 Ave	(7, 7)
Underhill Ave & Pacific St	(39, 35)
Avenue C & E 18 St	(7, 7)
1 Ave & E 18 St	(239, 227)
31 St & Astoria Blvd	(0, 1)
Watts St & Greenwich St	(20, 13)
W 4 St & 7 Ave S	(11, 9)
St Marks Pl & 1 Ave	(13, 18)
W 41 St & 8 Ave	(19, 18)
Murray St & West St	(148, 149)
Washington St & Gansevoort St	(9, 17)
University Pl & E 14 St	(12, 10)
St James Pl & Pearl St	(6, 2)
W 15 St & 7 Ave	(18, 9)
E 59 St & Madison Ave	(132, 132)
Peck Slip & Front St	(13, 14)
Nassau Ave & Russell St	(4, 6)
E 81 St & York Ave	(93, 88)
E 43 St & 2 Ave	(7, 6)
E 89 St & York Ave	(3, 8)
LaGuardia Pl & W 3 St	(9, 12)
1 Ave & E 44 St	(7, 9)
E 13 St & Avenue A	(8, 17)
W 27 St & 7 Ave	(10, 5)
Liberty St & Broadway	(7, 4)
W 67 St & Broadway	(10, 9)
W 31 St & 7 Ave	(17, 19)
W 56 St & 10 Ave	(4, 11)
8 Ave & W 33 St	(10, 13)
E 85 St & York Ave	(4, 5)
W 18 St & 6 Ave	(20, 13)
Mott St & Prince St	(14, 13)
Pershing Square North	(40, 25)
Leonard St & Church St	(5, 7)
Fulton St & Adams St	(129, 132)
Front St & Washington St	(7, 11)
E 75 St & 3 Ave	(2, 4)
E 51 St & 1 Ave	(6, 6)
Cliff St & Fulton St	(9, 10)
E 74 St & 1 Ave	(4, 6)
S 3 St & Bedford Ave	(34, 17)
W 15 St & 6 Ave	(13, 7)
E 51 St & Lexington Ave	(149, 132)
1 Ave & E 16 St	(23, 10)
E 23 St & 1 Ave	(240, 233)
Fulton St & Utica Ave	(1, 2)
Richardson St & N Henry St	(2, 4)
W 52 St & 11 Ave	(8, 7)
E 20 St & 2 Ave	(13, 7)
9 Ave & W 45 St	(8, 10)
E 12 St & 3 Ave	(10, 12)
E 17 St & Broadway	(18, 20)
Canal St & Rutgers St	(13, 8)
Duffield St & Willoughby St	(7, 5)
MacDougal St & Prince St	(25, 19)
E 93 St & 2 Ave	(6, 4)
Clinton Ave & Myrtle Ave	(83, 85)
Adelphi St & Myrtle Ave	(3, 3)
E 53 St & Madison Ave	(5, 10)
Cadman Plaza E & Johnson St	(3, 4)
Kent Ave & N 7 St	(9, 17)
Harrison St & Hudson St	(8, 10)
Vesey Pl & River Terrace	(322, 328)
W 24 St & 7 Ave	(11, 16)
E 32 St & Park Ave	(10, 16)
Clinton St & Union St	(4, 3)
E 84 St & Park Ave	(4, 7)
E 2 St & Avenue C	(160, 148)
South End Ave & Liberty St	(29, 16)
Broadway & W 29 St	(4, 7)
5 Ave & E 88 St	(2, 3)
Hicks St & Montague St	(4, 3)
W 64 St & Thelonious Monk Circle	(114, 114)
E 58 St & 3 Ave	(9, 14)
E 72 St & York Ave	(12, 12)
Perry St & Bleecker St	(11, 6)
W 59 St & 10 Ave	(13, 7)
William St & Pine St	(15, 10)
Atlantic Ave & Fort Greene Pl	(4, 6)
W 42 St & Dyer Ave	(6, 7)
3 St & 7 Ave	(56, 67)
Prospect Pl & 6 Ave	(0, 1)
W 20 St & 8 Ave	(6, 6)
2 Ave & E 72 St	(12, 13)
Barrow St & Hudson St	(12, 15)
West St & Chambers St	(18, 41)
Allen St & Rivington St	(16, 9)
Avenue D & E 3 St	(5, 8)
Cleveland Pl & Spring St	(19, 23)
Great Jones St	(19, 19)
Hudson St & Reade St	(10, 7)
E 82 St & East End Ave	(3, 3)
W 25 St & 6 Ave	(8, 8)
Broadway & W 56 St	(5, 10)
Pearl St & Hanover Square	(12, 4)
Barclay St & Church St	(20, 20)
11 Ave & W 41 St	(10, 10)
10 St & 7 Ave	(3, 2)
Driggs Ave & N Henry St	(3, 3)
Greenwich Ave & 8 Ave	(14, 15)
1 Ave & E 62 St	(14, 8)
Lafayette St & E 8 St	(14, 13)
Clermont Ave & Lafayette Ave	(1, 1)
North Moore St & Greenwich St	(52, 71)
1 Ave & E 30 St	(6, 17)
8 Ave & W 31 St	(19, 24)
Bergen St & Smith St	(8, 4)
Riverside Dr & W 82 St	(90, 90)
W 78 St & Broadway	(1, 2)
E 55 St & Lexington Ave	(8, 8)
Amsterdam Ave & W 66 St	(3, 5)
Lexington Ave & E 26 St	(12, 14)
E 109 St & 3 Ave	(1, 0)
Gansevoort St & Hudson St	(11, 9)
Wythe Ave & Metropolitan Ave	(22, 24)
FDR Drive & E 35 St	(15, 15)
Broadway & W 41 St	(16, 25)
E 77 St & 3 Ave	(8, 15)
Pier 40 - Hudson River Park	(18, 26)
Broadway & W 60 St	(29, 15)
Greenwich Ave & Charles St	(12, 6)
W 82 St & Central Park West	(4, 3)
Forsyth St & Canal St	(10, 3)
West End Ave & W 107 St	(2, 1)
7 Ave & Park Pl	(8, 9)
W 22 St & 10 Ave	(12, 10)
W 74 St & Columbus Ave	(3, 3)
West Drive & Prospect Park West	(3, 3)
West Thames St	(15, 10)
W 26 St & 8 Ave	(10, 5)
W 52 St & 5 Ave	(8, 9)
Broadway & W 49 St	(8, 11)
E 20 St & FDR Drive	(19, 21)
E 47 St & Park Ave	(16, 21)
Lafayette St & Jersey St	(15, 29)
W 22 St & 8 Ave	(9, 11)
E 48 St & 5 Ave	(7, 8)
3 Ave & E 71 St	(2, 3)
6 Ave & Canal St	(16, 11)
Maiden Ln & Pearl St	(11, 11)
Grand St & Elizabeth St	(16, 17)
W 34 St & 11 Ave	(15, 13)
E 10 St & Avenue A	(16, 17)
Grand Army Plaza & Plaza St West	(5, 4)
Broadway & Berry St	(8, 14)
Park Ave & E 124 St	(2, 2)
Central Park S & 6 Ave	(12, 8)
1 Ave & E 94 St	(3, 5)
Division St & Bowery	(9, 8)
E 81 St & 3 Ave	(5, 9)
Carlton Ave & Flushing Ave	(6, 3)
Riverside Dr & W 72 St	(15, 5)
1 Ave & E 68 St	(18, 18)
E 81 St & 2 Ave	(3, 8)
Avenue D & E 8 St	(5, 6)
Murray St & Greenwich St	(14, 13)
Clinton Ave & Flushing Ave	(1, 3)
E 9 St & Avenue C	(7, 3)
Kane St & Clinton St	(3, 3)
Broadway & E 22 St	(30, 30)
E 43 St & 5 Ave	(14, 11)
11 Ave & W 59 St	(10, 12)
Jay St & Tech Pl	(4, 5)
E 53 St & 3 Ave	(12, 10)
W 38 St & 8 Ave	(17, 13)
W 95 St & Broadway	(3, 3)
Water - Whitehall Plaza	(10, 6)
E 15 St & 3 Ave	(23, 17)
E 84 St & 1 Ave	(4, 6)
Bayard St & Leonard St	(4, 2)
Norfolk St & Broome St	(5, 8)
