W 34 St & 11 Ave	(1, 2)
E 84 St & 3 Ave	(5, 0)
46 Ave & 5 St	(3, 6)
Kent Ave & N 7 St	(3, 2)
E 47 St & Park Ave	(5, 10)
Clinton St & Joralemon St	(0, 1)
W 16 St & 8 Ave	(2, 4)
Broadway & W 38 St	(2, 2)
Lexington Ave & E 29 St	(7, 2)
W 18 St & 6 Ave	(2, 5)
Stanton St & Chrystie St	(3, 5)
Franklin St & Dupont St	(6, 3)
E 13 St & Avenue A	(7, 4)
2 Ave & E 96 St	(2, 2)
Columbia St & Rivington St	(2, 4)
Monroe St & Tompkins Ave	(1, 0)
9 Ave & W 28 St	(3, 3)
Riverside Dr & W 72 St	(0, 3)
Degraw St & Hoyt St	(1, 1)
W 53 St & 10 Ave	(2, 5)
Watts St & Greenwich St	(8, 1)
FDR Drive & E 35 St	(4, 2)
E 15 St & 3 Ave	(7, 6)
Classon Ave & St Marks Ave	(12, 15)
Eastern Pkwy & Franklin Ave	(2, 2)
W 42 St & Dyer Ave	(5, 3)
Frost St & Meeker Ave	(2, 1)
W 52 St & 6 Ave	(5, 4)
South St & Gouverneur Ln	(4, 0)
Broadway & W 41 St	(1, 6)
Broadway & W 51 St	(5, 8)
W 27 St & 7 Ave	(3, 3)
S 4 St & Wythe Ave	(5, 8)
W 15 St & 6 Ave	(5, 6)
W 37 St & 5 Ave	(1, 2)
Franklin Ave & St Marks Ave	(1, 0)
E 43 St & 5 Ave	(1, 2)
W 70 St & Amsterdam Ave	(8, 4)
Henry St & Atlantic Ave	(3, 2)
Broadway & Battery Pl	(2, 3)
East End Ave & E 86 St	(2, 0)
Allen St & Rivington St	(3, 3)
2 Ave & E 72 St	(7, 6)
6 Ave & 9 St	(2, 2)
Cliff St & Fulton St	(2, 2)
W 26 St & 10 Ave	(0, 5)
Fulton St & Waverly Ave	(2, 3)
W 52 St & 11 Ave	(1, 2)
Spruce St & Nassau St	(3, 1)
E 39 St & 2 Ave	(6, 9)
Pioneer St & Van Brunt St	(1, 0)
1 Ave & E 16 St	(8, 8)
Franklin St & W Broadway	(1, 3)
Cleveland Pl & Spring St	(5, 7)
Columbus Ave & W 72 St	(6, 2)
3 Ave & Schermerhorn St	(2, 0)
Monroe St & Bedford Ave	(1, 1)
2 Ave & E 31 St	(2, 1)
Frederick Douglass Blvd & W 117 St	(1, 1)
W 13 St & 5 Ave	(7, 6)
Riverside Blvd & W 67 St	(1, 3)
Leonard St & Church St	(4, 3)
W 95 St & Broadway	(1, 0)
E 20 St & Park Ave	(5, 4)
W 24 St & 7 Ave	(4, 2)
Madison Ave & E 82 St	(1, 2)
Cadman Plaza E & Red Cross Pl	(1, 3)
E 2 St & 2 Ave	(8, 4)
E 65 St & 2 Ave	(1, 2)
Greenwich St & W Houston St	(4, 6)
S 4 St & Rodney St	(1, 0)
E 52 St & 2 Ave	(3, 2)
Park Ave & E 124 St	(0, 1)
E 85 St & York Ave	(3, 0)
6 Ave & Broome St	(3, 3)
W 106 St & Central Park West	(1, 0)
Broadway & Berry St	(4, 2)
E 58 St &  1 Ave (NW Corner)	(1, 1)
Van Brunt St & Van Dyke St	(1, 0)
E 41 St & Madison Ave	(1, 0)
Butler St & Court St	(2, 2)
Mercer St & Spring St	(1, 5)
Graham Ave & Grand St	(1, 0)
Franklin Ave & Empire Blvd	(1, 0)
E 2 St & Avenue A	(8, 10)
W 22 St & 10 Ave	(3, 3)
E 51 St & 1 Ave	(1, 1)
Willoughby St & Fleet St	(8, 6)
Broadway & W 56 St	(5, 4)
Lawrence St & Willoughby St	(4, 3)
Driggs Ave & N Henry St	(1, 1)
Hicks St & Montague St	(0, 2)
Central Park West & W 100 St	(1, 0)
W 88 St & West End Ave	(0, 1)
E 116 St & 2 Ave	(1, 0)
E 76 St & Park Ave	(1, 1)
E 72 St & Park Ave	(0, 1)
E 81 St & 2 Ave	(2, 0)
E 6 St & Avenue D	(0, 2)
3 Ave & E 71 St	(2, 0)
W 38 St & 8 Ave	(4, 4)
Jay St & Tech Pl	(1, 1)
E 12 St & 3 Ave	(5, 3)
W 63 St & Broadway	(4, 4)
Underhill Ave & Pacific St	(5, 6)
Carlton Ave & Dean St	(1, 1)
Canal St & Rutgers St	(5, 3)
Amsterdam Ave & W 66 St	(2, 1)
Central Park West & W 72 St	(1, 4)
7 Ave & Central Park South	(2, 1)
Stanton St & Norfolk St	(6, 6)
Lafayette Ave & St James Pl	(1, 0)
Carlton Ave & Park Ave	(1, 1)
Peck Slip & Front St	(2, 2)
Nassau Ave & Russell St	(2, 1)
E 55 St & 3 Ave	(0, 4)
E 106 St & Madison Ave	(0, 1)
W 18 St & 9 Ave	(2, 1)
Rivington St & Chrystie St	(3, 1)
W 59 St & 10 Ave	(7, 3)
Lenox Ave & W 130 St	(0, 1)
S Portland Ave & Hanson Pl	(1, 1)
Lafayette Ave & Classon Ave	(3, 2)
Central Park West & W 85 St	(1, 1)
W 84 St & Columbus Ave	(1, 0)
10 St & 5 Ave	(1, 1)
Henry St & Degraw St	(4, 2)
W 52 St & 5 Ave	(4, 3)
E 16 St & Irving Pl	(6, 2)
W 20 St & 7 Ave	(4, 2)
3 Ave & E 62 St	(2, 2)
Central Park West & W 68 St	(2, 2)
W 47 St & 10 Ave	(3, 3)
5 Ave & E 78 St	(1, 2)
MacDougal St & Prince St	(5, 4)
34 Ave & 13 St	(1, 1)
Carroll St & 6 Ave	(1, 0)
Broadway & W 37 St	(2, 1)
1 Ave & E 94 St	(1, 0)
Emerson Pl & Myrtle Ave	(1, 1)
Broadway & W 25 St	(3, 2)
6 Ave & Canal St	(3, 8)
St Nicholas Ave & Manhattan Ave	(1, 0)
Lexington Ave & E 26 St	(7, 4)
E 10 St & Avenue A	(3, 7)
Cooper Square & Astor Pl	(4, 5)
South End Ave & Liberty St	(4, 7)
E 84 St & Park Ave	(2, 0)
E 55 St & Lexington Ave	(3, 2)
5 Ave & E 29 St	(4, 1)
31 St & Thomson Ave	(0, 1)
Kingston Ave & Herkimer St	(1, 0)
Degraw St & Smith St	(2, 1)
St Marks Pl & 2 Ave	(4, 2)
Madison Ave & E 99 St	(1, 2)
Carroll St & Smith St	(1, 0)
President St & Henry St	(1, 0)
Bond St & Bergen St	(3, 0)
Barclay St & Church St	(4, 5)
Front St & Maiden Ln	(3, 1)
E 5 St & Avenue C	(5, 4)
2 Ave & E 122 St	(0, 1)
Meserole Ave & Manhattan Ave	(0, 4)
49 Ave & 21 St	(0, 1)
W 84 St & Broadway	(1, 1)
Richards St & Delavan St	(1, 1)
W Broadway & Spring Street	(4, 5)
Kane St & Clinton St	(2, 1)
W 74 St & Columbus Ave	(2, 0)
St James Pl & Pearl St	(0, 1)
Avenue D & E 3 St	(3, 0)
E 31 St & 3 Ave	(0, 2)
Old Slip & Front St	(1, 2)
Berry St & N 8 St	(2, 2)
Hanson Pl & Ashland Pl	(4, 3)
E 20 St & 2 Ave	(2, 1)
W 13 St & 7 Ave	(2, 3)
W 33 St & 7 Ave	(4, 6)
Madison St & Clinton St	(1, 0)
Greenwich Ave & Charles St	(1, 0)
Lexington Ave & Classon Ave	(1, 0)
Duffield St & Willoughby St	(2, 1)
W 31 St & 7 Ave	(1, 3)
Forsyth St & Canal St	(2, 2)
E 53 St & 3 Ave	(2, 1)
Front St & Washington St	(1, 2)
W 15 St & 7 Ave	(4, 1)
1 Ave & E 44 St	(2, 1)
W 116 St & Broadway	(0, 1)
Concord St & Bridge St	(1, 1)
West Thames St	(4, 4)
Warren St & Court St	(1, 2)
Laight St & Hudson St	(1, 1)
Bedford Ave & S 9 St	(3, 1)
Park Ave & Marcus Garvey Blvd	(1, 1)
Cadman Plaza E & Johnson St	(1, 0)
E 11 St & 2 Ave	(2, 2)
5 Ave & E 88 St	(1, 2)
Lexington Ave & E 63 St	(1, 1)
Fulton St & William St	(0, 3)
W 67 St & Broadway	(4, 3)
Columbia St & Degraw St	(1, 1)
E 47 St & 1 Ave	(2, 1)
India St & Manhattan Ave	(2, 2)
3 St & Hoyt St	(1, 0)
Gansevoort St & Hudson St	(0, 1)
E 45 St & 3 Ave	(2, 4)
10 Hudson Yards	(0, 1)
Bedford Ave & Nassau Ave	(2, 3)
William St & Pine St	(1, 1)
E 48 St & 3 Ave	(0, 1)
48 Ave & 30 Pl	(1, 1)
Bialystoker Pl & Delancey St	(4, 2)
3 Ave & E 100 St	(1, 1)
E 68 St & Madison Ave	(1, 1)
9 St & 44 Rd	(1, 0)
Madison St & Montgomery St	(1, 2)
University Pl & E 8 St	(4, 4)
E 2 St & Avenue B	(2, 2)
Flushing Ave & Vanderbilt Ave	(0, 2)
Berkeley Pl & 7 Ave	(1, 1)
E 47 St & 2 Ave	(1, 2)
Centre St & Chambers St	(1, 5)
Pitt St & Stanton St	(1, 0)
Carroll St & Franklin Ave	(1, 1)
Broadway & Roebling St	(1, 0)
Pacific St & Nevins St	(2, 0)
Leonard St & Nassau Ave	(1, 1)
Dean St & 4 Ave	(2, 1)
Devoe St & Lorimer St	(2, 3)
N 15 St & Wythe Ave	(2, 1)
E 16 St & 5 Ave	(3, 2)
Maiden Ln & Pearl St	(5, 0)
Lexington Ave & E 36 St	(2, 0)
Prospect Pl & Underhill Ave	(0, 1)
Jay St & York St	(1, 2)
Huron St & Franklin St	(1, 3)
Schermerhorn St & Bond St	(0, 2)
E 6 St & Avenue B	(5, 4)
Lorimer St & Broadway	(1, 0)
5 Ave & 3 St	(1, 0)
W 49 St & 8 Ave	(3, 2)
48 Ave & 5 St	(0, 2)
E 27 St & 1 Ave	(1, 2)
W 22 St & 8 Ave	(2, 2)
MacDougal St & Washington Sq	(1, 1)
Hope St & Union Ave	(1, 1)
Avenue D & E 8 St	(2, 0)
3 St & 3 Ave	(1, 1)
E 58 St & 3 Ave	(7, 2)
E 91 St & 2 Ave	(0, 3)
7 St & 5 Ave	(1, 1)
S 5 Pl & S 5 St	(0, 2)
Eastern Pkwy & Washington Ave	(2, 0)
W 54 St & 9 Ave	(3, 0)
Myrtle Ave & Marcy Ave	(1, 0)
Washington Ave & Greene Ave	(3, 1)
Graham Ave & Withers St	(1, 0)
Union Ave & Jackson St	(1, 0)
E 118 St & Park Ave	(1, 0)
Willoughby Ave & Hall St	(0, 1)
Dean St & Hoyt St	(1, 1)
7 Ave & Park Pl	(2, 1)
Columbia St & Kane St	(1, 0)
E 84 St & 1 Ave	(1, 1)
Riverside Dr & W 78 St	(1, 0)
W 35 St & Dyer Ave	(1, 0)
Boerum St & Broadway	(0, 1)
Atlantic Ave & Fort Greene Pl	(0, 3)
Douglass St & 3 Ave	(1, 0)
Douglass St & 4 Ave	(1, 1)
W 92 St & Broadway	(1, 1)
Central Park W & W 96 St	(1, 0)
W 37 St & 10 Ave	(1, 3)
Clark St & Henry St	(0, 1)
St Johns Pl & Washington Ave	(0, 1)
Riverside Dr & W 91 St	(0, 1)
