Little West St & 1 Pl	(28, 19)
N 11 St & Kent Ave	(3, 1)
Henry St & Degraw St	(3, 1)
Lefferts Pl & Franklin Ave	(1, 1)
W 31 St & 7 Ave	(3, 5)
W 21 St & 6 Ave	(13, 12)
Carlton Ave & Flushing Ave	(3, 1)
W 89 St & Columbus Ave	(3, 2)
Avenue D & E 3 St	(7, 4)
Broadway & W 29 St	(8, 8)
W 59 St & 10 Ave	(5, 4)
Amsterdam Ave & W 73 St	(8, 10)
2 Ave & E 122 St	(2, 1)
E 58 St &  1 Ave (NW Corner)	(5, 11)
President St & Henry St	(3, 0)
Hanson Pl & Ashland Pl	(3, 7)
W 18 St & 6 Ave	(12, 11)
1 Ave & E 62 St	(8, 10)
Broadway & W 53 St	(2, 8)
DeKalb Ave & Hudson Ave	(1, 2)
E 82 St & East End Ave	(5, 3)
Broadway & E 22 St	(13, 13)
8 Ave & W 31 St	(9, 8)
E 51 St & Lexington Ave	(42, 40)
State St & Smith St	(1, 1)
Mott St & Prince St	(12, 14)
Bergen St & Flatbush Ave	(3, 2)
E 60 St & York Ave	(0, 3)
W 15 St & 7 Ave	(9, 2)
Broad St & Bridge St	(36, 30)
South St & Gouverneur Ln	(19, 15)
Clinton St & 4 Place	(0, 1)
E 48 St & 5 Ave	(3, 3)
Clinton St & Joralemon St	(1, 1)
W 52 St & 11 Ave	(6, 12)
Lawrence St & Willoughby St	(2, 9)
Division St & Bowery	(8, 6)
W 74 St & Columbus Ave	(1, 2)
Adelphi St & Myrtle Ave	(2, 3)
Pershing Square North	(13, 16)
Carmine St & 6 Ave	(22, 10)
Park Ave & E 124 St	(4, 2)
Willoughby St & Fleet St	(7, 2)
S Portland Ave & Hanson Pl	(2, 3)
West St & Chambers St	(20, 28)
St Marks Pl & 1 Ave	(6, 9)
Central Park S & 6 Ave	(5, 3)
5 Ave & E 78 St	(3, 7)
E 77 St & 3 Ave	(1, 6)
W 82 St & Central Park West	(3, 5)
