McGuinness Blvd & Eagle St	(19, 22)
W 11 St & 6 Ave	(8, 9)
E 33 St & 1 Ave	(5, 18)
W 56 St & 10 Ave	(2, 6)
Watts St & Greenwich St	(21, 4)
W 20 St & 7 Ave	(15, 9)
N 11 St & Kent Ave	(3, 3)
Wythe Ave & Metropolitan Ave	(19, 12)
Bayard St & Baxter St	(7, 7)
Washington St & Gansevoort St	(6, 10)
E 39 St & 2 Ave	(8, 11)
Pier 40 - Hudson River Park	(6, 8)
E 55 St & Lexington Ave	(7, 5)
Bank St & Washington St	(4, 6)
DeKalb Ave & Hudson Ave	(5, 3)
Murray St & Greenwich St	(6, 7)
W 38 St & 8 Ave	(12, 16)
Carroll St & Bond St	(1, 2)
E 81 St & 3 Ave	(1, 3)
E 88 St & Park Ave	(3, 1)
Amsterdam Ave & W 79 St	(3, 2)
Allen St & Hester St	(9, 9)
Clinton Ave & Flushing Ave	(4, 3)
E 43 St & 5 Ave	(8, 6)
W 42 St & Dyer Ave	(9, 5)
E 53 St & Madison Ave	(4, 9)
Water - Whitehall Plaza	(7, 8)
Jay St & Tech Pl	(2, 0)
W 13 St & 5 Ave	(8, 8)
Willoughby St & Fleet St	(8, 15)
Broadway & E 22 St	(30, 24)
1 Ave & E 68 St	(14, 9)
W 78 St & Broadway	(3, 1)
India St & Manhattan Ave	(6, 7)
Harrison St & Hudson St	(2, 5)
Barclay St & Church St	(14, 6)
W 49 St & 8 Ave	(6, 2)
E 128 St & Madison Ave	(1, 0)
FDR Drive & E 35 St	(7, 9)
E 47 St & 1 Ave	(2, 3)
Adelphi St & Myrtle Ave	(1, 0)
Metropolitan Ave & Bedford Ave	(2, 3)
E 76 St & Park Ave	(4, 6)
Centre St & Chambers St	(9, 12)
W 18 St & 9 Ave	(2, 5)
Park Pl & Vanderbilt Ave	(6, 2)
Nassau Ave & Russell St	(4, 2)
Broadway & W 41 St	(7, 8)
Bergen St & Smith St	(6, 4)
E 88 St & 1 Ave	(7, 5)
MacDougal St & Prince St	(12, 7)
W 84 St & Broadway	(1, 2)
Sullivan St & Washington Sq	(3, 5)
5 Ave & E 29 St	(7, 12)
5 Ave & E 73 St	(1, 11)
Stagg St & Union Ave	(1, 0)
W 95 St & Broadway	(2, 1)
E 91 St & 2 Ave	(1, 2)
W 45 St & 8 Ave	(4, 2)
W 20 St & 11 Ave	(5, 6)
W 37 St & 10 Ave	(5, 6)
W 106 St & Central Park West	(2, 0)
Wyckoff Av & Jefferson St	(1, 4)
W 53 St & 10 Ave	(2, 7)
Riverside Blvd & W 67 St	(2, 2)
1 Pl & Clinton St	(1, 0)
46 Ave & 5 St	(6, 4)
South St & Gouverneur Ln	(9, 6)
Butler St & Court St	(3, 5)
W 31 St & 7 Ave	(8, 10)
E 10 St & Avenue A	(8, 9)
W 13 St & 7 Ave	(7, 7)
W 22 St & 10 Ave	(5, 10)
11 Ave & W 27 St	(2, 4)
Broadway & Battery Pl	(8, 16)
E 114 St & 1 Ave	(1, 0)
Frederick Douglass Blvd & W 117 St	(1, 0)
Front St & Maiden Ln	(8, 3)
E 43 St & 2 Ave	(2, 3)
Columbia St & Kane St	(2, 0)
E 84 St & Park Ave	(2, 2)
E 12 St & 3 Ave	(9, 7)
Henry St & Atlantic Ave	(2, 1)
Dock 72 Way & Market St	(1, 2)
Dean St & Hoyt St	(1, 0)
E 53 St & 3 Ave	(6, 8)
E 19 St & 3 Ave	(3, 6)
W 45 St & 6 Ave	(9, 5)
University Pl & E 8 St	(3, 5)
W 46 St & 11 Ave	(7, 8)
Monroe St & Classon Ave	(0, 1)
12 Ave & W 40 St	(22, 13)
E 41 St & Madison Ave	(9, 5)
Bayard St & Leonard St	(3, 0)
E 25 St & 1 Ave	(0, 9)
S 4 St & Rodney St	(3, 0)
Lefferts Pl & Franklin Ave	(2, 1)
14 St & 5 Ave	(1, 3)
3 Ave & Schermerhorn St	(3, 1)
E 52 St & 2 Ave	(6, 5)
E 30 St & Park Ave S	(4, 6)
Kent Ave & N 7 St	(10, 8)
E 2 St & Avenue B	(4, 13)
Schermerhorn St & Bond St	(1, 0)
Graham Ave & Herbert St	(1, 0)
1 Ave & E 94 St	(2, 2)
Duffield St & Willoughby St	(3, 4)
Amsterdam Ave & W 82 St	(1, 1)
Degraw St & Hoyt St	(3, 2)
6 Ave & Broome St	(5, 6)
Franklin St & Dupont St	(5, 3)
W 52 St & 5 Ave	(6, 7)
St Marks Pl & 2 Ave	(6, 6)
South St & Whitehall St	(9, 8)
Columbus Ave & W 72 St	(7, 2)
47 Ave & 31 St	(1, 2)
W 47 St & 10 Ave	(8, 2)
W 34 St & 11 Ave	(9, 11)
49 Ave & 21 St	(0, 1)
E 58 St & 3 Ave	(7, 5)
E 118 St & 3 Ave	(1, 1)
14 St & 7 Ave	(3, 1)
Riverside Dr & W 104 St	(2, 3)
Clinton St & Union St	(4, 0)
E 6 St & Avenue D	(3, 1)
E 85 St & York Ave	(2, 1)
11 Ave & W 41 St	(3, 9)
E 5 St & Avenue C	(3, 5)
Old Slip & Front St	(2, 8)
W 59 St & 10 Ave	(4, 1)
W 24 St & 7 Ave	(4, 7)
Union St & Nevins St	(0, 5)
Huron St & Franklin St	(4, 4)
Fulton St & William St	(7, 6)
6 Ave & 9 St	(1, 2)
Franklin Ave & St Marks Ave	(0, 1)
W 37 St & 5 Ave	(3, 5)
7 Ave & Central Park South	(6, 4)
E 106 St & Madison Ave	(0, 1)
Rivington St & Ridge St	(5, 5)
Central Park West & W 72 St	(5, 2)
E 20 St & 2 Ave	(7, 8)
Cadman Plaza E & Red Cross Pl	(6, 3)
Hanson Pl & Ashland Pl	(3, 4)
Canal St & Rutgers St	(6, 7)
Carmine St & 6 Ave	(7, 8)
Meserole Ave & Manhattan Ave	(2, 3)
3 Ave & E 62 St	(4, 3)
Central Park S & 6 Ave	(7, 6)
W 88 St & West End Ave	(0, 2)
3 St & 3 Ave	(1, 1)
E 72 St & Park Ave	(0, 2)
W 70 St & Amsterdam Ave	(3, 1)
W Broadway & Spring Street	(10, 5)
Bergen St & Flatbush Ave	(3, 3)
Prospect Pl & 6 Ave	(2, 2)
W 100 St & Manhattan Ave	(2, 0)
Lawrence St & Willoughby St	(2, 1)
Court St & State St	(2, 3)
7 St & 5 Ave	(0, 2)
Kane St & Clinton St	(1, 1)
Banker St & Meserole Ave	(2, 0)
Broadway & W 25 St	(12, 12)
Columbia St & Rivington St	(3, 2)
E 16 St & Irving Pl	(8, 7)
2 Ave & E 31 St	(10, 6)
E 47 St & 2 Ave	(8, 9)
E 55 St & 3 Ave	(5, 8)
W 63 St & Broadway	(5, 6)
Division St & Bowery	(6, 6)
48 Ave & 30 Pl	(1, 1)
Kent Ave & S 11 St	(6, 2)
Madison St & Clinton St	(4, 0)
Railroad Ave & Kay Ave	(0, 2)
Bond St & Fulton St	(1, 1)
E 55 St & 2 Ave	(5, 4)
31 St & Thomson Ave	(2, 1)
Norfolk St & Broome St	(3, 12)
Mott St & Prince St	(4, 6)
Berry St & N 8 St	(2, 1)
Bedford Ave & Nassau Ave	(1, 5)
E 33 St & 5 Ave	(13, 8)
Duane St & Greenwich St	(12, 7)
E 13 St & Avenue A	(10, 7)
Leonard St & Church St	(5, 5)
Avenue D & E 12 St	(1, 2)
10 Hudson Yards	(0, 3)
Cooper Square & Astor Pl	(14, 10)
Fulton St & Rockwell Pl	(0, 2)
Dwight St & Van Dyke St	(1, 0)
W 16 St & 8 Ave	(12, 11)
Warren St & Court St	(2, 0)
Fulton St & Clermont Ave	(2, 0)
11 Ave & W 59 St	(4, 6)
Broadway & W 37 St	(7, 7)
W 74 St & Columbus Ave	(1, 0)
Spruce St & Nassau St	(8, 5)
Centre St & Worth St	(4, 4)
3 St & Hoyt St	(2, 3)
