W 64 St & Thelonious Monk Circle	(58, 44)
E 12 St & 3 Ave	(9, 2)
Lafayette St & Jersey St	(12, 12)
West Thames St	(6, 2)
Riverside Dr & W 72 St	(1, 5)
Grand Army Plaza & Plaza St West	(0, 2)
S 3 St & Bedford Ave	(11, 3)
E 60 St & York Ave	(0, 2)
Henry St & Atlantic Ave	(4, 3)
W 52 St & 11 Ave	(5, 5)
11 Ave & W 59 St	(2, 3)
Willoughby Ave & Hall St	(1, 0)
Park Pl & Vanderbilt Ave	(2, 1)
Park Ave & Marcus Garvey Blvd	(1, 1)
48 Ave & 30 Pl	(0, 2)
E 75 St & 3 Ave	(1, 2)
E 39 St & 2 Ave	(4, 6)
W 52 St & 6 Ave	(6, 5)
Pike St & E Broadway	(4, 2)
E 6 St & Avenue D	(3, 2)
W 13 St & 5 Ave	(7, 9)
Franklin St & Dupont St	(4, 2)
E 53 St & 3 Ave	(2, 4)
E 84 St & 1 Ave	(5, 6)
W 47 St & 10 Ave	(2, 3)
W 42 St & 8 Ave	(3, 3)
W 44 St & 5 Ave	(5, 8)
E 68 St & 3 Ave	(0, 2)
W 16 St & The High Line	(2, 5)
Fulton St & Waverly Ave	(3, 1)
Verona Pl & Fulton St	(0, 2)
E 20 St & 2 Ave	(9, 3)
DeKalb Ave & Hudson Ave	(2, 4)
John St & William St	(7, 5)
Bedford Ave & S 9 St	(5, 0)
Bayard St & Baxter St	(5, 2)
W 13 St & 7 Ave	(2, 7)
E 81 St & 3 Ave	(1, 2)
Cleveland Pl & Spring St	(10, 6)
11 Ave & W 41 St	(6, 6)
Vernon Blvd & 47 Rd	(1, 1)
11 Ave & W 27 St	(3, 12)
E 31 St & 3 Ave	(3, 9)
E 33 St & 1 Ave	(5, 10)
Avenue C & E 18 St	(4, 8)
Hanson Pl & Ashland Pl	(4, 1)
45 Rd & 11 St	(2, 4)
E 78 St & 2 Ave	(3, 0)
Front St & Maiden Ln	(4, 4)
Carroll St & Bond St	(1, 1)
Bayard St & Leonard St	(0, 2)
W 43 St & 6 Ave	(0, 2)
7 Ave & Central Park South	(1, 5)
W 26 St & 8 Ave	(7, 6)
Kent Ave & S 11 St	(2, 3)
Broadway & E 14 St	(20, 15)
Devoe St & Lorimer St	(0, 2)
E 43 St & 2 Ave	(7, 6)
FDR Drive & E 35 St	(4, 6)
E 43 St & 5 Ave	(2, 4)
Bank St & Washington St	(9, 6)
W 17 St & 8 Ave	(6, 11)
Degraw St & Hoyt St	(1, 1)
Bond St & Bergen St	(2, 0)
University Pl & E 8 St	(2, 4)
W 21 St & 6 Ave	(12, 14)
Willoughby St & Fleet St	(7, 6)
E 20 St & Park Ave	(7, 9)
E 20 St & FDR Drive	(8, 10)
Allen St & Stanton St	(10, 4)
Watts St & Greenwich St	(6, 8)
Broadway & W 38 St	(3, 6)
Prospect Pl & Underhill Ave	(3, 2)
Metropolitan Ave & Bedford Ave	(3, 4)
W 53 St & 10 Ave	(1, 3)
12 Ave & W 40 St	(6, 14)
Lawrence St & Willoughby St	(2, 3)
5 St & 6 Ave	(1, 1)
Underhill Ave & Lincoln Pl	(4, 0)
Dock 72 Way & Market St	(1, 5)
Pike St & Monroe St	(2, 4)
E 74 St & 1 Ave	(4, 3)
E 91 St & Park Ave	(2, 1)
W 45 St & 6 Ave	(5, 6)
E 9 St & Avenue C	(9, 4)
Hancock St & Bedford Ave	(1, 0)
W 34 St & 11 Ave	(3, 7)
Sullivan St & Washington Sq	(4, 3)
W Broadway & Spring Street	(3, 10)
Murray St & Greenwich St	(9, 13)
9 Ave & W 28 St	(2, 1)
E 11 St & 2 Ave	(3, 5)
Pier 40 - Hudson River Park	(3, 4)
Liberty St & Broadway	(5, 7)
Broadway & W 53 St	(3, 4)
Peck Slip & Front St	(5, 8)
Sullivan Pl & Bedford Ave	(1, 0)
E 55 St & Lexington Ave	(3, 7)
University Pl & E 14 St	(15, 1)
E 2 St & Avenue B	(11, 4)
E 10 St & Avenue A	(4, 5)
W 46 St & 11 Ave	(6, 3)
5 Ave & E 29 St	(5, 7)
Prospect Pl & 6 Ave	(3, 2)
Columbia St & Rivington St	(2, 3)
Stanton St & Norfolk St	(2, 5)
Henry St & Middagh St	(0, 1)
Court St & State St	(1, 1)
Columbia St & Kane St	(1, 2)
Central Park West & W 76 St	(1, 3)
3 Ave & E 95 St	(1, 1)
E 17 St & Broadway	(16, 17)
E 114 St & 1 Ave	(1, 1)
Broadway & W 37 St	(5, 6)
Douglass St & 3 Ave	(1, 3)
3 Ave & E 62 St	(4, 4)
Bus Slip & State St	(5, 3)
W 116 St & Broadway	(1, 1)
5 Ave & E 78 St	(0, 1)
Cambridge Pl & Gates Ave	(2, 2)
Schermerhorn St & Bond St	(3, 2)
Barclay St & Church St	(13, 8)
W 24 St & 7 Ave	(4, 6)
Spruce St & Nassau St	(1, 2)
President St & Henry St	(2, 2)
14 St & 5 Ave	(0, 1)
Jay St & York St	(2, 6)
W 84 St & Columbus Ave	(3, 1)
Carroll St & 6 Ave	(1, 1)
Broadway & W 25 St	(11, 4)
Amsterdam Ave & W 82 St	(2, 0)
1 Ave & E 44 St	(9, 5)
Suydam St & Knickerbocker Ave	(1, 0)
MacDougal St & Prince St	(10, 7)
Broadway & Battery Pl	(5, 7)
E 39 St & 3 Ave	(2, 5)
Central Park West & W 68 St	(3, 2)
Avenue D & E 8 St	(5, 2)
E 52 St & 2 Ave	(5, 6)
E 81 St & 2 Ave	(3, 2)
Carroll St & Smith St	(6, 0)
Pershing Square South	(3, 7)
South End Ave & Liberty St	(6, 5)
Pearl St & Anchorage Pl	(0, 1)
Stagg St & Union Ave	(2, 1)
Vernon Blvd & 31 Ave	(1, 1)
W 88 St & West End Ave	(5, 1)
Bedford Ave & Nassau Ave	(1, 5)
Broadway & W 29 St	(5, 6)
E 118 St & 3 Ave	(0, 1)
Atlantic Ave & Fort Greene Pl	(1, 3)
E 25 St & 2 Ave	(3, 2)
Lefferts Pl & Franklin Ave	(0, 3)
E 118 St & 1 Ave	(0, 1)
1 Ave & E 94 St	(0, 2)
6 Ave & 12 St	(3, 1)
Degraw St & Smith St	(1, 2)
India St & West St	(1, 3)
W 59 St & 10 Ave	(3, 4)
W 56 St & 10 Ave	(6, 2)
E 16 St & 5 Ave	(3, 4)
6 Ave & Canal St	(7, 8)
47 Ave & 31 St	(2, 1)
W 11 St & 6 Ave	(3, 4)
Fulton St & Rockwell Pl	(2, 3)
E 97 St & Madison Ave	(1, 1)
Humboldt St & Varet St	(1, 0)
E 47 St & 1 Ave	(1, 2)
Cherry St	(2, 1)
E 5 St & Avenue C	(5, 2)
Allen St & Hester St	(3, 1)
West End Ave & W 94 St	(2, 0)
E 12 St & 4 Av	(3, 3)
Bergen St & Vanderbilt Ave	(1, 0)
5 Ave & E 88 St	(2, 2)
E 48 St & 3 Ave	(1, 3)
Henry St & Grand St	(4, 3)
Dean St & 4 Ave	(5, 1)
Leonard St & Church St	(4, 4)
W 22 St & 8 Ave	(8, 4)
W 33 St & 7 Ave	(9, 3)
Columbus Ave & W 72 St	(5, 1)
W 37 St & 5 Ave	(8, 8)
46 Ave & 5 St	(5, 4)
Adam Clayton Powell Blvd & W 123 St	(1, 0)
Bergen St & Smith St	(2, 3)
Mercer St & Spring St	(3, 5)
South St & Gouverneur Ln	(4, 2)
E 91 St & 2 Ave	(0, 2)
Washington Ave & Greene Ave	(1, 2)
Norfolk St & Broome St	(4, 4)
Montrose Ave & Bushwick Ave	(1, 0)
W 25 St & 6 Ave	(6, 2)
W 15 St & 6 Ave	(13, 2)
Front St & Washington St	(1, 3)
Stanton St & Chrystie St	(6, 1)
E 102 St & 1 Ave	(2, 0)
Center Blvd & 51 Ave	(2, 2)
47 Ave & Skillman Ave	(0, 1)
Cadman Plaza E & Red Cross Pl	(2, 7)
Huron St & Franklin St	(3, 3)
Pitt St & Stanton St	(1, 1)
Lexington Ave & E 29 St	(6, 5)
1 Pl & Clinton St	(2, 1)
Pierrepont St & Monroe Pl	(1, 1)
Harrison St & Hudson St	(2, 2)
Cliff St & Fulton St	(3, 5)
6 Ave & Broome St	(3, 3)
W 54 St & 9 Ave	(1, 3)
E 10 St & 5 Ave	(5, 2)
Plaza St West & Flatbush Ave	(1, 0)
Nassau Ave & Russell St	(1, 5)
W 27 St & 7 Ave	(4, 4)
Meserole Ave & Manhattan Ave	(5, 2)
Hicks St & Montague St	(1, 2)
Center Blvd & 48 Ave	(4, 1)
Hope St & Union Ave	(2, 0)
Rivington St & Ridge St	(4, 3)
Old Slip & Front St	(4, 1)
3 Ave & E 71 St	(2, 0)
Sterling Pl & Bedford Ave	(2, 0)
Graham Ave & Grand St	(1, 0)
Old Fulton St	(1, 3)
Division Av & Hooper St	(0, 1)
Broadway & Roebling St	(2, 1)
E 41 St & Madison Ave	(3, 2)
5 Ave & E 73 St	(1, 1)
Bialystoker Pl & Delancey St	(1, 1)
Pioneer St & Van Brunt St	(0, 2)
West Drive & Prospect Park West	(2, 1)
Henry St & Degraw St	(1, 2)
Maiden Ln & Pearl St	(3, 1)
DeKalb Ave & S Portland Ave	(2, 0)
Lenox Ave & W 111 St	(2, 4)
Cadman Plaza E & Johnson St	(0, 1)
Clinton St & Union St	(1, 0)
Centre St & Worth St	(7, 1)
Centre St & Chambers St	(9, 10)
Warren St & Court St	(3, 3)
Greene Av & Myrtle Av	(1, 2)
Fulton St & William St	(4, 5)
Banker St & Meserole Ave	(2, 4)
Laight St & Hudson St	(3, 5)
Clermont Ave & Park Ave	(2, 0)
Mercer St & Bleecker St	(7, 5)
Eckford St & Engert Ave	(3, 0)
Lincoln Pl & Classon Ave	(1, 1)
Congress St & Clinton St	(0, 3)
Greene Ave & Throop Ave	(1, 0)
Central Park West & W 85 St	(0, 1)
44 Dr & Jackson Ave	(2, 1)
N 15 St & Wythe Ave	(1, 1)
Washington Park	(1, 1)
W 110 St & Amsterdam Ave	(1, 0)
State St & Smith St	(3, 1)
E 82 St & East End Ave	(4, 2)
E 65 St & 2 Ave	(1, 2)
49 Ave & 21 St	(0, 1)
Driggs Ave & Lorimer St	(0, 2)
Railroad Ave & Kay Ave	(1, 2)
14 St & 7 Ave	(2, 1)
Hart St & Wyckoff Ave	(1, 0)
Carroll St & Washington Ave	(0, 1)
Columbia St & Degraw St	(1, 0)
9 St & 44 Rd	(1, 3)
