E 77 St & 3 Ave	(3, 9)
Broadway & W 60 St	(9, 16)
N 11 St & Kent Ave	(3, 1)
W 53 St & 10 Ave	(3, 5)
Leonard St & Boerum St	(2, 0)
Little West St & 1 Pl	(32, 19)
W 92 St & Broadway	(1, 2)
Pacific St & Classon Ave	(2, 5)
Laight St & Hudson St	(1, 1)
Christopher St & Greenwich St	(29, 11)
Duffield St & Willoughby St	(3, 5)
W 59 St & 10 Ave	(5, 6)
W 95 St & Broadway	(3, 2)
E 11 St & 2 Ave	(5, 10)
E 24 St & Park Ave S	(8, 7)
W 16 St & The High Line	(7, 8)
Amsterdam Ave & W 79 St	(4, 1)
Allen St & Rivington St	(15, 7)
11 Ave & W 41 St	(4, 9)
9 Ave & W 45 St	(5, 1)
11 Ave & W 59 St	(10, 10)
Leonard St & Church St	(1, 2)
Broadway & W 41 St	(5, 6)
Old Slip & Front St	(2, 3)
E 45 St & 3 Ave	(2, 1)
W 24 St & 7 Ave	(3, 5)
Wythe Ave & Metropolitan Ave	(9, 4)
E 65 St & 2 Ave	(3, 2)
W 106 St & Amsterdam Ave	(1, 2)
Carroll St & Bond St	(3, 0)
Metropolitan Ave & Meeker Ave	(5, 5)
Broadway & W 38 St	(2, 3)
Lafayette Ave & Fort Greene Pl	(2, 4)
E 20 St & Park Ave	(8, 8)
11 Ave & W 27 St	(17, 10)
Graham Ave & Conselyea St	(1, 1)
Prospect Pl & Underhill Ave	(1, 0)
Barclay St & Church St	(4, 9)
12 Ave & W 40 St	(37, 32)
3 St & Hoyt St	(0, 2)
Hudson St & Reade St	(7, 2)
Stanton St & Mangin St	(7, 4)
Smith St & 3 St	(3, 2)
Columbia Heights & Cranberry St	(4, 3)
Clinton Ave & Flushing Ave	(1, 2)
Water - Whitehall Plaza	(2, 8)
Willoughby St & Fleet St	(1, 2)
Greene Ave & Nostrand Ave	(2, 1)
E 43 St & 2 Ave	(3, 3)
N 12 St & Bedford Ave	(3, 7)
1 Ave & E 110 St	(1, 2)
E 89 St & 3 Ave	(2, 7)
W 88 St & West End Ave	(3, 2)
W 33 St & 7 Ave	(3, 5)
Bedford Ave & Nassau Ave	(2, 6)
W 20 St & 11 Ave	(17, 19)
Great Jones St	(3, 10)
Nassau Ave & Newell St	(6, 4)
Grand Army Plaza & Central Park S	(1, 3)
W 84 St & Columbus Ave	(5, 2)
Washington St & Gansevoort St	(4, 10)
E 82 St & East End Ave	(4, 2)
8 Ave & W 52 St	(5, 6)
9 Ave & W 18 St	(5, 2)
7 Ave & Park Pl	(4, 4)
E 78 St & 2 Ave	(2, 5)
Eastern Pkwy & Franklin Ave	(4, 5)
Hanson Pl & Ashland Pl	(4, 6)
E 84 St & 3 Ave	(4, 6)
North Moore St & Greenwich St	(21, 11)
3 St & 3 Ave	(4, 0)
W 21 St & 6 Ave	(12, 7)
W 46 St & 11 Ave	(4, 8)
Columbus Ave & W 95 St	(6, 2)
Lafayette St & Jersey St	(6, 17)
Lexington Ave & E 29 St	(2, 3)
West St & Chambers St	(37, 17)
Washington Pl & Broadway	(3, 4)
Front St & Maiden Ln	(8, 6)
W 18 St & 6 Ave	(4, 5)
E 15 St & 3 Ave	(11, 8)
Adelphi St & Myrtle Ave	(5, 7)
Pleasant Ave & E 116 St	(2, 1)
Prospect Park West & 8 St	(0, 3)
W 45 St & 6 Ave	(0, 4)
E 17 St & Broadway	(17, 16)
Carroll St & 5 Ave	(1, 2)
W 67 St & Broadway	(2, 2)
Central Park S & 6 Ave	(6, 10)
E 60 St & York Ave	(3, 2)
LaGuardia Pl & W 3 St	(6, 8)
E 10 St & 5 Ave	(5, 4)
6 Ave & Broome St	(8, 4)
Bergen St & Vanderbilt Ave	(5, 4)
E 68 St & 3 Ave	(1, 2)
Henry St & Grand St	(9, 5)
2 Ave & E 31 St	(9, 14)
MacDougal St & Prince St	(11, 7)
9 Ave & W 28 St	(7, 3)
India St & West St	(2, 3)
E 58 St & 3 Ave	(3, 4)
E 81 St & 2 Ave	(3, 4)
Bus Slip & State St	(4, 14)
W 70 St & Amsterdam Ave	(9, 5)
Greene Av & Myrtle Av	(1, 0)
Lexington Ave & E 26 St	(2, 6)
Cleveland Pl & Spring St	(6, 11)
Central Park West & W 72 St	(7, 2)
Montrose Ave & Bushwick Ave	(3, 1)
W 82 St & Central Park West	(3, 1)
3 Ave & E 95 St	(0, 1)
Milton St & Franklin St	(8, 3)
Broadway & E 22 St	(9, 14)
Greenpoint Ave & Manhattan Ave	(11, 4)
Hope St & Union Ave	(3, 0)
44 Dr & Jackson Ave	(1, 3)
Clark St & Henry St	(4, 4)
Fulton St & Broadway	(13, 7)
Riverside Dr & W 78 St	(2, 6)
