1 Ave & E 30 St	(12, 15)
E 88 St & 1 Ave	(3, 10)
E 89 St & 3 Ave	(5, 4)
Clinton St & Grand St	(15, 19)
E 9 St & Avenue C	(9, 18)
Central Park West & W 76 St	(7, 3)
W 42 St & 8 Ave	(9, 9)
Franklin St & Dupont St	(3, 5)
Columbia St & Rivington St	(1, 2)
Myrtle Ave & Lewis Ave	(1, 0)
Riverside Dr & W 82 St	(114, 104)
W 76 St & Columbus Ave	(1, 2)
W 45 St & 6 Ave	(2, 9)
27 St & Hunter St	(2, 4)
1 Ave & E 68 St	(11, 8)
W 41 St & 8 Ave	(13, 9)
Broadway & W 29 St	(8, 12)
W 74 St & Columbus Ave	(2, 1)
E 93 St & 2 Ave	(1, 5)
49 Ave & 21 St	(2, 0)
Columbia Heights & Cranberry St	(2, 1)
E 72 St & York Ave	(5, 10)
Avenue D & E 3 St	(6, 3)
E 30 St & Park Ave S	(8, 4)
Pershing Square South	(6, 4)
W 33 St & 7 Ave	(13, 11)
Lexington Ave & E 29 St	(10, 11)
Grand St & Havemeyer St	(4, 3)
E 88 St & Park Ave	(3, 2)
Park Pl & Vanderbilt Ave	(8, 6)
Carroll St & Bond St	(0, 1)
Broadway & W 60 St	(17, 10)
Jay St & York St	(6, 9)
Park Ave & E 124 St	(1, 1)
W 52 St & 6 Ave	(4, 7)
3 Ave & E 100 St	(2, 0)
Henry St & Degraw St	(3, 0)
N 11 St & Kent Ave	(1, 6)
W 27 St & 7 Ave	(1, 6)
Cadman Plaza E & Johnson St	(2, 6)
Hudson St & Reade St	(11, 9)
South St & Whitehall St	(18, 14)
Central Park W & W 96 St	(5, 2)
West St & Chambers St	(32, 36)
E 81 St & Park Ave	(1, 1)
Park Ave & Marcus Garvey Blvd	(1, 1)
Division Av & Hooper St	(2, 2)
8 Ave & W 31 St	(10, 15)
W 59 St & 10 Ave	(7, 7)
Stanton St & Mangin St	(2, 2)
Bus Slip & State St	(6, 11)
E 43 St & 2 Ave	(5, 2)
Clinton St & Joralemon St	(1, 0)
Madison Ave & E 99 St	(0, 2)
E 47 St & 1 Ave	(3, 4)
2 Ave & E 72 St	(9, 13)
Congress St & Clinton St	(2, 0)
Maiden Ln & Pearl St	(6, 3)
8 Ave & W 33 St	(10, 14)
E 102 St & 1 Ave	(2, 5)
Harrison St & Hudson St	(4, 6)
Riverside Dr & W 72 St	(13, 15)
Madison St & Montgomery St	(9, 4)
Greenwich Ave & Charles St	(5, 7)
Bond St & Fulton St	(2, 5)
E 91 St & 2 Ave	(7, 4)
Carroll St & Washington Ave	(1, 2)
E 58 St &  1 Ave (NW Corner)	(5, 4)
W 84 St & Broadway	(7, 4)
W 46 St & 11 Ave	(5, 5)
2 Ave & E 122 St	(2, 1)
E 48 St & 3 Ave	(0, 2)
E 58 St & 3 Ave	(6, 10)
E 75 St & 3 Ave	(4, 2)
Vernon Blvd & 31 Ave	(2, 1)
Madison Ave & E 120 St	(1, 0)
W 20 St & 7 Ave	(12, 12)
Willoughby St & Fleet St	(14, 6)
S 3 St & Bedford Ave	(13, 4)
Hanson Pl & Ashland Pl	(6, 10)
MacDougal St & Prince St	(14, 12)
E 81 St & 2 Ave	(7, 12)
Carlton Ave & Park Ave	(1, 2)
Lafayette St & Jersey St	(15, 12)
W 107 St & Columbus Ave	(1, 1)
Clark St & Henry St	(4, 3)
Broadway & W 49 St	(8, 6)
Pier 40 - Hudson River Park	(33, 32)
Old Fulton St	(4, 10)
Riverside Blvd & W 67 St	(22, 18)
E 6 St & Avenue D	(5, 4)
Broadway & Berry St	(8, 3)
Riverside Dr & W 78 St	(6, 11)
Fulton St & Grand Ave	(3, 1)
W 70 St & Amsterdam Ave	(7, 11)
Broadway & Battery Pl	(10, 17)
E 11 St & 2 Ave	(7, 12)
5 St & 51 Ave	(1, 1)
Carmine St & 6 Ave	(31, 16)
Dean St & 4 Ave	(0, 3)
Schermerhorn St & Bond St	(6, 6)
W 52 St & 5 Ave	(1, 3)
9 Ave & W 28 St	(8, 1)
E 84 St & 3 Ave	(7, 7)
Allen St & Hester St	(9, 10)
Riverside Dr & W 104 St	(7, 8)
2 Ave & E 31 St	(15, 9)
W 84 St & Columbus Ave	(4, 0)
E 114 St & 1 Ave	(1, 1)
W 35 St & Dyer Ave	(9, 3)
5 Ave & E 78 St	(9, 9)
Amsterdam Ave & W 73 St	(6, 11)
Lewis Ave & Madison St	(2, 2)
E 33 St & 1 Ave	(5, 14)
Hicks St & Montague St	(4, 2)
Henry St & Grand St	(9, 3)
Lafayette Ave & Classon Ave	(3, 2)
E 45 St & 3 Ave	(1, 6)
Nostrand Ave & Myrtle Ave	(3, 0)
W 100 St & Manhattan Ave	(2, 1)
E 67 St & Park Ave	(1, 1)
Graham Ave & Withers St	(2, 7)
E 74 St & 1 Ave	(5, 4)
3 Ave & E 71 St	(0, 6)
Fulton St & Broadway	(10, 16)
Greenwich St & W Houston St	(11, 13)
E 82 St & East End Ave	(7, 6)
Broadway & W 38 St	(2, 3)
Cumberland St & Lafayette Ave	(4, 2)
W 37 St & 10 Ave	(7, 5)
5 Ave & 3 St	(3, 1)
Central Park West & W 68 St	(10, 3)
Riverside Dr & W 91 St	(6, 3)
14 St & 7 Ave	(4, 3)
S 4 St & Rodney St	(2, 1)
Atlantic Ave & Fort Greene Pl	(8, 4)
