12 Ave & W 40 St	(21, 17)
E 77 St & 3 Ave	(1, 17)
E 25 St & 1 Ave	(3, 6)
Centre St & Chambers St	(18, 18)
Forsyth St & Broome St	(9, 15)
W 26 St & 8 Ave	(5, 2)
Vernon Blvd & 47 Rd	(1, 1)
W 52 St & 11 Ave	(8, 12)
Reade St & Broadway	(2, 5)
E 39 St & 3 Ave	(6, 7)
Stanton St & Norfolk St	(7, 5)
3 St & 3 Ave	(0, 2)
E 58 St &  1 Ave (NW Corner)	(4, 4)
2 Ave & E 122 St	(2, 1)
W 26 St & 10 Ave	(6, 9)
Allen St & Stanton St	(13, 14)
E 51 St & 1 Ave	(7, 5)
St Johns Pl & Washington Ave	(3, 3)
DeKalb Ave & Hudson Ave	(3, 1)
E 81 St & 3 Ave	(3, 7)
Lexington Ave & E 26 St	(6, 7)
E 78 St & 2 Ave	(4, 4)
Lafayette St & E 8 St	(13, 15)
W 13 St & 7 Ave	(9, 6)
E 84 St & 3 Ave	(5, 7)
E 68 St & 3 Ave	(1, 1)
E 48 St & 5 Ave	(4, 6)
Monroe St & Bedford Ave	(0, 2)
E 20 St & Park Ave	(7, 14)
Madison Ave & E 120 St	(1, 0)
Central Park West & W 68 St	(4, 5)
8 Ave & W 31 St	(5, 6)
Clinton St & Joralemon St	(4, 2)
Riverside Dr & W 91 St	(7, 4)
Broadway & Berry St	(8, 11)
MacDougal St & Washington Sq	(12, 1)
W 46 St & 11 Ave	(5, 6)
Hanson Pl & Ashland Pl	(5, 9)
E 75 St & 3 Ave	(4, 4)
E 93 St & 2 Ave	(3, 6)
Lawrence St & Willoughby St	(1, 4)
5 Ave & E 29 St	(0, 4)
46 Ave & 5 St	(14, 7)
Carlton Ave & Flushing Ave	(1, 1)
St Marks Pl & 1 Ave	(12, 7)
Maiden Ln & Pearl St	(5, 8)
Center Blvd & 48 Ave	(2, 3)
Great Jones St	(16, 17)
W 67 St & Broadway	(9, 10)
Duane St & Greenwich St	(5, 5)
E 15 St & 3 Ave	(17, 18)
