Washington Pl & 6 Ave	(3, 5)
Allen St & Hester St	(7, 5)
E 15 St & 3 Ave	(13, 13)
E 2 St & 2 Ave	(12, 11)
Mercer St & Bleecker St	(11, 7)
Allen St & Rivington St	(10, 13)
Watts St & Greenwich St	(13, 9)
Grand St & Elizabeth St	(11, 16)
Washington St & Gansevoort St	(7, 7)
N 11 St & Kent Ave	(1, 1)
E 17 St & Broadway	(21, 21)
Nassau St & Navy St	(1, 1)
Centre St & Chambers St	(16, 14)
W 52 St & 5 Ave	(12, 13)
W 27 St & 7 Ave	(5, 5)
Cooper Square & Astor Pl	(13, 8)
Willoughby St & Fleet St	(13, 7)
1 Ave & E 94 St	(1, 4)
Pershing Square North	(20, 22)
W 56 St & 10 Ave	(3, 5)
Water - Whitehall Plaza	(5, 5)
1 Ave & E 30 St	(9, 13)
S 3 St & Bedford Ave	(13, 1)
South End Ave & Liberty St	(14, 19)
Kent Ave & S 11 St	(7, 5)
FDR Drive & E 35 St	(10, 9)
Gansevoort St & Hudson St	(6, 5)
E 31 St & 3 Ave	(5, 5)
Carroll St & 5 Ave	(3, 1)
McGuinness Blvd & Eagle St	(15, 17)
Lexington Ave & E 26 St	(6, 9)
DeKalb Ave & Hudson Ave	(7, 10)
W 37 St & 10 Ave	(6, 3)
E 16 St & Irving Pl	(4, 6)
Bond St & Bergen St	(3, 1)
E 45 St & 3 Ave	(2, 7)
Wythe Ave & Metropolitan Ave	(20, 10)
Concord St & Bridge St	(0, 1)
Lefferts Pl & Franklin Ave	(0, 4)
W 13 St & 5 Ave	(8, 12)
6 Ave & W 33 St	(4, 5)
E 27 St & 1 Ave	(5, 7)
S 4 St & Wythe Ave	(21, 17)
W 70 St & Amsterdam Ave	(11, 4)
1 Ave & E 44 St	(12, 7)
3 Ave & Schermerhorn St	(1, 1)
Greenpoint Ave & Manhattan Ave	(5, 4)
W 78 St & Broadway	(2, 2)
W 63 St & Broadway	(8, 2)
Leonard St & Church St	(3, 9)
Eastern Pkwy & Franklin Ave	(8, 5)
Broadway & W 51 St	(3, 10)
46 Ave & 5 St	(11, 7)
Schermerhorn St & Bond St	(2, 0)
India St & Manhattan Ave	(4, 9)
Riverside Dr & W 72 St	(3, 8)
E 47 St & Park Ave	(19, 23)
Pearl St & Hanover Square	(2, 2)
1 Pl & Clinton St	(1, 2)
E 88 St & 1 Ave	(4, 8)
Henry St & Atlantic Ave	(2, 5)
Degraw St & Hoyt St	(1, 2)
Clinton St & Grand St	(6, 9)
W 26 St & 10 Ave	(12, 14)
Pike St & Monroe St	(6, 3)
7 Ave & Park Pl	(5, 15)
E 9 St & Avenue C	(7, 9)
7 Ave & Central Park South	(6, 1)
Monroe St & Bedford Ave	(3, 0)
W 41 St & 8 Ave	(25, 9)
Bergen St & Flatbush Ave	(2, 2)
Maiden Ln & Pearl St	(5, 4)
Avenue D & E 8 St	(3, 3)
Frederick Douglass Blvd & W 117 St	(2, 0)
E 84 St & 1 Ave	(4, 4)
Franklin St & W Broadway	(12, 4)
Perry St & Bleecker St	(5, 2)
Prospect Pl & 6 Ave	(2, 2)
Cumberland St & Lafayette Ave	(3, 2)
Kent Ave & N 7 St	(6, 12)
S 5 Pl & S 5 St	(7, 4)
E 11 St & 2 Ave	(10, 8)
E 85 St & York Ave	(4, 4)
E 91 St & Park Ave	(3, 1)
Broadway & W 53 St	(2, 5)
W 43 St & 6 Ave	(14, 9)
E 2 St & Avenue A	(11, 8)
E 106 St & Madison Ave	(0, 1)
Amsterdam Ave & W 66 St	(3, 2)
Bedford Ave & S 9 St	(4, 1)
E 20 St & 2 Ave	(8, 4)
E 91 St & 2 Ave	(3, 5)
W 106 St & Central Park West	(2, 0)
Old Fulton St	(4, 6)
21 St & 36 Ave	(0, 1)
E 12 St & 3 Ave	(16, 10)
W 20 St & 8 Ave	(4, 7)
Reade St & Broadway	(2, 5)
6 Ave & Canal St	(8, 12)
W 33 St & 7 Ave	(12, 5)
Duffield St & Willoughby St	(4, 4)
Peck Slip & Front St	(5, 7)
Graham Ave & Grand St	(2, 2)
E 47 St & 2 Ave	(2, 8)
E 53 St & 3 Ave	(4, 4)
Lexington Ave & E 29 St	(7, 7)
Greenwich Ave & 8 Ave	(3, 5)
11 Ave & W 59 St	(5, 9)
Butler St & Court St	(3, 0)
W 53 St & 10 Ave	(3, 2)
11 Ave & W 41 St	(6, 6)
W 45 St & 6 Ave	(5, 3)
E 74 St & 1 Ave	(5, 3)
W 4 St & 7 Ave S	(15, 5)
Kane St & Clinton St	(4, 2)
E 47 St & 1 Ave	(5, 5)
Henry St & Degraw St	(3, 1)
Bus Slip & State St	(6, 8)
St Marks Pl & 2 Ave	(5, 3)
Greenwich St & W Houston St	(11, 13)
Broadway & W 37 St	(2, 2)
Broadway & E 22 St	(33, 17)
E 39 St & 2 Ave	(8, 8)
12 Ave & W 40 St	(14, 15)
Pike St & E Broadway	(6, 8)
W 88 St & West End Ave	(1, 1)
Broadway & W 56 St	(7, 9)
Clark St & Henry St	(3, 4)
Driggs Ave & N Henry St	(4, 1)
E 81 St & 2 Ave	(4, 4)
Grand Army Plaza & Central Park S	(6, 6)
West Drive & Prospect Park West	(4, 2)
Bialystoker Pl & Delancey St	(1, 4)
Canal St & Rutgers St	(8, 8)
2 Ave & E 31 St	(11, 10)
Front St & Washington St	(2, 10)
Center Blvd & 48 Ave	(3, 6)
W 25 St & 6 Ave	(6, 5)
W 100 St & Broadway	(4, 2)
Bank St & Washington St	(4, 6)
Broadway & Battery Pl	(12, 11)
3 Ave & E 95 St	(1, 0)
Hanson Pl & Ashland Pl	(5, 4)
Broadway & W 38 St	(4, 4)
Riverside Dr & W 91 St	(4, 6)
Washington Pl & Broadway	(11, 7)
Cadman Plaza E & Red Cross Pl	(7, 6)
10 St & 7 Ave	(3, 2)
E 72 St & Park Ave	(1, 1)
Bond St & Fulton St	(1, 4)
Lafayette Ave & St James Pl	(5, 4)
Jay St & Tech Pl	(1, 7)
Forsyth St & Canal St	(6, 5)
Union Ave & Jackson St	(1, 2)
E 51 St & 1 Ave	(6, 8)
Centre St & Worth St	(6, 4)
Grand Ave & Bergen St	(4, 1)
E 13 St & Avenue A	(12, 13)
Carroll St & 6 Ave	(0, 3)
5 Ave & E 29 St	(4, 7)
Spruce St & Nassau St	(3, 4)
Central Park West & W 72 St	(5, 1)
E 55 St & Lexington Ave	(6, 5)
W 59 St & 10 Ave	(7, 7)
E 55 St & 3 Ave	(2, 6)
Bedford Ave & Bergen St	(1, 2)
Columbia St & Rivington St	(4, 1)
South St & Whitehall St	(5, 2)
Monroe St & Tompkins Ave	(1, 1)
Jay St & York St	(7, 6)
45 Rd & 11 St	(1, 4)
Bergen St & Vanderbilt Ave	(2, 2)
Allen St & Stanton St	(13, 14)
Grand Army Plaza & Plaza St West	(0, 2)
Smith St & 3 St	(3, 1)
1 Ave & E 62 St	(7, 5)
Atlantic Ave & Fort Greene Pl	(1, 6)
Washington Ave & Park Ave	(2, 1)
W 95 St & Broadway	(2, 0)
Greene Ave & Nostrand Ave	(0, 1)
E 41 St & Madison Ave	(10, 8)
3 Ave & E 62 St	(5, 4)
11 St & 43 Ave	(1, 1)
Clinton St & Union St	(3, 0)
Lexington Ave & Classon Ave	(4, 1)
Bayard St & Leonard St	(5, 0)
President St & Henry St	(6, 1)
Front St & Maiden Ln	(2, 8)
W 37 St & 5 Ave	(1, 3)
Meserole Ave & Manhattan Ave	(1, 5)
E 11 St & Avenue B	(8, 0)
Underhill Ave & Lincoln Pl	(2, 2)
5 Ave & E 73 St	(6, 4)
Baltic St & 5 Ave	(3, 1)
2 Ave & E 96 St	(2, 1)
Central Park West & W 68 St	(5, 3)
Center Blvd & 51 Ave	(1, 1)
Degraw St & Smith St	(2, 1)
Madison Ave & E 82 St	(4, 3)
Nassau Ave & Russell St	(7, 4)
Mercer St & Spring St	(3, 13)
Pershing Square South	(7, 11)
3 St & Hoyt St	(1, 4)
E 75 St & 3 Ave	(6, 1)
E 19 St & 3 Ave	(3, 6)
Milton St & Franklin St	(3, 9)
Rivington St & Ridge St	(6, 4)
Lawrence St & Willoughby St	(3, 3)
Carroll St & Smith St	(5, 0)
W 92 St & Broadway	(3, 2)
Union Ave & N 12 St	(5, 2)
Driggs Ave & Lorimer St	(1, 1)
Huron St & Franklin St	(4, 5)
E 10 St & Avenue A	(7, 9)
Stanton St & Chrystie St	(12, 6)
W 76 St & Columbus Ave	(2, 0)
Lenox Ave & W 130 St	(0, 2)
Henry St & Grand St	(6, 4)
Central Park West & W 102 St	(3, 1)
W 34 St & 11 Ave	(10, 5)
W 110 St & Amsterdam Ave	(2, 0)
Washington Ave & Greene Ave	(3, 6)
W 54 St & 9 Ave	(9, 4)
W 22 St & 8 Ave	(6, 10)
47 Ave & 31 St	(0, 1)
E 5 St & Avenue C	(7, 6)
Amsterdam Ave & W 79 St	(4, 3)
6 Ave & Broome St	(8, 8)
Riverside Dr & W 104 St	(1, 2)
Columbus Ave & W 72 St	(8, 1)
Madison Ave & E 99 St	(1, 1)
E 89 St & 3 Ave	(2, 4)
Metropolitan Ave & Bedford Ave	(4, 3)
Fulton St & Clermont Ave	(1, 2)
5 Ave & E 63 St	(3, 4)
E 52 St & 2 Ave	(8, 7)
W 90 St & Amsterdam Ave	(1, 2)
E 88 St & Park Ave	(1, 0)
Central Park W & W 96 St	(1, 0)
S 4 St & Rodney St	(1, 2)
Vernon Blvd & 31 Ave	(2, 1)
E 76 St & Park Ave	(4, 1)
47 Ave & Skillman Ave	(0, 2)
W 38 St & 8 Ave	(11, 20)
Broadway & W 36 St	(4, 6)
Market St & Cherry St	(3, 1)
Lafayette Ave & Fort Greene Pl	(5, 4)
Willoughby Ave & Hall St	(2, 5)
Kingston Ave & Herkimer St	(1, 0)
Warren St & Court St	(1, 3)
Atlantic Ave & Furman St	(1, 1)
Stanton St & Mangin St	(5, 1)
34 Ave & 13 St	(1, 0)
Broadway & W 122 St	(0, 1)
Scholes St & Manhattan Ave	(1, 1)
Laight St & Hudson St	(6, 3)
2 Ave & E 122 St	(0, 1)
Kosciuszko St & Nostrand Ave	(1, 0)
Nassau Ave & Newell St	(6, 4)
Park Pl & Vanderbilt Ave	(7, 2)
12 St & 4 Ave	(3, 0)
E 65 St & 2 Ave	(2, 1)
Railroad Ave & Kay Ave	(0, 1)
Court St & State St	(1, 3)
Fulton St & William St	(6, 7)
Pitt St & Stanton St	(1, 1)
India St & West St	(1, 0)
W 116 St & Broadway	(3, 2)
2 Ave & 9 St	(0, 1)
W 18 St & 9 Ave	(8, 2)
E 2 St & Avenue B	(5, 3)
31 St & Broadway	(1, 0)
Myrtle Ave & St Edwards St	(5, 0)
Pierrepont St & Monroe Pl	(1, 0)
Bedford Ave & Nassau Ave	(3, 1)
Congress St & Clinton St	(2, 2)
E 16 St & 5 Ave	(15, 14)
Duane St & Greenwich St	(3, 6)
Catherine St & Monroe St	(1, 1)
Cadman Plaza West & Montague St	(2, 4)
Franklin Ave & Empire Blvd	(2, 3)
E 43 St & 2 Ave	(1, 4)
Dean St & 4 Ave	(3, 4)
Harrison St & Hudson St	(4, 9)
West End Ave & W 94 St	(2, 0)
Marcy Ave & Lafayette Ave	(1, 0)
W 116 St & Amsterdam Ave	(0, 1)
Greenwich Ave & Charles St	(6, 6)
E 118 St & 3 Ave	(1, 0)
Sharon St & Olive St	(2, 0)
Broadway & W 32 St	(6, 9)
Driggs Ave & N 9 St	(0, 4)
Norfolk St & Broome St	(6, 0)
31 St & Thomson Ave	(0, 1)
E 58 St & Madison Ave	(1, 2)
Division St & Bowery	(2, 4)
Amsterdam Ave & W 82 St	(1, 5)
N 12 St & Bedford Ave	(2, 1)
6 Ave & 9 St	(7, 4)
Mott St & Prince St	(11, 7)
Banker St & Meserole Ave	(1, 6)
W 15 St & 7 Ave	(5, 5)
5 St & 6 Ave	(1, 0)
Cherry St	(3, 4)
Emerson Pl & Myrtle Ave	(2, 0)
Hope St & Union Ave	(3, 3)
E 6 St & Avenue D	(4, 3)
Murray St & Greenwich St	(7, 4)
Lexington Ave & E 63 St	(6, 3)
Prospect Park West & 8 St	(0, 3)
Lafayette Ave & Classon Ave	(1, 2)
Van Brunt St & Wolcott St	(1, 0)
E 102 St & 1 Ave	(1, 1)
State St & Smith St	(1, 5)
Central Park West & W 85 St	(1, 5)
Lewis Ave & Madison St	(1, 0)
Berry St & N 8 St	(1, 0)
Avenue D & E 12 St	(7, 3)
Fulton St & Rockwell Pl	(4, 5)
5 Ave & E 88 St	(0, 3)
Central Park North & Adam Clayton Powell Blvd	(3, 2)
5 St & Market St	(1, 3)
Clinton St & Joralemon St	(0, 2)
Vernon Blvd & 41 Rd	(0, 1)
Macon St & Nostrand Ave	(0, 1)
Douglass St & 4 Ave	(0, 3)
Berkeley Pl & 6 Ave	(3, 0)
E 60 St & York Ave	(0, 2)
Cadman Plaza E & Johnson St	(1, 1)
E 106 St & 1 Ave	(0, 2)
5 Ave & 3 St	(0, 2)
Columbia Heights & Cranberry St	(2, 0)
4 Ave & 9 St	(0, 1)
Central Ave & Starr Street	(0, 1)
Amsterdam Ave & W 119 St	(2, 0)
E 67 St & Park Ave	(1, 1)
Columbia St & Kane St	(1, 0)
2 Ave & 36 St - Citi Bike HQ at Industry City	(1, 1)
Clinton Ave & Flushing Ave	(2, 1)
W 84 St & Columbus Ave	(2, 2)
E 81 St & Park Ave	(0, 1)
3 St & 3 Ave	(2, 1)
Devoe St & Lorimer St	(1, 2)
Cambridge Pl & Gates Ave	(0, 1)
E 25 St & 1 Ave	(1, 4)
