Allen St & Rivington St	(21, 8)
Bank St & Hudson St	(162, 179)
1 Ave & E 18 St	(229, 218)
Liberty St & Broadway	(12, 13)
Lispenard St & Broadway	(212, 216)
Suffolk St & Stanton St	(149, 168)
E 11 St & Avenue B	(6, 8)
Fulton St & Broadway	(18, 23)
W 41 St & 8 Ave	(23, 15)
E 59 St & Madison Ave	(132, 133)
Garfield Pl & 8 Ave	(1, 0)
Underhill Ave & Pacific St	(38, 42)
Bayard St & Baxter St	(5, 7)
E 11 St & 1 Ave	(199, 201)
E 27 St & 1 Ave	(10, 6)
E 23 St & 1 Ave	(252, 278)
Market St & Cherry St	(2, 1)
E 10 St & 5 Ave	(6, 3)
Douglass St & 4 Ave	(3, 1)
Clinton Ave & Myrtle Ave	(90, 92)
Division Av & Hooper St	(0, 1)
Myrtle Ave & Lewis Ave	(0, 4)
W 35 St & Dyer Ave	(7, 2)
W 43 St & 10 Ave	(197, 207)
8 Ave & W 33 St	(4, 9)
W 4 St & 7 Ave S	(12, 7)
Vesey Pl & River Terrace	(322, 322)
Crescent St & 34 Ave	(1, 0)
N 6 St & Bedford Ave	(154, 155)
3 St & 7 Ave	(64, 51)
3 St & Prospect Park West	(1, 6)
S 5 Pl & S 5 St	(10, 7)
1 Ave & E 62 St	(12, 9)
W 64 St & Thelonious Monk Circle	(114, 113)
S 4 St & Wythe Ave	(1, 1)
Fulton St & Grand Ave	(5, 5)
Howard St & Centre St	(187, 189)
South St & Whitehall St	(10, 9)
E 20 St & FDR Drive	(20, 20)
11 Ave & W 27 St	(15, 20)
E 17 St & Broadway	(22, 13)
Stanton St & Chrystie St	(14, 18)
E 4 St & 2 Ave	(14, 10)
Riverside Dr & W 72 St	(8, 9)
Riverside Dr & W 82 St	(87, 87)
W 22 St & 8 Ave	(7, 11)
W 53 St & 10 Ave	(6, 12)
E 7 St & Avenue A	(13, 12)
W 84 St & Broadway	(3, 2)
Wythe Ave & Metropolitan Ave	(15, 15)
W 15 St & 10 Ave	(153, 150)
E 19 St & 3 Ave	(5, 9)
Murray St & West St	(127, 147)
Leonard St & Maujer St	(1, 1)
Hudson St & Reade St	(7, 11)
Broadway & E 22 St	(41, 36)
Carlton Ave & Flushing Ave	(2, 1)
Avenue C & E 18 St	(6, 6)
MacDougal St & Prince St	(18, 17)
3 Ave & E 71 St	(1, 1)
Classon Ave & St Marks Ave	(59, 58)
Monroe St & Classon Ave	(0, 1)
Rivington St & Chrystie St	(11, 7)
Bayard St & Leonard St	(5, 3)
48 Ave & 30 Pl	(1, 1)
St Marks Pl & 2 Ave	(7, 4)
Division St & Bowery	(5, 6)
W 50 St & 9 Ave	(7, 8)
W 42 St & 8 Ave	(8, 6)
Forsyth St & Broome St	(16, 12)
2 Ave & E 72 St	(10, 8)
Amsterdam Ave & W 66 St	(2, 11)
Clinton St & Union St	(5, 2)
Monroe St & Tompkins Ave	(1, 0)
Murray St & Greenwich St	(16, 7)
2 Ave & E 31 St	(14, 8)
W 110 St & Amsterdam Ave	(0, 1)
West End Ave & W 107 St	(4, 2)
Centre St & Chambers St	(13, 14)
E 2 St & Avenue B	(16, 12)
South End Ave & Liberty St	(16, 19)
46 Ave & 5 St	(10, 10)
