W 11 St & 6 Ave	(15, 7)
9 Ave & W 28 St	(9, 3)
Lincoln Pl & Classon Ave	(1, 0)
W 16 St & The High Line	(10, 19)
E 59 St & Madison Ave	(23, 42)
E 11 St & 2 Ave	(16, 12)
Lexington Ave & E 29 St	(4, 9)
Christopher St & Greenwich St	(17, 20)
W 33 St & 7 Ave	(10, 6)
Stanton St & Norfolk St	(12, 4)
Fulton St & Waverly Ave	(5, 4)
W 50 St & 9 Ave	(4, 5)
E 91 St & 2 Ave	(6, 9)
West End Ave & W 107 St	(2, 1)
E 93 St & 2 Ave	(2, 3)
6 Ave & Canal St	(9, 6)
West St & Chambers St	(36, 16)
Myrtle Ave & Lewis Ave	(3, 2)
Water - Whitehall Plaza	(1, 6)
W 95 St & Broadway	(3, 3)
Pershing Square North	(9, 8)
John St & William St	(3, 8)
Grand Army Plaza & Central Park S	(10, 6)
S 5 Pl & S 5 St	(15, 7)
W 63 St & Broadway	(5, 3)
Kosciuszko St & Nostrand Ave	(1, 0)
Broadway & Whipple St	(1, 1)
Central Park S & 6 Ave	(8, 17)
W 20 St & 11 Ave	(13, 14)
Park Pl & Vanderbilt Ave	(7, 5)
Bayard St & Baxter St	(5, 11)
E 10 St & 5 Ave	(7, 3)
Jay St & York St	(3, 6)
South St & Whitehall St	(18, 15)
1 Ave & E 62 St	(12, 8)
Pike St & E Broadway	(7, 7)
Columbia St & Rivington St	(1, 2)
Pier 40 - Hudson River Park	(22, 29)
Amsterdam Ave & W 82 St	(2, 9)
W 18 St & 6 Ave	(8, 17)
1 Ave & E 30 St	(7, 8)
W 45 St & 8 Ave	(9, 6)
E 84 St & 1 Ave	(6, 14)
W 42 St & Dyer Ave	(0, 9)
Forsyth St & Broome St	(8, 7)
W 44 St & 5 Ave	(5, 6)
Pierrepont St & Monroe Pl	(2, 1)
W 59 St & 10 Ave	(2, 5)
W 27 St & 10 Ave	(8, 8)
9 Ave & W 45 St	(13, 9)
49 Ave & 21 St	(0, 1)
46 Ave & 5 St	(8, 8)
South St & Gouverneur Ln	(23, 12)
E 81 St & 2 Ave	(2, 6)
6 Ave & 9 St	(4, 4)
William St & Pine St	(0, 8)
1 Ave & E 68 St	(12, 7)
Henry St & Grand St	(6, 5)
Center Blvd & 48 Ave	(4, 4)
5 Ave & E 73 St	(5, 16)
E 10 St & Avenue A	(11, 9)
Division St & Bowery	(10, 9)
E 68 St & 3 Ave	(1, 1)
University Pl & E 14 St	(7, 6)
2 Ave & E 72 St	(11, 5)
2 Ave & E 96 St	(1, 6)
E 77 St & 3 Ave	(7, 8)
W 70 St & Amsterdam Ave	(9, 8)
Lexington Ave & E 63 St	(0, 2)
Willoughby St & Fleet St	(4, 8)
Kane St & Clinton St	(1, 1)
Smith St & 3 St	(2, 0)
E 68 St & Madison Ave	(0, 4)
Harrison St & Hudson St	(5, 8)
3 St & 3 Ave	(4, 1)
E 17 St & Broadway	(25, 21)
Amsterdam Ave & W 66 St	(0, 9)
Atlantic Ave & Furman St	(0, 1)
West End Ave & W 94 St	(6, 1)
Central Park West & W 85 St	(5, 3)
N 15 St & Wythe Ave	(6, 1)
St Marks Pl & 2 Ave	(7, 10)
Prospect Pl & 6 Ave	(1, 2)
Fulton St & Grand Ave	(5, 3)
8 Ave & W 31 St	(11, 8)
Perry St & Bleecker St	(19, 6)
W 34 St & 11 Ave	(13, 21)
E 88 St & 1 Ave	(3, 6)
3 Ave & E 72 St	(1, 3)
5 Ave & E 103 St	(1, 2)
11 Ave & W 27 St	(16, 22)
E 84 St & 3 Ave	(14, 10)
7 Ave & Central Park South	(5, 4)
5 Ave & E 78 St	(13, 5)
E 6 St & Avenue D	(7, 1)
Driggs Ave & Lorimer St	(3, 1)
Richardson St & N Henry St	(3, 2)
W 54 St & 9 Ave	(10, 7)
Lafayette Ave & Fort Greene Pl	(7, 2)
Central Park West & W 100 St	(1, 2)
Broadway & Battery Pl	(9, 11)
Allen St & Rivington St	(14, 12)
W 41 St & 8 Ave	(9, 7)
E 89 St & York Ave	(6, 2)
W 78 St & Broadway	(5, 2)
Greenwich Ave & 8 Ave	(13, 9)
Dean St & Franklin Ave	(2, 1)
Stanton St & Mangin St	(5, 8)
Spruce St & Nassau St	(8, 3)
11 Ave & W 41 St	(8, 17)
Greene Ave & Throop Ave	(1, 0)
Broadway & W 41 St	(4, 4)
Clinton Ave & Flushing Ave	(6, 2)
E 72 St & Park Ave	(3, 1)
E 43 St & 5 Ave	(5, 2)
W Broadway & Spring Street	(12, 10)
Great Jones St	(14, 14)
W 53 St & 10 Ave	(6, 2)
E 16 St & Irving Pl	(6, 3)
3 St & Prospect Park West	(2, 7)
Pleasant Ave & E 116 St	(7, 3)
11 Ave & W 59 St	(12, 15)
Watts St & Greenwich St	(13, 8)
Sharon St & Olive St	(1, 0)
E 25 St & 1 Ave	(1, 4)
Central Park W & W 96 St	(2, 1)
Cooper Square & Astor Pl	(6, 8)
Leonard St & Church St	(6, 12)
Hudson St & Reade St	(11, 7)
Norfolk St & Broome St	(10, 19)
W 22 St & 8 Ave	(17, 8)
E 30 St & Park Ave S	(4, 6)
St James Pl & Oliver St	(2, 7)
W 26 St & 8 Ave	(6, 10)
Barrow St & Hudson St	(17, 16)
Banker St & Meserole Ave	(1, 4)
W 82 St & Central Park West	(2, 0)
E 47 St & Park Ave	(4, 1)
Riverside Dr & W 72 St	(14, 8)
W 27 St & 7 Ave	(10, 2)
Central Park West & W 68 St	(8, 8)
Meserole Ave & Manhattan Ave	(5, 4)
Center Blvd & 51 Ave	(9, 7)
E 47 St & 2 Ave	(0, 5)
E 58 St & 1 Ave (NE Corner)	(4, 0)
Franklin St & Dupont St	(5, 5)
Front St & Maiden Ln	(8, 20)
Front St & Washington St	(12, 4)
Sterling Pl & Bedford Ave	(1, 2)
W 56 St & 10 Ave	(7, 2)
