38207	(2525, 3)
33255	(1246, 1)
15600	(1153, 4)
35598	(4518, 6)
21471	(2052, 3)
28974	(934, 2)
19336	(1191, 1)
38921	(701, 2)
24908	(1948, 4)
26980	(540, 2)
28508	(3934, 5)
31032	(1023, 1)
26870	(1736, 2)
32586	(1786, 1)
38427	(847, 2)
38975	(1381, 1)
33083	(984, 1)
28724	(2845, 2)
35158	(4256, 5)
26341	(1328, 2)
33131	(434, 2)
38175	(1218, 2)
18051	(899, 1)
34250	(1762, 3)
15049	(1720, 2)
33565	(1172, 2)
14858	(819, 2)
16421	(1136, 2)
31388	(1176, 4)
21365	(741, 2)
38924	(1788, 2)
32921	(1284, 2)
39923	(1182, 1)
26338	(1338, 2)
34397	(237, 1)
39663	(1826, 3)
38598	(1962, 1)
32662	(1153, 1)
15112	(1246, 2)
15822	(1070, 4)
27483	(2579, 6)
25723	(335, 1)
32037	(673, 2)
39557	(2598, 4)
26129	(157, 1)
35159	(2540, 4)
25317	(1145, 2)
27741	(1648, 1)
27620	(2356, 2)
20896	(3309, 2)
16582	(1819, 2)
18701	(4435, 6)
32559	(1524, 4)
25298	(3314, 3)
29973	(588, 1)
28707	(1427, 2)
34849	(1796, 2)
30198	(153, 1)
26582	(501, 1)
34214	(2201, 1)
38853	(921, 2)
38100	(1068, 1)
33961	(1173, 3)
28987	(1830, 5)
28288	(527, 2)
25949	(591, 2)
38446	(3450, 4)
39474	(423, 2)
26703	(2391, 3)
35319	(976, 2)
38501	(1481, 3)
27667	(362, 1)
32807	(2210, 3)
30487	(878, 1)
38039	(825, 1)
38300	(393, 1)
39352	(328, 1)
15705	(1768, 4)
19612	(3043, 4)
29809	(673, 2)
20732	(326, 1)
35378	(4695, 5)
32234	(2391, 2)
28634	(1710, 2)
38437	(375, 1)
38130	(2164, 2)
39728	(1947, 3)
27148	(1679, 2)
35358	(2144, 3)
19139	(4228, 5)
33218	(535, 2)
30626	(1017, 3)
30060	(346, 1)
19893	(1821, 2)
26777	(293, 1)
19215	(848, 1)
39920	(3060, 2)
38578	(1721, 4)
34315	(950, 1)
26568	(809, 2)
17919	(532, 1)
27814	(2610, 3)
