19384	(1005, 1)
21029	(4981, 5)
27123	(1830, 1)
33317	(197, 1)
16174	(2925, 2)
28116	(1441, 1)
34320	(158, 1)
30271	(1805, 3)
19342	(768, 2)
16171	(493, 1)
28920	(351, 1)
29044	(1776, 3)
32039	(651, 2)
29337	(1998, 2)
17719	(1570, 2)
28688	(338, 1)
31127	(1489, 1)
32618	(1795, 4)
33968	(4387, 3)
15201	(4397, 3)
31968	(742, 2)
28069	(517, 2)
29849	(1165, 1)
33103	(1955, 2)
16873	(1352, 1)
33400	(2877, 4)
33966	(2247, 3)
31541	(1397, 1)
35063	(5266, 4)
25491	(1583, 2)
34104	(497, 2)
33570	(2881, 2)
34956	(1067, 1)
34381	(1190, 1)
33594	(2168, 4)
28504	(2306, 3)
16705	(3792, 6)
19016	(945, 3)
30386	(1747, 2)
33458	(535, 1)
33796	(4275, 6)
33907	(4013, 7)
32500	(572, 2)
30720	(3642, 4)
15355	(1910, 2)
16278	(1193, 2)
21336	(1188, 2)
19725	(2250, 3)
27660	(4810, 4)
35273	(1900, 2)
29906	(868, 1)
14924	(1020, 3)
29892	(2647, 4)
30982	(1110, 2)
16084	(654, 2)
15169	(1998, 2)
32702	(488, 2)
30143	(1313, 2)
35042	(1502, 3)
33091	(5217, 6)
19736	(600, 2)
16755	(576, 1)
31478	(1586, 1)
21545	(1525, 3)
30512	(2012, 2)
30465	(626, 2)
20061	(3761, 4)
25593	(1553, 3)
35268	(1010, 4)
27152	(2317, 2)
31401	(1010, 2)
30307	(1797, 2)
17154	(2377, 2)
15428	(368, 1)
32239	(1259, 2)
15344	(2234, 2)
25289	(105, 1)
35196	(2009, 2)
31232	(299, 1)
31060	(3693, 5)
33445	(1693, 2)
19169	(798, 2)
33844	(1529, 3)
21076	(3126, 4)
27038	(465, 2)
30583	(1564, 1)
34374	(3316, 4)
25581	(5243, 5)
32555	(860, 1)
26529	(1065, 1)
35230	(3199, 4)
34090	(438, 2)
25323	(470, 1)
29959	(1216, 2)
28963	(249, 1)
16636	(211, 1)
34177	(191, 1)
19665	(490, 2)
33991	(530, 2)
31474	(749, 2)
21649	(976, 1)
29155	(377, 1)
35192	(12354, 12)
18337	(2021, 3)
33555	(235, 1)
29077	(661, 2)
27989	(1894, 3)
25508	(1151, 4)
20883	(467, 1)
27721	(775, 2)
31144	(319, 1)
34992	(2773, 5)
31102	(2059, 3)
34308	(460, 2)
32189	(1996, 2)
27690	(1964, 4)
33923	(5002, 5)
34117	(7278, 8)
33791	(1877, 3)
30425	(2041, 4)
20605	(1799, 4)
19033	(1518, 2)
30017	(2466, 3)
28505	(902, 2)
33306	(1369, 1)
17983	(587, 2)
33268	(1150, 2)
31503	(515, 1)
29987	(2352, 3)
34407	(2868, 4)
29375	(1035, 1)
15055	(1096, 2)
19415	(1359, 2)
27217	(278, 2)
29882	(204, 1)
29731	(2538, 4)
25634	(206, 1)
29557	(395, 1)
28587	(3972, 6)
25223	(7060, 5)
30445	(1258, 1)
21511	(798, 1)
19080	(1843, 2)
33650	(312, 1)
16014	(1452, 2)
29395	(1118, 2)
30034	(5687, 4)
25716	(2501, 3)
30352	(182, 1)
32591	(312, 2)
35101	(918, 2)
30496	(4885, 4)
28193	(390, 1)
35017	(2632, 2)
32029	(1108, 2)
28490	(2115, 2)
14793	(695, 2)
28696	(1242, 2)
30716	(1790, 1)
35005	(917, 1)
19147	(360, 1)
17288	(901, 1)
17463	(2887, 4)
34026	(1851, 2)
18050	(939, 2)
30337	(3815, 5)
