LaGuardia Pl & W 3 St	(15, 16)
Bank St & Hudson St	(140, 140)
Douglass St & 4 Ave	(2, 3)
Underhill Ave & Pacific St	(39, 32)
W 38 St & 8 Ave	(17, 15)
Fulton St & Adams St	(141, 123)
1 Pl & Clinton St	(2, 2)
1 Ave & E 18 St	(148, 163)
Forsyth St & Broome St	(8, 13)
Suffolk St & Stanton St	(160, 159)
Avenue D & E 12 St	(5, 1)
W 15 St & 10 Ave	(144, 146)
E 10 St & Avenue A	(15, 10)
E 51 St & Lexington Ave	(93, 92)
Broadway & W 49 St	(8, 10)
Howard St & Centre St	(170, 168)
E 23 St & 1 Ave	(230, 231)
W 41 St & 8 Ave	(14, 10)
N 6 St & Bedford Ave	(135, 138)
Franklin Ave & St Marks Ave	(1, 3)
Meserole Ave & Manhattan Ave	(7, 6)
Front St & Maiden Ln	(9, 5)
E 11 St & 1 Ave	(157, 155)
Allen St & Stanton St	(24, 19)
E 81 St & York Ave	(84, 68)
E 25 St & 2 Ave	(12, 11)
E 59 St & Madison Ave	(131, 129)
Central Park West & W 85 St	(3, 7)
Broadway & E 22 St	(31, 31)
E 15 St & 3 Ave	(19, 12)
E 16 St & 5 Ave	(15, 4)
Driggs Ave & N 9 St	(0, 2)
Cliff St & Fulton St	(10, 9)
E 12 St & 3 Ave	(10, 14)
E 2 St & Avenue B	(8, 4)
W 15 St & 6 Ave	(15, 10)
8 Ave & W 33 St	(14, 20)
W 64 St & Thelonious Monk Circle	(121, 120)
3 Ave & E 72 St	(4, 2)
W 55 St & 6 Ave	(2, 2)
E 72 St & York Ave	(7, 10)
E 20 St & Park Ave	(11, 13)
Grand St & Elizabeth St	(8, 12)
Murray St & Greenwich St	(10, 12)
Lispenard St & Broadway	(160, 166)
Centre St & Chambers St	(30, 20)
6 Ave & Broome St	(12, 15)
Graham Ave & Grand St	(1, 1)
Lafayette St & E 8 St	(21, 22)
Broadway & Roebling St	(2, 4)
Nassau Ave & Newell St	(3, 7)
Union Ave & N 12 St	(6, 2)
E 10 St & 5 Ave	(4, 8)
Bayard St & Baxter St	(15, 6)
W 33 St & 7 Ave	(13, 12)
7 Ave & Park Pl	(11, 15)
3 St & 7 Ave	(52, 52)
6 St & 7 Ave	(2, 2)
Dean St & Franklin Ave	(3, 0)
Classon Ave & St Marks Ave	(48, 47)
Broadway & Whipple St	(1, 1)
1 Ave & E 78 St	(181, 178)
E 88 St & 1 Ave	(4, 12)
Greenpoint Ave & Manhattan Ave	(3, 2)
Vernon Blvd & 50 Ave	(98, 100)
E 2 St & Avenue C	(127, 128)
South End Ave & Liberty St	(26, 27)
St Marks Pl & 2 Ave	(15, 7)
Duane St & Greenwich St	(6, 7)
Vesey Pl & River Terrace	(311, 308)
W 22 St & 8 Ave	(9, 11)
W 24 St & 7 Ave	(5, 11)
W 43 St & 10 Ave	(163, 164)
W 26 St & 10 Ave	(10, 20)
W 49 St & 8 Ave	(7, 5)
W 42 St & 8 Ave	(13, 10)
Eastern Pkwy & Washington Ave	(4, 4)
W 84 St & Broadway	(4, 2)
E 25 St & 1 Ave	(3, 13)
Huron St & Franklin St	(6, 9)
Adelphi St & Myrtle Ave	(3, 3)
E 88 St & Park Ave	(1, 1)
West St & Chambers St	(28, 32)
2 Ave & E 72 St	(8, 14)
Murray St & West St	(153, 151)
6 Ave & 9 St	(4, 1)
Cleveland Pl & Spring St	(21, 11)
Avenue D & E 3 St	(7, 8)
E 91 St & 2 Ave	(5, 11)
W 21 St & 6 Ave	(20, 24)
Stanton St & Chrystie St	(10, 18)
Great Jones St	(22, 33)
W 27 St & 10 Ave	(11, 5)
Madison Ave & E 120 St	(1, 0)
Riverside Dr & W 82 St	(91, 92)
Cadman Plaza West & Montague St	(1, 1)
Fulton St & Broadway	(22, 13)
Lawrence St & Willoughby St	(3, 4)
W 18 St & 6 Ave	(24, 19)
11 Ave & W 41 St	(5, 11)
Little West St & 1 Pl	(27, 18)
E 77 St & 3 Ave	(14, 15)
E 32 St & Park Ave	(5, 12)
E 31 St & 3 Ave	(5, 5)
W 67 St & Broadway	(6, 5)
E 20 St & 2 Ave	(9, 5)
Christopher St & Greenwich St	(31, 22)
E 82 St & East End Ave	(2, 2)
Carmine St & 6 Ave	(15, 19)
Park Pl & Vanderbilt Ave	(7, 4)
8 Ave & W 31 St	(20, 22)
12 Ave & W 40 St	(26, 24)
W 20 St & 11 Ave	(18, 21)
E 91 St & Park Ave	(2, 4)
E 75 St & 3 Ave	(1, 2)
Franklin St & Dupont St	(4, 6)
W 44 St & 5 Ave	(6, 11)
E 68 St & 3 Ave	(2, 6)
S 3 St & Bedford Ave	(18, 6)
Riverside Dr & W 72 St	(8, 4)
E 89 St & York Ave	(3, 3)
1 Ave & E 44 St	(8, 8)
W 82 St & Central Park West	(3, 2)
St James Pl & Pearl St	(6, 5)
West Thames St	(14, 14)
E 33 St & 1 Ave	(10, 13)
E 19 St & 3 Ave	(5, 7)
Central Park S & 6 Ave	(3, 6)
W 16 St & 8 Ave	(11, 17)
E 4 St & 2 Ave	(16, 8)
E 48 St & 5 Ave	(5, 19)
Dean St & 4 Ave	(2, 4)
W 42 St & Dyer Ave	(10, 8)
Amsterdam Ave & W 79 St	(2, 5)
5 Ave & E 88 St	(4, 6)
19 St & 24 Ave	(1, 1)
West Drive & Prospect Park West	(5, 1)
Emerson Pl & Myrtle Ave	(0, 2)
Grand Army Plaza & Plaza St West	(1, 2)
1 Ave & E 16 St	(16, 20)
Lafayette St & Jersey St	(13, 17)
Riverside Blvd & W 67 St	(9, 8)
North Moore St & Greenwich St	(54, 54)
E 39 St & 2 Ave	(11, 19)
E 33 St & 5 Ave	(11, 10)
W 20 St & 7 Ave	(3, 5)
Pershing Square South	(7, 7)
Amsterdam Ave & W 73 St	(6, 10)
E 55 St & Lexington Ave	(3, 5)
Central Park West & W 100 St	(2, 1)
Washington Ave & Greene Ave	(3, 5)
S 4 St & Wythe Ave	(20, 26)
Watts St & Greenwich St	(19, 18)
1 Ave & E 30 St	(5, 13)
Old Slip & Front St	(10, 8)
5 Ave & E 78 St	(0, 4)
E 43 St & 5 Ave	(12, 7)
E 58 St & 3 Ave	(7, 7)
E 81 St & 2 Ave	(3, 4)
Park Ave & E 124 St	(1, 3)
1 Ave & E 68 St	(14, 7)
Greenwich Ave & 8 Ave	(5, 5)
Broadway & Berry St	(7, 11)
Pearl St & Anchorage Pl	(5, 4)
E 51 St & 1 Ave	(4, 6)
Washington Pl & Broadway	(16, 13)
W 56 St & 10 Ave	(4, 8)
Washington Pl & 6 Ave	(5, 4)
E 6 St & Avenue B	(9, 9)
St Marks Pl & 1 Ave	(7, 12)
W 11 St & 6 Ave	(6, 5)
W 47 St & 10 Ave	(4, 6)
Barrow St & Hudson St	(12, 16)
E 7 St & Avenue A	(8, 5)
Columbia St & Kane St	(0, 4)
E 24 St & Park Ave S	(14, 19)
Clinton Ave & Myrtle Ave	(76, 73)
47 Ave & 31 St	(3, 2)
W 76 St & Columbus Ave	(1, 2)
McGuinness Blvd & Eagle St	(17, 13)
Broadway & E 14 St	(31, 26)
Peck Slip & Front St	(10, 10)
Wythe Ave & Metropolitan Ave	(24, 13)
W 25 St & 6 Ave	(14, 7)
E 53 St & Madison Ave	(12, 7)
Willoughby St & Fleet St	(14, 17)
9 Ave & W 28 St	(13, 5)
Perry St & Bleecker St	(6, 4)
E 2 St & 2 Ave	(5, 3)
E 65 St & 2 Ave	(7, 3)
Washington Ave & Park Ave	(2, 2)
Sullivan St & Washington Sq	(9, 5)
E 20 St & FDR Drive	(12, 14)
Madison Ave & E 82 St	(3, 3)
Maiden Ln & Pearl St	(8, 5)
Broad St & Bridge St	(67, 67)
Bayard St & Leonard St	(1, 2)
Broadway & W 41 St	(15, 19)
E 78 St & 2 Ave	(3, 2)
Greenwich Ave & Charles St	(6, 5)
E 47 St & Park Ave	(15, 20)
