Washington Park	(0, 1) 
Grand Army Plaza & Plaza St West	(2, 1) 
Amsterdam Ave & W 79 St	(4, 6) 
31 St & Newtown Ave	(1, 0) 
Van Brunt St & Wolcott St	(0, 1) 
Carroll St & 6 Ave	(0, 1) 
Cumberland St & Lafayette Ave	(2, 1) 
Reade St & Broadway	(8, 14) 
Fulton St & Adams St	(97, 82) 
Classon Ave & St Marks Ave	(45, 48) 
Frederick Douglass Blvd & W 117 St	(1, 2) 
W 52 St & 6 Ave	(6, 6) 
St Nicholas Ave & Manhattan Ave	(1, 1) 
Irving Ave & Jefferson St	(0, 1) 
Frederick Douglass Blvd & W 115 St	(0, 1) 
India St & Manhattan Ave	(4, 0) 
St Marks Pl & 1 Ave	(12, 8) 
Bedford Ave & S 9 St	(3, 1) 
Riverside Dr & W 82 St	(53, 50) 
Crescent St & Broadway	(2, 0) 
E 72 St & York Ave	(9, 9) 
Washington Ave & Park Ave	(1, 1) 
Bayard St & Baxter St	(4, 4) 
Riverside Dr & W 78 St	(1, 5) 
Pleasant Ave & E 120 St	(1, 0) 
Banker St & Meserole Ave	(4, 2) 
Lenox Ave & W 111 St	(0, 1) 
2 Ave & 36 St - Citi Bike HQ at Industry City	(2, 1) 
Fulton St & Rockwell Pl	(2, 2) 
Henry St & Degraw St	(2, 4) 
Stanton St & Chrystie St	(13, 11) 
49 Ave & 21 St	(0, 2) 
Park Pl & Church St	(7, 14) 
7 St & 3 Ave	(1, 1) 
Sullivan Pl & Bedford Ave	(0, 1) 
Henry St & Grand St	(4, 7) 
Forsyth St & Canal St	(14, 5) 
E 72 St & Park Ave	(1, 5) 
W 78 St & Broadway	(1, 1) 
E 27 St & 1 Ave	(3, 8) 
28 Ave & 35 St	(0, 1) 
St James Pl & Pearl St	(2, 1) 
Carlton Ave & Dean St	(1, 0) 
DeKalb Ave & S Portland Ave	(1, 2) 
Pearl St & Anchorage Pl	(2, 2) 
N 6 St & Bedford Ave	(167, 171) 
Broadway & E 22 St	(22, 21) 
Park Pl & Vanderbilt Ave	(12, 5) 
Stanton St & Norfolk St	(13, 9) 
W 82 St & Central Park West	(2, 3) 
Union St & Nevins St	(1, 0) 
5 Ave & 3 St	(2, 1) 
Columbia Heights & Cranberry St	(1, 0) 
Broad St & Bridge St	(60, 68) 
West End Ave & W 107 St	(2, 0) 
9 St & 44 Rd	(1, 0) 
E 88 St & Park Ave	(0, 1) 
Amsterdam Ave & W 73 St	(6, 5) 
Broadway & Moylan Pl	(0, 1) 
Spruce St & Nassau St	(4, 7) 
Howard St & Centre St	(144, 140) 
E 13 St & Avenue A	(8, 13) 
Broadway & Whipple St	(1, 0) 
Cadman Plaza E & Johnson St	(1, 1) 
Broadway & W 38 St	(10, 6) 
Lexington Ave & E 36 St	(4, 8) 
E 32 St & Park Ave	(11, 17) 
Water - Whitehall Plaza	(7, 7) 
E 81 St & Park Ave	(1, 1) 
31 St & Northern Blvd	(0, 2) 
Commerce St & Van Brunt St	(0, 1) 
W 95 St & Broadway	(1, 2) 
Clinton St & Union St	(2, 2) 
Norfolk St & Broome St	(5, 7) 
5 St & 6 Ave	(0, 1) 
E 106 St & Madison Ave	(0, 1) 
W 52 St & 5 Ave	(9, 10) 
Carlton Ave & Park Ave	(0, 1) 
Clinton St & 4 Place	(0, 1) 
Bank St & Hudson St	(85, 105) 
W 106 St & Amsterdam Ave	(1, 0) 
President St & Henry St	(0, 1) 
W 100 St & Broadway	(3, 2) 
Riverside Dr & W 104 St	(0, 1) 
W 37 St & 5 Ave	(11, 9) 
6 Ave & 9 St	(4, 5) 
E 47 St & 2 Ave	(6, 3) 
Washington Pl & Broadway	(8, 3) 
Central Park West & W 72 St	(3, 4) 
35 Ave & 37 St	(1, 0) 
South End Ave & Liberty St	(11, 8) 
E 12 St & 4 Av	(11, 7) 
E 58 St & 1 Ave (NE Corner)	(4, 4) 
Greenwich Ave & 8 Ave	(13, 6) 
Broadway & W 49 St	(9, 5) 
E 53 St & Madison Ave	(8, 5) 
Montrose Ave & Bushwick Ave	(1, 2) 
Bond St & Fulton St	(5, 5) 
9 Ave & W 18 St	(4, 4) 
Pike St & Monroe St	(2, 3) 
Mercer St & Spring St	(13, 5) 
Cadman Plaza West & Montague St	(1, 0) 
W 20 St & 11 Ave	(13, 26) 
Berry St & N 8 St	(3, 5) 
Perry St & Bleecker St	(8, 7) 
5 Ave & E 73 St	(3, 0) 
E 45 St & 3 Ave	(7, 7) 
Eastern Pkwy & Franklin Ave	(6, 2) 
W 17 St & 8 Ave	(10, 11) 
E 52 St & 2 Ave	(6, 6) 
MacDougal St & Washington Sq	(3, 2) 
S 4 St & Wythe Ave	(19, 32) 
E 82 St & East End Ave	(5, 1) 
E 24 St & Park Ave S	(18, 18) 
Old Slip & Front St	(9, 3) 
Center Blvd & 48 Ave	(3, 3) 
Clermont Ave & Park Ave	(1, 2) 
Clermont Ave & Lafayette Ave	(0, 1) 
E 89 St & 3 Ave	(2, 4) 
Union St & 4 Ave	(0, 3) 
Knickerbocker Ave & George St	(1, 1) 
Willoughby Ave & Wyckoff Ave	(2, 2) 
E 47 St & Park Ave	(17, 14) 
Jackson St & Leonard St	(0, 2) 
E 7 St & Avenue A	(8, 12) 
McGuinness Blvd & Eagle St	(21, 19) 
Columbia St & Rivington St	(7, 4) 
Allen St & Rivington St	(10, 5) 
Central Park West & W 100 St	(3, 0) 
Graham Ave & Grand St	(1, 2) 
E 118 St & 3 Ave	(1, 0) 
Hope St & Union Ave	(3, 2) 
Willoughby St & Fleet St	(9, 8) 
E 66 St & Madison Ave	(1, 0) 
Catherine St & Monroe St	(3, 1) 
Kane St & Clinton St	(5, 5) 
W 45 St & 6 Ave	(6, 9) 
2 Ave & E 31 St	(8, 7) 
Jay St & Tech Pl	(4, 2) 
Boerum St & Broadway	(3, 3) 
10 St & 5 Ave	(0, 2) 
Garfield Pl & 8 Ave	(0, 1) 
Rivington St & Chrystie St	(8, 7) 
Lewis Ave & Kosciuszko St	(0, 2) 
Flushing Ave & Vanderbilt Ave	(5, 5) 
W 110 St & Amsterdam Ave	(0, 1) 
Riverside Dr & W 91 St	(0, 2) 
11 Ave & W 27 St	(11, 10) 
E 6 St & Avenue D	(4, 2) 
Berkeley Pl & 7 Ave	(6, 2) 
31 St & Broadway	(0, 1) 
E 84 St & Park Ave	(2, 1) 
3 Ave & E 72 St	(2, 2) 
Prospect Pl & Underhill Ave	(1, 0) 
E 84 St & 1 Ave	(5, 5) 
Fulton St & Clermont Ave	(1, 1) 
E 51 St & Lexington Ave	(126, 123) 
W 15 St & 10 Ave	(123, 128) 
Union St & Bedford Ave	(1, 0) 
Gansevoort St & Hudson St	(6, 7) 
Wythe Ave & Metropolitan Ave	(11, 10) 
E 2 St & Avenue A	(12, 9) 
