Washington Park	(0, 3) 
Vernon Blvd & 31 Ave	(0, 1) 
Grand Army Plaza & Plaza St West	(0, 1) 
Amsterdam Ave & W 79 St	(1, 3) 
31 St & Newtown Ave	(0, 2) 
Van Brunt St & Wolcott St	(2, 1) 
Carroll St & 6 Ave	(1, 0) 
Cumberland St & Lafayette Ave	(1, 1) 
Reade St & Broadway	(3, 9) 
Classon Ave & St Marks Ave	(25, 48) 
Fulton St & Adams St	(121, 106) 
Frederick Douglass Blvd & W 117 St	(2, 2) 
31 St & Thomson Ave	(1, 1) 
W 52 St & 6 Ave	(10, 4) 
St Nicholas Ave & Manhattan Ave	(1, 1) 
Irving Ave & Jefferson St	(1, 0) 
India St & Manhattan Ave	(6, 10) 
Bedford Ave & S 9 St	(6, 1) 
St Marks Pl & 1 Ave	(10, 10) 
Riverside Dr & W 82 St	(58, 73) 
E 72 St & York Ave	(5, 5) 
Washington Ave & Park Ave	(1, 3) 
Bayard St & Baxter St	(7, 8) 
Riverside Dr & W 78 St	(3, 2) 
Banker St & Meserole Ave	(4, 6) 
Lenox Ave & W 111 St	(0, 1) 
21 St & 43 Ave	(2, 0) 
Fulton St & Rockwell Pl	(3, 2) 
Henry St & Degraw St	(2, 1) 
2 Ave & 36 St - Citi Bike HQ at Industry City	(1, 0) 
Stanton St & Chrystie St	(16, 9) 
49 Ave & 21 St	(1, 0) 
Park Pl & Church St	(17, 17) 
7 St & 3 Ave	(1, 0) 
Henry St & Grand St	(5, 8) 
Forsyth St & Canal St	(8, 7) 
2 Ave & 9 St	(1, 0) 
E 72 St & Park Ave	(0, 1) 
W 78 St & Broadway	(2, 1) 
E 27 St & 1 Ave	(3, 5) 
28 Ave & 35 St	(1, 0) 
St James Pl & Pearl St	(5, 3) 
E 128 St & Madison Ave	(1, 0) 
Carlton Ave & Dean St	(3, 0) 
DeKalb Ave & S Portland Ave	(2, 1) 
Pearl St & Anchorage Pl	(5, 6) 
Pioneer St & Van Brunt St	(0, 2) 
N 6 St & Bedford Ave	(144, 136) 
Broadway & E 22 St	(26, 21) 
Park Pl & Vanderbilt Ave	(6, 0) 
Stanton St & Norfolk St	(8, 3) 
W 82 St & Central Park West	(8, 2) 
W 107 St & Columbus Ave	(1, 0) 
Union St & Nevins St	(1, 0) 
5 Ave & 3 St	(3, 0) 
Columbia Heights & Cranberry St	(4, 1) 
Broad St & Bridge St	(37, 49) 
West End Ave & W 107 St	(3, 0) 
9 St & 44 Rd	(3, 5) 
E 88 St & Park Ave	(0, 1) 
Amsterdam Ave & W 73 St	(10, 9) 
Broadway & Moylan Pl	(0, 2) 
E 13 St & Avenue A	(11, 11) 
Howard St & Centre St	(167, 144) 
Spruce St & Nassau St	(5, 7) 
Broadway & Whipple St	(1, 0) 
Cadman Plaza E & Johnson St	(1, 2) 
Lexington Ave & Classon Ave	(2, 3) 
Broadway & W 38 St	(4, 9) 
E 32 St & Park Ave	(6, 9) 
Water - Whitehall Plaza	(6, 3) 
Lexington Ave & E 36 St	(4, 4) 
E 81 St & Park Ave	(1, 0) 
5 St & 6 Ave	(1, 0) 
W 95 St & Broadway	(5, 2) 
Norfolk St & Broome St	(7, 8) 
Clinton St & Union St	(1, 2) 
Commerce St & Van Brunt St	(0, 1) 
31 St & Northern Blvd	(0, 1) 
W 52 St & 5 Ave	(10, 11) 
Clinton St & 4 Place	(0, 2) 
Bank St & Hudson St	(127, 127) 
Clark St & Henry St	(1, 3) 
W 106 St & Amsterdam Ave	(0, 2) 
President St & Henry St	(2, 2) 
W 100 St & Broadway	(3, 1) 
Riverside Dr & W 104 St	(1, 5) 
W 37 St & 5 Ave	(4, 3) 
6 Ave & 9 St	(4, 7) 
Lenox Ave & W 126 St	(1, 0) 
E 47 St & 2 Ave	(4, 10) 
Washington Pl & Broadway	(13, 11) 
Central Park West & W 72 St	(6, 3) 
35 Ave & 37 St	(1, 1) 
E 114 St & 1 Ave	(1, 0) 
South End Ave & Liberty St	(12, 16) 
E 58 St & 1 Ave (NE Corner)	(3, 1) 
Greenwich Ave & 8 Ave	(5, 12) 
Broadway & W 49 St	(8, 5) 
E 53 St & Madison Ave	(7, 6) 
28 St & 36 Ave	(1, 0) 
Bond St & Fulton St	(8, 5) 
Mercer St & Spring St	(19, 6) 
Pike St & Monroe St	(0, 1) 
Cadman Plaza West & Montague St	(1, 1) 
W 20 St & 11 Ave	(11, 14) 
Berry St & N 8 St	(1, 2) 
5 Ave & E 73 St	(7, 5) 
Perry St & Bleecker St	(6, 5) 
E 45 St & 3 Ave	(4, 7) 
Central Park North & Adam Clayton Powell Blvd	(4, 0) 
Eastern Pkwy & Franklin Ave	(11, 3) 
E 52 St & 2 Ave	(8, 4) 
MacDougal St & Washington Sq	(5, 5) 
S 4 St & Wythe Ave	(22, 22) 
E 82 St & East End Ave	(0, 5) 
E 24 St & Park Ave S	(29, 19) 
Old Slip & Front St	(6, 6) 
Center Blvd & 48 Ave	(4, 7) 
Clermont Ave & Park Ave	(2, 0) 
Clermont Ave & Lafayette Ave	(1, 0) 
E 89 St & 3 Ave	(0, 3) 
Union St & 4 Ave	(2, 2) 
E 47 St & Park Ave	(11, 11) 
Jackson St & Leonard St	(1, 0) 
E 7 St & Avenue A	(12, 8) 
McGuinness Blvd & Eagle St	(13, 20) 
Columbia St & Rivington St	(1, 1) 
Central Park West & W 100 St	(4, 3) 
Allen St & Rivington St	(9, 5) 
Graham Ave & Grand St	(0, 3) 
47 Ave & Skillman Ave	(0, 1) 
St. Nicholas Ave & W 126 St	(0, 1) 
E 118 St & 3 Ave	(2, 2) 
Hope St & Union Ave	(2, 4) 
Willoughby St & Fleet St	(5, 10) 
E 66 St & Madison Ave	(0, 1) 
Kane St & Clinton St	(2, 2) 
Catherine St & Monroe St	(1, 2) 
W 45 St & 6 Ave	(5, 5) 
Park Ave & St Edwards St	(2, 1) 
2 Ave & E 31 St	(11, 8) 
Jay St & Tech Pl	(3, 2) 
Pulaski St & Marcus Garvey Blvd	(1, 0) 
Rivington St & Chrystie St	(7, 9) 
Lewis Ave & Kosciuszko St	(3, 0) 
Flushing Ave & Vanderbilt Ave	(1, 2) 
W 110 St & Amsterdam Ave	(2, 1) 
Riverside Dr & W 91 St	(3, 3) 
E 6 St & Avenue D	(3, 7) 
Berkeley Pl & 7 Ave	(5, 3) 
E 84 St & Park Ave	(3, 1) 
3 Ave & E 72 St	(3, 4) 
Prospect Pl & Underhill Ave	(2, 0) 
E 84 St & 1 Ave	(4, 4) 
Fulton St & Clermont Ave	(0, 2) 
E 51 St & Lexington Ave	(95, 91) 
W 15 St & 10 Ave	(150, 141) 
W 55 St & 6 Ave	(5, 8) 
Union St & Bedford Ave	(1, 0) 
Gansevoort St & Hudson St	(4, 7) 
Wythe Ave & Metropolitan Ave	(14, 15) 
E 2 St & Avenue A	(12, 13) 
Bedford Ave & Nassau Ave	(3, 6) 
West Thames St	(12, 11) 
