Washington Park	(3, 2) 
Vernon Blvd & 31 Ave	(1, 3) 
Grand Army Plaza & Plaza St West	(9, 10) 
Wyckoff Av & Jefferson St	(0, 2) 
Amsterdam Ave & W 79 St	(2, 4) 
Carroll St & 6 Ave	(1, 0) 
Van Brunt St & Wolcott St	(0, 1) 
Cumberland St & Lafayette Ave	(1, 2) 
Reade St & Broadway	(3, 2) 
Classon Ave & St Marks Ave	(66, 50) 
Fulton St & Adams St	(92, 90) 
Frederick Douglass Blvd & W 117 St	(0, 1) 
31 St & Thomson Ave	(1, 1) 
W 52 St & 6 Ave	(5, 15) 
Irving Ave & Jefferson St	(1, 2) 
India St & Manhattan Ave	(5, 6) 
St Marks Pl & 1 Ave	(13, 10) 
Bedford Ave & S 9 St	(2, 1) 
Riverside Dr & W 82 St	(125, 119) 
E 72 St & York Ave	(4, 6) 
Crescent St & Broadway	(2, 0) 
Washington Ave & Park Ave	(2, 0) 
Bayard St & Baxter St	(7, 8) 
Riverside Dr & W 78 St	(7, 4) 
Banker St & Meserole Ave	(6, 4) 
Lenox Ave & W 111 St	(1, 1) 
Fulton St & Rockwell Pl	(2, 1) 
Henry St & Degraw St	(1, 1) 
Stanton St & Chrystie St	(17, 15) 
Park Pl & Church St	(11, 3) 
7 St & 3 Ave	(1, 0) 
Sullivan Pl & Bedford Ave	(1, 0) 
Henry St & Grand St	(4, 7) 
Forsyth St & Canal St	(15, 6) 
E 72 St & Park Ave	(7, 4) 
W 78 St & Broadway	(3, 7) 
E 27 St & 1 Ave	(3, 7) 
28 Ave & 35 St	(1, 3) 
St James Pl & Pearl St	(1, 3) 
DeKalb Ave & S Portland Ave	(3, 5) 
Carlton Ave & Dean St	(7, 5) 
Pearl St & Anchorage Pl	(0, 3) 
Leonard St & Boerum St	(2, 0) 
N 6 St & Bedford Ave	(186, 196) 
Broadway & E 22 St	(23, 24) 
Park Pl & Vanderbilt Ave	(6, 4) 
31 St & 23 Ave	(1, 0) 
Stanton St & Norfolk St	(13, 11) 
W 82 St & Central Park West	(1, 3) 
W 107 St & Columbus Ave	(1, 0) 
Union St & Nevins St	(4, 0) 
5 Ave & 3 St	(5, 2) 
Columbia Heights & Cranberry St	(0, 2) 
Broad St & Bridge St	(42, 45) 
West End Ave & W 107 St	(2, 2) 
Sterling St & Bedford Ave	(1, 1) 
9 St & 44 Rd	(1, 0) 
E 88 St & Park Ave	(1, 2) 
Amsterdam Ave & W 73 St	(14, 1) 
Broadway & Moylan Pl	(2, 8) 
E 13 St & Avenue A	(8, 20) 
Howard St & Centre St	(153, 150) 
Spruce St & Nassau St	(8, 7) 
Broadway & Whipple St	(1, 0) 
Cadman Plaza E & Johnson St	(2, 1) 
Lexington Ave & Classon Ave	(3, 5) 
Lexington Ave & E 36 St	(4, 7) 
E 32 St & Park Ave	(6, 3) 
Devoe St & Morgan Ave	(1, 0) 
Water - Whitehall Plaza	(1, 4) 
Commerce St & Van Brunt St	(1, 1) 
Broadway & W 38 St	(0, 4) 
E 81 St & Park Ave	(0, 4) 
Norfolk St & Broome St	(9, 17) 
5 St & 6 Ave	(0, 2) 
W 95 St & Broadway	(0, 3) 
Clinton St & Union St	(0, 1) 
Greene Ave & Throop Ave	(1, 1) 
E 106 St & Madison Ave	(1, 1) 
