Washington Park	(4, 2) 
Vernon Blvd & 31 Ave	(1, 1) 
Grand Army Plaza & Plaza St West	(5, 3) 
Wyckoff Av & Jefferson St	(1, 4) 
Amsterdam Ave & W 79 St	(1, 2) 
Carroll St & 6 Ave	(0, 2) 
Van Brunt St & Wolcott St	(0, 3) 
Cumberland St & Lafayette Ave	(5, 4) 
Reade St & Broadway	(12, 8) 
Classon Ave & St Marks Ave	(62, 43) 
Fulton St & Adams St	(119, 120) 
31 St & Thomson Ave	(2, 0) 
W 52 St & 6 Ave	(9, 8) 
Throop Ave & Myrtle Ave	(0, 1) 
St Nicholas Ave & Manhattan Ave	(1, 2) 
Irving Ave & Jefferson St	(0, 1) 
Frederick Douglass Blvd & W 115 St	(0, 1) 
Bedford Ave & S 9 St	(4, 1) 
St Marks Pl & 1 Ave	(10, 13) 
Riverside Dr & W 82 St	(74, 73) 
E 72 St & York Ave	(7, 9) 
Crescent St & Broadway	(0, 1) 
Washington Ave & Park Ave	(3, 2) 
Bayard St & Baxter St	(4, 6) 
Riverside Dr & W 78 St	(2, 7) 
Banker St & Meserole Ave	(8, 5) 
Lenox Ave & W 111 St	(1, 0) 
Fulton St & Rockwell Pl	(3, 0) 
21 St & 43 Ave	(1, 1) 
Henry St & Degraw St	(3, 4) 
2 Ave & 36 St - Citi Bike HQ at Industry City	(0, 3) 
Stanton St & Chrystie St	(15, 12) 
Park Pl & Church St	(7, 9) 
7 St & 3 Ave	(1, 2) 
Sullivan Pl & Bedford Ave	(2, 2) 
Henry St & Grand St	(9, 5) 
Forsyth St & Canal St	(9, 4) 
E 72 St & Park Ave	(2, 3) 
W 78 St & Broadway	(3, 2) 
E 27 St & 1 Ave	(4, 5) 
St James Pl & Pearl St	(4, 3) 
E 128 St & Madison Ave	(1, 0) 
DeKalb Ave & S Portland Ave	(3, 3) 
Carlton Ave & Dean St	(1, 2) 
Pioneer St & Van Brunt St	(3, 0) 
N 6 St & Bedford Ave	(215, 211) 
Broadway & E 22 St	(30, 30) 
Park Pl & Vanderbilt Ave	(6, 4) 
Stanton St & Norfolk St	(12, 10) 
W 82 St & Central Park West	(6, 2) 
Morningside Ave & W 123 St	(1, 1) 
W 107 St & Columbus Ave	(0, 1) 
5 Ave & 3 St	(2, 5) 
Broad St & Bridge St	(52, 75) 
West End Ave & W 107 St	(3, 1) 
9 St & 44 Rd	(0, 3) 
E 88 St & Park Ave	(0, 3) 
Amsterdam Ave & W 73 St	(11, 8) 
Broadway & Moylan Pl	(5, 2) 
E 13 St & Avenue A	(20, 10) 
Howard St & Centre St	(180, 184) 
Spruce St & Nassau St	(3, 5) 
Cadman Plaza E & Johnson St	(1, 2) 
Broadway & W 38 St	(2, 7) 
Lexington Ave & E 36 St	(4, 6) 
Commerce St & Van Brunt St	(1, 1) 
Water - Whitehall Plaza	(10, 6) 
E 32 St & Park Ave	(10, 9) 
Lexington Ave & Classon Ave	(0, 4) 
W 95 St & Broadway	(2, 3) 
Norfolk St & Broome St	(5, 6) 
Clinton St & Union St	(4, 4) 
Greene Ave & Throop Ave	(0, 1) 
W 52 St & 5 Ave	(12, 7) 
Carlton Ave & Park Ave	(6, 1) 
Bank St & Hudson St	(154, 176) 
Clark St & Henry St	(3, 4) 
W 106 St & Amsterdam Ave	(1, 1) 
President St & Henry St	(2, 1) 
W 100 St & Broadway	(2, 0) 
Riverside Dr & W 104 St	(2, 1) 
W 37 St & 5 Ave	(3, 9) 
6 Ave & 9 St	(3, 3) 
Lenox Ave & W 126 St	(0, 1) 
E 47 St & 2 Ave	(11, 9) 
Washington Pl & Broadway	(6, 5) 
Central Park West & W 72 St	(2, 5) 
South End Ave & Liberty St	(19, 24) 
E 12 St & 4 Av	(2, 2) 
E 58 St & 1 Ave (NE Corner)	(5, 3) 
Greenwich Ave & 8 Ave	(17, 21) 
E 53 St & Madison Ave	(11, 5) 
Broadway & W 49 St	(7, 11) 
Montrose Ave & Bushwick Ave	(4, 1) 
Bond St & Fulton St	(7, 4) 
9 Ave & W 18 St	(10, 8) 
Pike St & Monroe St	(5, 3) 
Mercer St & Spring St	(13, 14) 
Cadman Plaza West & Montague St	(1, 1) 
W 20 St & 11 Ave	(9, 21) 
Berry St & N 8 St	(1, 4) 
5 Ave & E 73 St	(7, 4) 
Perry St & Bleecker St	(17, 9) 
E 45 St & 3 Ave	(6, 4) 
Eastern Pkwy & Franklin Ave	(9, 6) 
Central Park North & Adam Clayton Powell Blvd	(1, 2) 
W 17 St & 8 Ave	(4, 17) 
E 52 St & 2 Ave	(11, 11) 
MacDougal St & Washington Sq	(5, 10) 
E 82 St & East End Ave	(5, 1) 
E 24 St & Park Ave S	(22, 19) 
Old Slip & Front St	(4, 4) 
Center Blvd & 48 Ave	(7, 11) 
Clermont Ave & Park Ave	(1, 1) 
Clermont Ave & Lafayette Ave	(2, 0) 
E 89 St & 3 Ave	(1, 6) 
Union St & 4 Ave	(3, 0) 
Willoughby Ave & Wyckoff Ave	(1, 1) 
E 47 St & Park Ave	(16, 21) 
Jackson St & Leonard St	(0, 1) 
E 7 St & Avenue A	(10, 7) 
McGuinness Blvd & Eagle St	(36, 23) 
Columbia St & Rivington St	(4, 4) 
Allen St & Rivington St	(22, 10) 
Mt Morris Park W & W 120 St	(0, 1) 
47 Ave & Skillman Ave	(0, 1) 
Graham Ave & Grand St	(0, 2) 
Central Park West & W 100 St	(0, 1) 
St. Nicholas Ave & W 126 St	(1, 1) 
Hope St & Union Ave	(3, 2) 
Willoughby St & Fleet St	(4, 8) 
10 Ave & W 28 St	(0, 2) 
E 66 St & Madison Ave	(1, 1) 
Catherine St & Monroe St	(2, 3) 
Kane St & Clinton St	(0, 3) 
W 45 St & 6 Ave	(7, 15) 
Park Ave & St Edwards St	(1, 1) 
2 Ave & E 31 St	(16, 9) 
Jay St & Tech Pl	(2, 1) 
Boerum St & Broadway	(1, 0) 
Pulaski St & Marcus Garvey Blvd	(0, 1) 
10 St & 5 Ave	(0, 1) 
Garfield Pl & 8 Ave	(2, 1) 
Rivington St & Chrystie St	(8, 15) 
Lewis Ave & Kosciuszko St	(1, 0) 
Flushing Ave & Vanderbilt Ave	(0, 3) 
W 110 St & Amsterdam Ave	(0, 1) 
Riverside Dr & W 91 St	(1, 1) 
11 Ave & W 27 St	(16, 16) 
E 6 St & Avenue D	(3, 3) 
Berkeley Pl & 7 Ave	(3, 3) 
E 84 St & Park Ave	(1, 1) 
3 Ave & E 72 St	(1, 2) 
Prospect Pl & Underhill Ave	(1, 2) 
E 84 St & 1 Ave	(7, 4) 
E 51 St & Lexington Ave	(126, 101) 
W 15 St & 10 Ave	(275, 277) 
Union St & Bedford Ave	(0, 1) 
Gansevoort St & Hudson St	(11, 9) 
Wythe Ave & Metropolitan Ave	(21, 26) 
E 2 St & Avenue A	(11, 17) 
Bedford Ave & Nassau Ave	(5, 10) 
West Thames St	(13, 12) 
Bond St & Bergen St	(3, 3) 
E 84 St & 3 Ave	(9, 4) 
Amsterdam Ave & W 125 St	(0, 1) 
48 Ave & 5 St	(2, 0) 
Carroll St & 5 Ave	(2, 4) 
