Wythe Ave & Metropolitan Ave	(16, 17)
Amsterdam Ave & W 79 St	(6, 2)
W 22 St & 8 Ave	(8, 5)
Sullivan St & Washington Sq	(7, 7)
12 Ave & W 40 St	(20, 17)
W 49 St & 8 Ave	(5, 4)
W 42 St & Dyer Ave	(7, 4)
W 20 St & 11 Ave	(10, 26)
E 39 St & 2 Ave	(12, 10)
W 20 St & 7 Ave	(10, 7)
FDR Drive & E 35 St	(10, 7)
48 Ave & 5 St	(2, 0)
St James Pl & Oliver St	(2, 7)
W 18 St & 9 Ave	(6, 1)
E 20 St & Park Ave	(9, 17)
11 Ave & W 41 St	(9, 4)
Forsyth St & Broome St	(11, 13)
Pier 40 - Hudson River Park	(18, 14)
Riverside Dr & W 72 St	(3, 6)
Huron St & Franklin St	(4, 12)
1 Ave & E 94 St	(1, 4)
E 58 St & 3 Ave	(4, 7)
Broadway & Berry St	(7, 4)
South St & Gouverneur Ln	(13, 7)
Willoughby St & Fleet St	(12, 12)
Henry St & Atlantic Ave	(2, 2)
E 72 St & Park Ave	(1, 4)
William St & Pine St	(4, 5)
Amsterdam Ave & W 82 St	(4, 5)
W 53 St & 10 Ave	(7, 6)
W 52 St & 11 Ave	(6, 7)
Cooper Square & Astor Pl	(10, 16)
E 91 St & Park Ave	(3, 1)
Henry St & Grand St	(8, 8)
Broadway & W 38 St	(2, 8)
6 Ave & 12 St	(3, 1)
Carlton Ave & Flushing Ave	(1, 1)
Degraw St & Hoyt St	(3, 3)
5 Ave & E 88 St	(3, 2)
W 46 St & 11 Ave	(6, 7)
E 84 St & 3 Ave	(14, 5)
Fulton St & Rockwell Pl	(1, 4)
W 45 St & 6 Ave	(5, 7)
11 Ave & W 59 St	(8, 13)
Bond St & Fulton St	(5, 7)
8 Ave & W 52 St	(6, 9)
E 9 St & Avenue C	(5, 7)
3 Ave & E 95 St	(1, 1)
McGuinness Blvd & Eagle St	(9, 10)
Harrison St & Hudson St	(3, 3)
Broadway & W 41 St	(10, 8)
Central Park West & W 72 St	(5, 3)
W 16 St & 8 Ave	(4, 3)
E 78 St & 2 Ave	(11, 0)
Broadway & W 51 St	(6, 8)
E 11 St & Avenue B	(7, 5)
Pershing Square South	(6, 4)
E 91 St & 2 Ave	(4, 4)
E 41 St & Madison Ave	(7, 4)
Columbia St & Rivington St	(5, 2)
Avenue D & E 8 St	(4, 1)
W 110 St & Amsterdam Ave	(1, 1)
E 77 St & 3 Ave	(9, 13)
W 52 St & 5 Ave	(4, 9)
W 13 St & 5 Ave	(8, 10)
Jay St & Tech Pl	(3, 3)
5 Ave & E 78 St	(3, 3)
University Pl & E 14 St	(10, 12)
Duane St & Greenwich St	(7, 4)
Central Park West & W 68 St	(1, 3)
Reade St & Broadway	(7, 6)
W 95 St & Broadway	(2, 5)
Union Ave & N 12 St	(1, 2)
E 81 St & 2 Ave	(2, 8)
Pershing Square North	(15, 17)
Lafayette St & Jersey St	(19, 22)
E 32 St & Park Ave	(5, 9)
E 5 St & Avenue C	(5, 4)
W 47 St & 10 Ave	(6, 2)
7 Ave & Central Park South	(7, 2)
Nassau Ave & Russell St	(3, 4)
E 55 St & 3 Ave	(3, 7)
Lexington Ave & E 63 St	(2, 5)
Columbus Ave & W 95 St	(1, 0)
E 81 St & Park Ave	(1, 2)
Fulton St & William St	(9, 5)
E 53 St & 3 Ave	(1, 4)
W 44 St & 5 Ave	(9, 8)
W 116 St & Broadway	(0, 2)
W 70 St & Amsterdam Ave	(8, 4)
