Washington Park	(3, 2) 
Vernon Blvd & 31 Ave	(0, 1) 
Vernon Blvd & 10 St	(0, 1) 
Grand Army Plaza & Plaza St West	(3, 4) 
Wyckoff Av & Jefferson St	(0, 2) 
Amsterdam Ave & W 79 St	(4, 5) 
31 St & Newtown Ave	(0, 1) 
Van Brunt St & Wolcott St	(1, 0) 
Carroll St & 6 Ave	(1, 1) 
Cumberland St & Lafayette Ave	(2, 2) 
Crescent St & 34 Ave	(1, 0) 
Reade St & Broadway	(2, 4) 
Classon Ave & St Marks Ave	(56, 44) 
Fulton St & Adams St	(82, 90) 
W 52 St & 6 Ave	(2, 4) 
Throop Ave & Myrtle Ave	(0, 1) 
Irving Ave & Jefferson St	(0, 1) 
Frederick Douglass Blvd & W 115 St	(4, 0) 
St Marks Pl & 1 Ave	(14, 10) 
Bedford Ave & S 9 St	(1, 2) 
Riverside Dr & W 82 St	(94, 72) 
E 72 St & York Ave	(3, 4) 
Crescent St & Broadway	(1, 0) 
Washington Ave & Park Ave	(1, 6) 
Bayard St & Baxter St	(10, 11) 
Riverside Dr & W 78 St	(11, 9) 
Banker St & Meserole Ave	(1, 8) 
Pleasant Ave & E 120 St	(0, 1) 
Lenox Ave & W 111 St	(1, 2) 
Fulton St & Rockwell Pl	(1, 1) 
21 St & 43 Ave	(0, 1) 
Henry St & Degraw St	(1, 0) 
2 Ave & 36 St - Citi Bike HQ at Industry City	(0, 3) 
Stanton St & Chrystie St	(16, 24) 
49 Ave & 21 St	(1, 2) 
Park Pl & Church St	(5, 2) 
Henry St & Grand St	(3, 3) 
Forsyth St & Canal St	(10, 11) 
E 72 St & Park Ave	(2, 0) 
W 78 St & Broadway	(2, 4) 
E 27 St & 1 Ave	(4, 8) 
28 Ave & 35 St	(1, 0) 
St James Pl & Pearl St	(1, 1) 
DeKalb Ave & S Portland Ave	(5, 2) 
Carlton Ave & Dean St	(4, 2) 
Pearl St & Anchorage Pl	(6, 3) 
Pioneer St & Van Brunt St	(1, 0) 
Leonard St & Boerum St	(0, 3) 
N 6 St & Bedford Ave	(176, 174) 
Broadway & E 22 St	(18, 15) 
Park Pl & Vanderbilt Ave	(7, 4) 
31 St & 23 Ave	(1, 0) 
Stanton St & Norfolk St	(7, 16) 
Union St & Nevins St	(0, 2) 
5 Ave & 3 St	(2, 0) 
Columbia Heights & Cranberry St	(0, 9) 
Broad St & Bridge St	(40, 41) 
Sterling St & Bedford Ave	(0, 1) 
9 St & 44 Rd	(4, 4) 
E 88 St & Park Ave	(1, 1) 
Amsterdam Ave & W 73 St	(11, 7) 
Broadway & Moylan Pl	(4, 4) 
E 13 St & Avenue A	(13, 14) 
Howard St & Centre St	(164, 161) 
Spruce St & Nassau St	(4, 12) 
Broadway & Whipple St	(0, 1) 
Cadman Plaza E & Johnson St	(1, 2) 
Lexington Ave & Classon Ave	(5, 4) 
Broadway & W 38 St	(8, 4) 
E 32 St & Park Ave	(8, 4) 
Lexington Ave & E 36 St	(1, 7) 
31 St & Northern Blvd	(2, 0) 
E 81 St & Park Ave	(1, 0) 
Water - Whitehall Plaza	(4, 7) 
W 95 St & Broadway	(2, 0) 
Norfolk St & Broome St	(15, 10) 
5 St & 6 Ave	(1, 0) 
Devoe St & Morgan Ave	(0, 1) 
Greene Ave & Throop Ave	(2, 0) 
E 106 St & Madison Ave	(0, 1) 
W 52 St & 5 Ave	(5, 4) 
Clinton St & 4 Place	(1, 0) 
Carlton Ave & Park Ave	(2, 0) 
Bank St & Hudson St	(187, 185) 
Clark St & Henry St	(4, 7) 
President St & Henry St	(0, 1) 
W 100 St & Broadway	(3, 2) 
Riverside Dr & W 104 St	(4, 7) 
W 37 St & 5 Ave	(7, 8) 
6 Ave & 9 St	(2, 3) 
Lenox Ave & W 126 St	(1, 0) 
Soissons Landing	(1, 0) 
Washington Pl & Broadway	(5, 6) 
E 47 St & 2 Ave	(4, 3) 
Central Park West & W 72 St	(8, 2) 
E 114 St & 1 Ave	(0, 1) 
South End Ave & Liberty St	(38, 46) 
E 12 St & 4 Av	(5, 8) 
E 58 St & 1 Ave (NE Corner)	(1, 5) 
Greenwich Ave & 8 Ave	(8, 16) 
Broadway & W 49 St	(6, 5) 
E 53 St & Madison Ave	(1, 10) 
Montrose Ave & Bushwick Ave	(0, 3) 
Bond St & Fulton St	(2, 3) 
9 Ave & W 18 St	(5, 2) 
Mercer St & Spring St	(8, 4) 
Pike St & Monroe St	(5, 6) 
Cadman Plaza West & Montague St	(1, 2) 
W 20 St & 11 Ave	(31, 27) 
Berry St & N 8 St	(3, 5) 
Perry St & Bleecker St	(6, 8) 
5 Ave & E 73 St	(13, 11) 
E 45 St & 3 Ave	(8, 2) 
Central Park North & Adam Clayton Powell Blvd	(3, 0) 
Eastern Pkwy & Franklin Ave	(4, 2) 
W 17 St & 8 Ave	(12, 15) 
E 52 St & 2 Ave	(5, 11) 
MacDougal St & Washington Sq	(8, 9) 
S 4 St & Wythe Ave	(10, 11) 
E 82 St & East End Ave	(9, 1) 
E 24 St & Park Ave S	(11, 13) 
Old Slip & Front St	(3, 3) 
Center Blvd & 48 Ave	(4, 2) 
Clermont Ave & Park Ave	(1, 0) 
Clermont Ave & Lafayette Ave	(4, 2) 
E 89 St & 3 Ave	(6, 6) 
Union St & 4 Ave	(0, 1) 
E 47 St & Park Ave	(3, 2) 
Jackson St & Leonard St	(1, 0) 
E 7 St & Avenue A	(9, 9) 
McGuinness Blvd & Eagle St	(26, 16) 
Columbia St & Rivington St	(6, 4) 
Allen St & Rivington St	(22, 14) 
Central Park West & W 100 St	(5, 2) 
Graham Ave & Grand St	(3, 2) 
St. Nicholas Ave & W 126 St	(0, 1) 
Hope St & Union Ave	(3, 3) 
Willoughby St & Fleet St	(4, 6) 
E 66 St & Madison Ave	(4, 0) 
Kane St & Clinton St	(1, 1) 
Catherine St & Monroe St	(4, 9) 
W 45 St & 6 Ave	(6, 6) 
Park Ave & St Edwards St	(0, 1) 
2 Ave & E 31 St	(7, 14) 
Jay St & Tech Pl	(9, 3) 
Boerum St & Broadway	(1, 2) 
Garfield Pl & 8 Ave	(2, 1) 
Rivington St & Chrystie St	(7, 12) 
Lewis Ave & Kosciuszko St	(1, 2) 
Flushing Ave & Vanderbilt Ave	(3, 3) 
Riverside Dr & W 91 St	(9, 10) 
11 Ave & W 27 St	(17, 16) 
E 6 St & Avenue D	(5, 4) 
Berkeley Pl & 7 Ave	(4, 3) 
E 84 St & Park Ave	(2, 3) 
3 Ave & E 72 St	(0, 2) 
E 84 St & 1 Ave	(4, 4) 
E 51 St & Lexington Ave	(77, 77) 
W 15 St & 10 Ave	(267, 265) 
Union St & Bedford Ave	(1, 0) 
Gansevoort St & Hudson St	(7, 6) 
Wythe Ave & Metropolitan Ave	(8, 6) 
E 2 St & Avenue A	(27, 11) 
Bedford Ave & Nassau Ave	(0, 5) 
West Thames St	(17, 25) 
Bond St & Bergen St	(1, 1) 
E 84 St & 3 Ave	(4, 5) 
Amsterdam Ave & W 125 St	(1, 1) 
Jackson Ave & 46 Rd	(4, 1) 
48 Ave & 5 St	(0, 1) 
Carroll St & 5 Ave	(1, 0) 
Lispenard St & Broadway	(145, 142) 
Nassau Ave & Russell St	(7, 8) 
Madison Ave & E 82 St	(6, 3) 
Lenox Ave & W 115 St	(1, 1) 
W 47 St & 10 Ave	(6, 7) 
Devoe St & Lorimer St	(2, 2) 
Front St & Washington St	(2, 4) 
Sterling Pl & Bedford Ave	(3, 2) 
Halsey St & Tompkins Ave	(1, 2) 
Frederick Douglass Blvd & W 112 St	(1, 0) 
Washington Pl & 6 Ave	(4, 3) 
Broadway & W 37 St	(13, 11) 
W 26 St & 10 Ave	(3, 3) 
2 Ave & E 99 St	(1, 0) 
E 81 St & York Ave	(70, 71) 
N 15 St & Wythe Ave	(0, 1) 
Fulton St & Broadway	(7, 14) 
Cadman Plaza E & Red Cross Pl	(6, 1) 
