Washington Park	(2, 5) 
Vernon Blvd & 31 Ave	(0, 1) 
Vernon Blvd & 10 St	(0, 1) 
Grand Army Plaza & Plaza St West	(4, 5) 
Wyckoff Av & Jefferson St	(0, 1) 
Amsterdam Ave & W 79 St	(4, 4) 
Carroll St & 6 Ave	(3, 3) 
Van Brunt St & Wolcott St	(1, 1) 
Cumberland St & Lafayette Ave	(0, 4) 
Reade St & Broadway	(4, 1) 
Fulton St & Adams St	(102, 102) 
Classon Ave & St Marks Ave	(57, 42) 
Frederick Douglass Blvd & W 117 St	(0, 2) 
W 52 St & 6 Ave	(7, 4) 
Throop Ave & Myrtle Ave	(0, 1) 
Newtown Ave & 23 St	(0, 2) 
Irving Ave & Jefferson St	(1, 0) 
Frederick Douglass Blvd & W 115 St	(0, 1) 
India St & Manhattan Ave	(6, 8) 
St Marks Pl & 1 Ave	(18, 17) 
Bedford Ave & S 9 St	(1, 2) 
Riverside Dr & W 82 St	(94, 83) 
E 72 St & York Ave	(4, 4) 
Washington Ave & Park Ave	(2, 2) 
Bayard St & Baxter St	(11, 17) 
Riverside Dr & W 78 St	(7, 5) 
Banker St & Meserole Ave	(6, 1) 
Pleasant Ave & E 120 St	(1, 0) 
Lenox Ave & W 111 St	(1, 0) 
Fulton St & Rockwell Pl	(2, 1) 
2 Ave & 36 St - Citi Bike HQ at Industry City	(0, 1) 
Henry St & Degraw St	(0, 3) 
Stanton St & Chrystie St	(9, 7) 
49 Ave & 21 St	(0, 1) 
Park Pl & Church St	(9, 3) 
7 St & 3 Ave	(1, 0) 
Henry St & Grand St	(8, 1) 
Forsyth St & Canal St	(24, 9) 
E 72 St & Park Ave	(8, 10) 
W 78 St & Broadway	(5, 3) 
E 27 St & 1 Ave	(7, 14) 
St James Pl & Pearl St	(5, 0) 
E 128 St & Madison Ave	(0, 2) 
Carlton Ave & Dean St	(2, 4) 
DeKalb Ave & S Portland Ave	(3, 2) 
Pearl St & Anchorage Pl	(7, 8) 
Leonard St & Boerum St	(2, 0) 
N 6 St & Bedford Ave	(204, 191) 
Broadway & E 22 St	(21, 15) 
Park Pl & Vanderbilt Ave	(10, 4) 
Stanton St & Norfolk St	(9, 5) 
W 82 St & Central Park West	(1, 3) 
W 107 St & Columbus Ave	(1, 0) 
Union St & Nevins St	(4, 3) 
5 Ave & 3 St	(6, 2) 
Columbia Heights & Cranberry St	(0, 2) 
Broad St & Bridge St	(58, 64) 
West End Ave & W 107 St	(2, 2) 
Sterling St & Bedford Ave	(1, 1) 
9 St & 44 Rd	(4, 3) 
E 88 St & Park Ave	(2, 2) 
Amsterdam Ave & W 73 St	(8, 7) 
Broadway & Moylan Pl	(2, 1) 
E 13 St & Avenue A	(19, 15) 
Howard St & Centre St	(176, 186) 
Spruce St & Nassau St	(4, 13) 
Broadway & Whipple St	(1, 0) 
Cadman Plaza E & Johnson St	(1, 2) 
Lexington Ave & Classon Ave	(2, 6) 
Lexington Ave & E 36 St	(2, 1) 
E 32 St & Park Ave	(5, 9) 
Water - Whitehall Plaza	(7, 10) 
31 St & Northern Blvd	(2, 0) 
Devoe St & Morgan Ave	(1, 0) 
Broadway & W 38 St	(2, 3) 
W 95 St & Broadway	(9, 4) 
Norfolk St & Broome St	(8, 13) 
5 St & 6 Ave	(1, 0) 
Commerce St & Van Brunt St	(0, 1) 
E 81 St & Park Ave	(0, 1) 
Clinton St & Union St	(0, 1) 
Greene Ave & Throop Ave	(1, 0) 
E 106 St & Madison Ave	(1, 0) 
W 52 St & 5 Ave	(6, 9) 
Bank St & Hudson St	(207, 212) 
W 106 St & Amsterdam Ave	(2, 0) 
Clark St & Henry St	(3, 1) 
Riverside Dr & W 104 St	(3, 4) 
W 37 St & 5 Ave	(2, 5) 
6 Ave & 9 St	(2, 3) 
E 47 St & 2 Ave	(3, 2) 
Washington Pl & Broadway	(5, 3) 
Central Park West & W 72 St	(6, 6) 
35 Ave & 37 St	(0, 1) 
E 114 St & 1 Ave	(0, 3) 
South End Ave & Liberty St	(36, 38) 
E 12 St & 4 Av	(5, 3) 
E 58 St & 1 Ave (NE Corner)	(0, 1) 
Greenwich Ave & 8 Ave	(19, 14) 
Broadway & W 49 St	(9, 7) 
E 53 St & Madison Ave	(5, 2) 
28 St & 36 Ave	(0, 1) 
Montrose Ave & Bushwick Ave	(3, 1) 
Bond St & Fulton St	(5, 6) 
9 Ave & W 18 St	(12, 12) 
Mercer St & Spring St	(17, 18) 
Pike St & Monroe St	(7, 4) 
Cadman Plaza West & Montague St	(3, 2) 
W 20 St & 11 Ave	(23, 28) 
Berry St & N 8 St	(3, 2) 
5 Ave & E 73 St	(4, 12) 
Perry St & Bleecker St	(3, 4) 
E 45 St & 3 Ave	(5, 2) 
Eastern Pkwy & Franklin Ave	(3, 4) 
Central Park North & Adam Clayton Powell Blvd	(1, 3) 
W 17 St & 8 Ave	(6, 8) 
E 52 St & 2 Ave	(8, 9) 
MacDougal St & Washington Sq	(8, 4) 
E 82 St & East End Ave	(6, 7) 
S 4 St & Wythe Ave	(16, 26) 
E 24 St & Park Ave S	(9, 16) 
Old Slip & Front St	(4, 0) 
Center Blvd & 48 Ave	(2, 4) 
Clermont Ave & Lafayette Ave	(1, 0) 
E 89 St & 3 Ave	(5, 5) 
Union St & 4 Ave	(2, 1) 
Knickerbocker Ave & George St	(0, 2) 
Willoughby Ave & Wyckoff Ave	(2, 1) 
E 47 St & Park Ave	(5, 7) 
Jackson St & Leonard St	(0, 1) 
E 7 St & Avenue A	(6, 10) 
McGuinness Blvd & Eagle St	(22, 20) 
Columbia St & Rivington St	(3, 2) 
Allen St & Rivington St	(20, 15) 
Central Park West & W 100 St	(2, 0) 
47 Ave & Skillman Ave	(1, 0) 
Graham Ave & Grand St	(2, 4) 
St. Nicholas Ave & W 126 St	(0, 1) 
Hope St & Union Ave	(4, 5) 
Willoughby St & Fleet St	(7, 8) 
E 66 St & Madison Ave	(1, 4) 
Catherine St & Monroe St	(4, 5) 
Kane St & Clinton St	(2, 4) 
W 45 St & 6 Ave	(15, 5) 
2 Ave & E 31 St	(12, 11) 
Boerum St & Broadway	(1, 0) 
Jay St & Tech Pl	(9, 4) 
Garfield Pl & 8 Ave	(5, 1) 
Rivington St & Chrystie St	(13, 25) 
Lewis Ave & Kosciuszko St	(3, 0) 
Flushing Ave & Vanderbilt Ave	(4, 2) 
Riverside Dr & W 91 St	(12, 9) 
11 Ave & W 27 St	(14, 24) 
E 6 St & Avenue D	(12, 3) 
Berkeley Pl & 7 Ave	(3, 3) 
E 84 St & Park Ave	(5, 3) 
3 Ave & E 72 St	(1, 0) 
Prospect Pl & Underhill Ave	(0, 5) 
E 84 St & 1 Ave	(5, 15) 
Fulton St & Clermont Ave	(0, 1) 
E 51 St & Lexington Ave	(73, 73) 
W 15 St & 10 Ave	(258, 282) 
Gansevoort St & Hudson St	(14, 11) 
Wythe Ave & Metropolitan Ave	(13, 11) 
E 2 St & Avenue A	(19, 22) 
Bedford Ave & Nassau Ave	(4, 7) 
Bond St & Bergen St	(2, 0) 
E 84 St & 3 Ave	(11, 4) 
Amsterdam Ave & W 125 St	(0, 2) 
Jackson Ave & 46 Rd	(1, 3) 
48 Ave & 5 St	(2, 0) 
Carroll St & 5 Ave	(3, 4) 
Lispenard St & Broadway	(116, 151) 
Nassau Ave & Russell St	(5, 3) 
Madison Ave & E 82 St	(4, 11) 
W 47 St & 10 Ave	(9, 3) 
Front St & Washington St	(8, 6) 
Devoe St & Lorimer St	(4, 1) 
Sterling Pl & Bedford Ave	(1, 0) 
Frederick Douglass Blvd & W 112 St	(2, 0) 
Washington Pl & 6 Ave	(16, 3) 
Broadway & W 37 St	(4, 18) 
W 26 St & 10 Ave	(7, 4) 
2 Ave & E 99 St	(1, 0) 
E 81 St & York Ave	(84, 72) 
N 15 St & Wythe Ave	(2, 2) 
Fulton St & Broadway	(8, 6) 
Cadman Plaza E & Red Cross Pl	(7, 9) 
