Washington Park	(3, 1) 
Vernon Blvd & 31 Ave	(1, 1) 
Grand Army Plaza & Plaza St West	(2, 1) 
Wyckoff Av & Jefferson St	(0, 1) 
Amsterdam Ave & W 79 St	(4, 2) 
Carroll St & 6 Ave	(1, 2) 
Van Brunt St & Wolcott St	(0, 1) 
Cumberland St & Lafayette Ave	(0, 4) 
Crescent St & 34 Ave	(1, 0) 
Reade St & Broadway	(13, 10) 
Fulton St & Adams St	(148, 135) 
Classon Ave & St Marks Ave	(40, 47) 
Frederick Douglass Blvd & W 117 St	(1, 0) 
31 St & Thomson Ave	(3, 0) 
W 52 St & 6 Ave	(13, 13) 
St Nicholas Ave & Manhattan Ave	(1, 0) 
Irving Ave & Jefferson St	(1, 0) 
Frederick Douglass Blvd & W 115 St	(0, 1) 
India St & Manhattan Ave	(7, 6) 
St Marks Pl & 1 Ave	(13, 9) 
Bedford Ave & S 9 St	(5, 1) 
Riverside Dr & W 82 St	(86, 83) 
E 72 St & York Ave	(11, 9) 
Washington Ave & Park Ave	(1, 3) 
Bayard St & Baxter St	(12, 12) 
Riverside Dr & W 78 St	(1, 1) 
Pleasant Ave & E 120 St	(1, 0) 
Banker St & Meserole Ave	(0, 2) 
Lenox Ave & W 111 St	(1, 2) 
Fulton St & Rockwell Pl	(0, 3) 
Henry St & Degraw St	(1, 2) 
Stanton St & Chrystie St	(13, 16) 
Park Pl & Church St	(11, 9) 
7 St & 3 Ave	(1, 1) 
Henry St & Grand St	(6, 6) 
Forsyth St & Canal St	(10, 9) 
E 72 St & Park Ave	(0, 5) 
W 78 St & Broadway	(6, 7) 
E 27 St & 1 Ave	(3, 11) 
28 Ave & 35 St	(0, 1) 
St James Pl & Pearl St	(4, 0) 
DeKalb Ave & S Portland Ave	(5, 2) 
Carlton Ave & Dean St	(4, 1) 
Pearl St & Anchorage Pl	(4, 4) 
Pioneer St & Van Brunt St	(1, 0) 
N 6 St & Bedford Ave	(148, 154) 
Broadway & E 22 St	(34, 33) 
Park Pl & Vanderbilt Ave	(5, 4) 
Stanton St & Norfolk St	(5, 5) 
W 82 St & Central Park West	(4, 0) 
