Washington Park	(2, 5) 
Vernon Blvd & 10 St	(1, 3) 
Grand Army Plaza & Plaza St West	(5, 2) 
Wyckoff Av & Jefferson St	(2, 2) 
Amsterdam Ave & W 79 St	(2, 0) 
Carroll St & 6 Ave	(2, 1) 
Van Brunt St & Wolcott St	(1, 0) 
Cumberland St & Lafayette Ave	(1, 5) 
Crescent St & 34 Ave	(1, 0) 
Reade St & Broadway	(2, 5) 
Fulton St & Adams St	(72, 77) 
Classon Ave & St Marks Ave	(49, 43) 
W 52 St & 6 Ave	(1, 8) 
Irving Ave & Jefferson St	(0, 1) 
India St & Manhattan Ave	(4, 5) 
St Marks Pl & 1 Ave	(12, 7) 
Bedford Ave & S 9 St	(1, 5) 
Riverside Dr & W 82 St	(67, 63) 
E 72 St & York Ave	(2, 5) 
Washington Ave & Park Ave	(0, 2) 
Bayard St & Baxter St	(14, 9) 
Riverside Dr & W 78 St	(4, 6) 
Banker St & Meserole Ave	(3, 1) 
Lenox Ave & W 111 St	(0, 2) 
Fulton St & Rockwell Pl	(6, 2) 
2 Ave & 36 St - Citi Bike HQ at Industry City	(0, 1) 
Henry St & Degraw St	(1, 1) 
Stanton St & Chrystie St	(10, 11) 
Park Pl & Church St	(3, 1) 
Henry St & Grand St	(6, 1) 
Forsyth St & Canal St	(5, 2) 
E 72 St & Park Ave	(3, 4) 
W 78 St & Broadway	(4, 4) 
E 27 St & 1 Ave	(5, 7) 
28 Ave & 35 St	(1, 1) 
St James Pl & Pearl St	(3, 2) 
E 128 St & Madison Ave	(0, 1) 
Carlton Ave & Dean St	(2, 2) 
DeKalb Ave & S Portland Ave	(1, 0) 
Pearl St & Anchorage Pl	(4, 3) 
Leonard St & Boerum St	(0, 1) 
Pioneer St & Van Brunt St	(0, 1) 
N 6 St & Bedford Ave	(167, 160) 
Broadway & E 22 St	(17, 13) 
Park Pl & Vanderbilt Ave	(4, 2) 
Stanton St & Norfolk St	(7, 5) 
W 82 St & Central Park West	(0, 3) 
Union St & Nevins St	(1, 4) 
5 Ave & 3 St	(1, 1) 
Broad St & Bridge St	(31, 33) 
West End Ave & W 107 St	(1, 0) 
9 St & 44 Rd	(1, 0) 
E 88 St & Park Ave	(2, 1) 
Amsterdam Ave & W 73 St	(8, 12) 
Broadway & Moylan Pl	(2, 1) 
E 13 St & Avenue A	(12, 17) 
Howard St & Centre St	(110, 121) 
Spruce St & Nassau St	(12, 9) 
Cadman Plaza E & Johnson St	(3, 0) 
Lexington Ave & Classon Ave	(2, 2) 
Broadway & W 38 St	(2, 2) 
E 32 St & Park Ave	(1, 2) 
Water - Whitehall Plaza	(1, 3) 
E 81 St & Park Ave	(1, 0) 
Lexington Ave & E 36 St	(0, 5) 
5 St & 6 Ave	(2, 0) 
31 St & Northern Blvd	(0, 1) 
Norfolk St & Broome St	(7, 6) 
Clinton St & Union St	(0, 1) 
W 52 St & 5 Ave	(3, 0) 
40 Ave & Crescent St	(1, 1) 
Bank St & Hudson St	(151, 135) 
Clark St & Henry St	(5, 1) 
W 106 St & Amsterdam Ave	(1, 1) 
W 100 St & Broadway	(1, 2) 
Riverside Dr & W 104 St	(1, 3) 
W 37 St & 5 Ave	(2, 5) 
6 Ave & 9 St	(2, 2) 
Lenox Ave & W 126 St	(0, 1) 
E 47 St & 2 Ave	(1, 5) 
Washington Pl & Broadway	(6, 3) 
Central Park West & W 72 St	(3, 2) 
E 114 St & 1 Ave	(0, 1) 
South End Ave & Liberty St	(23, 19) 
E 58 St & 1 Ave (NE Corner)	(0, 1) 
Greenwich Ave & 8 Ave	(7, 7) 
E 53 St & Madison Ave	(5, 1) 
Broadway & W 49 St	(8, 2) 
Montrose Ave & Bushwick Ave	(1, 0) 
Bond St & Fulton St	(4, 8) 
Mercer St & Spring St	(16, 8) 
Pike St & Monroe St	(3, 4) 
Cadman Plaza West & Montague St	(0, 1) 
W 20 St & 11 Ave	(7, 16) 
Berry St & N 8 St	(2, 3) 
5 Ave & E 73 St	(17, 6) 
Perry St & Bleecker St	(6, 5) 
E 45 St & 3 Ave	(4, 2) 
Eastern Pkwy & Franklin Ave	(3, 4) 
Central Park North & Adam Clayton Powell Blvd	(0, 2) 
E 52 St & 2 Ave	(4, 5) 
MacDougal St & Washington Sq	(12, 1) 
S 4 St & Wythe Ave	(16, 21) 
E 82 St & East End Ave	(4, 2) 
E 24 St & Park Ave S	(8, 10) 
Old Slip & Front St	(2, 3) 
Center Blvd & 48 Ave	(2, 3) 
Clermont Ave & Lafayette Ave	(2, 0) 
E 89 St & 3 Ave	(1, 3) 
Union St & 4 Ave	(2, 2) 
E 47 St & Park Ave	(5, 5) 
Jackson St & Leonard St	(1, 0) 
E 7 St & Avenue A	(12, 13) 
McGuinness Blvd & Eagle St	(13, 8) 
Columbia St & Rivington St	(3, 3) 
Allen St & Rivington St	(19, 15) 
Graham Ave & Grand St	(2, 1) 
Central Park West & W 100 St	(1, 0) 
St. Nicholas Ave & W 126 St	(1, 0) 
Hope St & Union Ave	(2, 3) 
Willoughby St & Fleet St	(4, 6) 
Kane St & Clinton St	(3, 1) 
Catherine St & Monroe St	(4, 5) 
W 45 St & 6 Ave	(0, 4) 
2 Ave & E 31 St	(8, 5) 
Jay St & Tech Pl	(4, 1) 
Boerum St & Broadway	(1, 0) 
Pulaski St & Marcus Garvey Blvd	(0, 1) 
10 St & 5 Ave	(1, 1) 
Garfield Pl & 8 Ave	(1, 0) 
Rivington St & Chrystie St	(7, 9) 
Flushing Ave & Vanderbilt Ave	(0, 4) 
Riverside Dr & W 91 St	(7, 4) 
E 6 St & Avenue D	(7, 5) 
Berkeley Pl & 7 Ave	(2, 3) 
E 84 St & Park Ave	(1, 1) 
Prospect Pl & Underhill Ave	(0, 2) 
E 84 St & 1 Ave	(2, 4) 
Fulton St & Clermont Ave	(0, 1) 
E 51 St & Lexington Ave	(50, 50) 
W 15 St & 10 Ave	(162, 188) 
W 55 St & 6 Ave	(4, 3) 
Gansevoort St & Hudson St	(11, 9) 
Wythe Ave & Metropolitan Ave	(8, 11) 
E 2 St & Avenue A	(12, 10) 
Bedford Ave & Nassau Ave	(1, 7) 
West Thames St	(15, 8) 
E 84 St & 3 Ave	(5, 7) 
E 55 St & 3 Ave	(3, 1) 
Jackson Ave & 46 Rd	(1, 0) 
48 Ave & 5 St	(0, 1) 
Carroll St & 5 Ave	(3, 3) 
Lispenard St & Broadway	(100, 127) 
Nassau Ave & Russell St	(2, 5) 
Halsey St & Tompkins Ave	(1, 0) 
Madison Ave & E 82 St	(3, 5) 
W 47 St & 10 Ave	(6, 6) 
Washington Pl & 6 Ave	(3, 6) 
Broadway & W 37 St	(2, 5) 
W 26 St & 10 Ave	(6, 9) 
E 81 St & York Ave	(63, 41) 
N 15 St & Wythe Ave	(3, 2) 
12 St & 4 Ave	(0, 1) 
W 18 St & 9 Ave	(5, 7) 
Fulton St & Broadway	(18, 18) 
Cadman Plaza E & Red Cross Pl	(4, 5) 
Hanson Pl & Ashland Pl	(5, 9) 
Meserole Ave & Manhattan Ave	(4, 4) 
Putnam Ave & Throop Ave	(0, 1) 
Queens Plaza North & Crescent St	(2, 1) 
Prospect Park West & 8 St	(0, 1) 
E 68 St & 3 Ave	(1, 1) 
Greenpoint Ave & Manhattan Ave	(5, 6) 
E 89 St & York Ave	(1, 1) 
Vernon Blvd & 47 Rd	(1, 1) 
E 102 St & 1 Ave	(1, 1) 
11 Ave & W 59 St	(4, 5) 
Front St & Maiden Ln	(2, 2) 
E 16 St & Irving Pl	(10, 7) 
W 59 St & 10 Ave	(5, 2) 
W 45 St & 8 Ave	(4, 4) 
E 19 St & 3 Ave	(4, 9) 
Bank St & Washington St	(12, 12) 
Central Park S & 6 Ave	(4, 9) 
3 St & 7 Ave	(45, 45) 
Fulton St & William St	(4, 8) 
Laight St & Hudson St	(0, 1) 
E 43 St & 2 Ave	(1, 1) 
Monroe St & Classon Ave	(5, 2) 
1 Ave & E 16 St	(16, 10) 
Douglass St & 3 Ave	(1, 2) 
Grand St & Elizabeth St	(12, 14) 
Milton St & Franklin St	(3, 16) 
E 55 St & 2 Ave	(7, 4) 
Barrow St & Hudson St	(14, 18) 
Nassau St & Navy St	(2, 1) 
Columbia St & Kane St	(0, 1) 
Richards St & Delavan St	(0, 1) 
W 50 St & 9 Ave	(5, 4) 
Peck Slip & Front St	(9, 7) 
7 Ave & Central Park South	(4, 4) 
5 Ave & E 29 St	(0, 4) 
West St & Chambers St	(20, 25) 
Leonard St & Church St	(1, 2) 
45 Rd & 11 St	(2, 3) 
E 2 St & Avenue B	(5, 8) 
Roebling St & N 4 St	(1, 4) 
W 31 St & 7 Ave	(8, 6) 
Lewis Ave & Decatur St	(1, 0) 
W 21 St & 6 Ave	(12, 18) 
8 Ave & W 33 St	(8, 10) 
Cleveland Pl & Spring St	(10, 9) 
Duane St & Greenwich St	(5, 5) 
E 31 St & 3 Ave	(7, 6) 
W 43 St & 6 Ave	(3, 0) 
Division St & Bowery	(10, 5) 
Clinton Ave & Myrtle Ave	(85, 78) 
W 63 St & Broadway	(12, 9) 
Central Park West & W 68 St	(4, 5) 
E 39 St & 2 Ave	(10, 11) 
Columbus Ave & W 95 St	(1, 5) 
E 67 St & Park Ave	(3, 1) 
S Portland Ave & Hanson Pl	(0, 2) 
E 47 St & 1 Ave	(2, 3) 
Bialystoker Pl & Delancey St	(4, 0) 
1 Ave & E 68 St	(12, 7) 
Columbia St & Lorraine St	(0, 2) 
E 48 St & 5 Ave	(4, 6) 
South St & Whitehall St	(5, 5) 
Broadway & W 41 St	(10, 7) 
W 42 St & 8 Ave	(3, 5) 
Broadway & Roebling St	(3, 3) 
Broadway & W 32 St	(3, 3) 
Jay St & York St	(6, 7) 
2 Ave & E 122 St	(2, 1) 
Lexington Ave & E 26 St	(6, 7) 
E 25 St & 1 Ave	(3, 6) 
E 93 St & 2 Ave	(3, 6) 
University Pl & E 8 St	(11, 8) 
Warren St & Court St	(0, 3) 
St James Pl & Oliver St	(2, 1) 
Lafayette St & Jersey St	(9, 10) 
McKibbin St & Bogart St	(1, 1) 
W Broadway & Spring Street	(11, 16) 
Schermerhorn St & Court St	(1, 1) 
3 St & Prospect Park West	(2, 1) 
Myrtle Ave & Lewis Ave	(2, 2) 
Court St & Nelson St	(1, 0) 
W 120 St & Claremont Ave	(0, 2) 
Franklin St & Dupont St	(1, 2) 
McKibbin St & Manhattan Ave	(1, 0) 
Monroe St & Bedford Ave	(0, 2) 
Cedar St & Myrtle Ave	(1, 0) 
5 Ave & E 78 St	(5, 7) 
Carroll St & Smith St	(4, 2) 
Macon St & Nostrand Ave	(1, 1) 
W 52 St & 11 Ave	(8, 12) 
North Moore St & Greenwich St	(18, 15) 
Broadway & Berry St	(8, 11) 
W 27 St & 10 Ave	(6, 8) 
W 41 St & 8 Ave	(8, 5) 
Bushwick Ave & Powers St	(1, 4) 
W 34 St & 11 Ave	(11, 17) 
E 6 St & Avenue B	(8, 10) 
E 118 St & 1 Ave	(0, 1) 
2 Ave & E 72 St	(8, 15) 
Myrtle Ave & Marcy Ave	(2, 1) 
W 22 St & 10 Ave	(6, 18) 
W 26 St & 8 Ave	(5, 2) 
6 Ave & Broome St	(4, 6) 
8 Ave & W 52 St	(4, 3) 
Broadway & W 51 St	(1, 3) 
W 84 St & Broadway	(5, 2) 
Cathedral Pkwy & Broadway	(0, 1) 
1 Ave & E 44 St	(2, 2) 
W 24 St & 7 Ave	(11, 5) 
Fulton St & Waverly Ave	(2, 2) 
Avenue C & E 18 St	(9, 3) 
W 53 St & 10 Ave	(8, 12) 
Stanton St & Mangin St	(1, 9) 
1 Ave & E 18 St	(201, 174) 
E 15 St & 3 Ave	(17, 18) 
Bus Slip & State St	(2, 9) 
Union Ave & N 12 St	(8, 5) 
Riverside Dr & W 72 St	(4, 16) 
W 20 St & 7 Ave	(5, 16) 
Emerson Pl & Myrtle Ave	(1, 1) 
6 St & 7 Ave	(1, 2) 
Pershing Square North	(8, 3) 
Clinton St & Joralemon St	(4, 2) 
W 33 St & 7 Ave	(4, 6) 
2 Ave & E 96 St	(5, 1) 
E 43 St & 5 Ave	(2, 1) 
Bayard St & Leonard St	(5, 2) 
Hudson St & Reade St	(6, 5) 
Market St & Cherry St	(2, 3) 
E 74 St & 1 Ave	(2, 2) 
W 67 St & Broadway	(9, 10) 
Metropolitan Ave & Meeker Ave	(10, 6) 
Degraw St & Hoyt St	(1, 0) 
6 Ave & Canal St	(6, 9) 
Eastern Pkwy & Washington Ave	(6, 5) 
Plaza St West & Flatbush Ave	(4, 1) 
3 Ave & Carroll St	(2, 0) 
W 87 St & Amsterdam Ave	(3, 0) 
India St & West St	(2, 2) 
E 78 St & 2 Ave	(4, 4) 
W 88 St & West End Ave	(1, 3) 
