Washington Park	(1, 3) 
E 84 St & 3 Ave	(7, 6) 
E 55 St & 3 Ave	(6, 4) 
Jackson Ave & 46 Rd	(2, 1) 
48 Ave & 5 St	(4, 1) 
Carroll St & 5 Ave	(2, 1) 
Lispenard St & Broadway	(193, 200) 
Nassau Ave & Russell St	(9, 6) 
Madison Ave & E 82 St	(5, 3) 
Halsey St & Tompkins Ave	(0, 1) 
W 47 St & 10 Ave	(7, 5) 
Front St & Washington St	(6, 8) 
Devoe St & Lorimer St	(4, 2) 
Sterling Pl & Bedford Ave	(1, 1) 
Washington Pl & 6 Ave	(8, 11) 
Broadway & W 37 St	(17, 7) 
W 26 St & 10 Ave	(6, 10) 
2 Ave & E 99 St	(0, 2) 
E 81 St & York Ave	(81, 79) 
N 15 St & Wythe Ave	(3, 1) 
12 St & 4 Ave	(0, 1) 
W 18 St & 9 Ave	(9, 3) 
Fulton St & Broadway	(17, 16) 
Cadman Plaza E & Red Cross Pl	(5, 3) 
Hanson Pl & Ashland Pl	(6, 7) 
Meserole Ave & Manhattan Ave	(9, 8) 
Henry St & Middagh St	(1, 2) 
Queens Plaza North & Crescent St	(2, 0) 
Prospect Park West & 8 St	(3, 2) 
E 68 St & 3 Ave	(2, 4) 
Central Ave & Flushing Ave	(0, 1) 
E 89 St & York Ave	(2, 4) 
Vernon Blvd & 47 Rd	(4, 2) 
E 102 St & 1 Ave	(2, 2) 
11 Ave & W 59 St	(10, 13) 
Front St & Maiden Ln	(5, 7) 
E 16 St & Irving Pl	(12, 10) 
Lenox Ave & W 130 St	(1, 1) 
W 59 St & 10 Ave	(7, 10) 
W 45 St & 8 Ave	(11, 6) 
E 19 St & 3 Ave	(9, 6) 
Bank St & Washington St	(9, 10) 
Central Park S & 6 Ave	(5, 8) 
3 St & 7 Ave	(50, 43) 
Fulton St & William St	(9, 5) 
Laight St & Hudson St	(2, 5) 
E 43 St & 2 Ave	(5, 3) 
1 Ave & E 16 St	(25, 16) 
Douglass St & 3 Ave	(4, 2) 
Grand St & Elizabeth St	(16, 24) 
Milton St & Franklin St	(9, 12) 
E 55 St & 2 Ave	(6, 6) 
E 115 St & Lexington Ave	(0, 1) 
Barrow St & Hudson St	(9, 10) 
Nassau St & Navy St	(2, 2) 
