Washington Park	(1, 2) 
Vernon Blvd & 31 Ave	(0, 1) 
Grand Army Plaza & Plaza St West	(2, 2) 
Wyckoff Av & Jefferson St	(1, 0) 
Amsterdam Ave & W 79 St	(2, 4) 
31 St & Newtown Ave	(1, 1) 
Carroll St & 6 Ave	(1, 1) 
Van Brunt St & Wolcott St	(1, 1) 
Cumberland St & Lafayette Ave	(3, 4) 
Reade St & Broadway	(8, 13) 
Fulton St & Adams St	(140, 144) 
Classon Ave & St Marks Ave	(39, 50) 
Frederick Douglass Blvd & W 117 St	(0, 1) 
31 St & Thomson Ave	(2, 3) 
W 52 St & 6 Ave	(12, 25) 
St Nicholas Ave & Manhattan Ave	(2, 1) 
Irving Ave & Jefferson St	(0, 1) 
India St & Manhattan Ave	(10, 16) 
St Marks Pl & 1 Ave	(12, 12) 
Bedford Ave & S 9 St	(3, 0) 
Riverside Dr & W 82 St	(93, 94) 
E 72 St & York Ave	(8, 11) 
Washington Ave & Park Ave	(4, 3) 
Bayard St & Baxter St	(8, 13) 
Riverside Dr & W 78 St	(2, 3) 
Banker St & Meserole Ave	(4, 3) 
Lenox Ave & W 111 St	(1, 2) 
Fulton St & Rockwell Pl	(2, 4) 
21 St & 43 Ave	(0, 1) 
Henry St & Degraw St	(0, 6) 
Stanton St & Chrystie St	(13, 16) 
Park Pl & Church St	(11, 9) 
Crescent St & Ditmars Blvd	(0, 1) 
Henry St & Grand St	(7, 6) 
Forsyth St & Canal St	(5, 4) 
2 Ave & 9 St	(1, 0) 
E 72 St & Park Ave	(3, 3) 
W 78 St & Broadway	(6, 5) 
E 27 St & 1 Ave	(2, 9) 
28 Ave & 35 St	(1, 0) 
St James Pl & Pearl St	(2, 1) 
DeKalb Ave & S Portland Ave	(3, 0) 
Carlton Ave & Dean St	(3, 2) 
Pearl St & Anchorage Pl	(6, 3) 
Leonard St & Boerum St	(2, 2) 
Pioneer St & Van Brunt St	(0, 1) 
N 6 St & Bedford Ave	(170, 188) 
Broadway & E 22 St	(24, 22) 
Park Pl & Vanderbilt Ave	(8, 2) 
Stanton St & Norfolk St	(9, 8) 
W 82 St & Central Park West	(3, 2) 
W 107 St & Columbus Ave	(0, 1) 
5 Ave & 3 St	(2, 2) 
Columbia Heights & Cranberry St	(3, 1) 
Broad St & Bridge St	(54, 72) 
Sterling St & Bedford Ave	(1, 1) 
9 St & 44 Rd	(0, 2) 
E 88 St & Park Ave	(1, 1) 
Amsterdam Ave & W 73 St	(7, 8) 
Broadway & Moylan Pl	(3, 1) 
E 13 St & Avenue A	(10, 11) 
Howard St & Centre St	(174, 175) 
Spruce St & Nassau St	(3, 5) 
Broadway & Whipple St	(1, 0) 
Cadman Plaza E & Johnson St	(2, 3) 
Broadway & W 38 St	(4, 10) 
Devoe St & Morgan Ave	(1, 0) 
E 32 St & Park Ave	(9, 18) 
Water - Whitehall Plaza	(6, 2) 
Lexington Ave & E 36 St	(5, 7) 
E 81 St & Park Ave	(1, 2) 
5 St & 6 Ave	(1, 0) 
W 95 St & Broadway	(6, 3) 
Clinton St & Union St	(5, 1) 
Norfolk St & Broome St	(4, 6) 
E 106 St & Madison Ave	(0, 1) 
W 52 St & 5 Ave	(7, 7) 
Carlton Ave & Park Ave	(1, 1) 
Clinton St & 4 Place	(0, 1) 
Bank St & Hudson St	(144, 140) 
Clark St & Henry St	(2, 1) 
W 106 St & Amsterdam Ave	(2, 1) 
President St & Henry St	(1, 1) 
W 100 St & Broadway	(8, 1) 
Riverside Dr & W 104 St	(1, 2) 
W 37 St & 5 Ave	(6, 8) 
6 Ave & 9 St	(3, 4) 
E 47 St & 2 Ave	(4, 8) 
Washington Pl & Broadway	(11, 9) 
Central Park West & W 72 St	(6, 3) 
35 Ave & 37 St	(0, 1) 
E 114 St & 1 Ave	(1, 2) 
South End Ave & Liberty St	(26, 16) 
E 58 St & 1 Ave (NE Corner)	(3, 3) 
Greenwich Ave & 8 Ave	(12, 13) 
Broadway & W 49 St	(10, 7) 
E 53 St & Madison Ave	(7, 4) 
Montrose Ave & Bushwick Ave	(1, 0) 
Bond St & Fulton St	(2, 3) 
Pike St & Monroe St	(2, 7) 
Mercer St & Spring St	(7, 11) 
Cadman Plaza West & Montague St	(0, 3) 
W 20 St & 11 Ave	(16, 20) 
Berry St & N 8 St	(0, 2) 
Perry St & Bleecker St	(7, 4) 
5 Ave & E 73 St	(11, 1) 
E 45 St & 3 Ave	(6, 11) 
Eastern Pkwy & Franklin Ave	(8, 1) 
Central Park North & Adam Clayton Powell Blvd	(0, 1) 
E 52 St & 2 Ave	(9, 7) 
MacDougal St & Washington Sq	(5, 6) 
S 4 St & Wythe Ave	(16, 20) 
E 82 St & East End Ave	(2, 3) 
E 24 St & Park Ave S	(25, 20) 
Old Slip & Front St	(9, 5) 
Center Blvd & 48 Ave	(9, 4) 
Clermont Ave & Park Ave	(0, 1) 
Clermont Ave & Lafayette Ave	(0, 1) 
E 89 St & 3 Ave	(5, 5) 
Union St & 4 Ave	(4, 4) 
Willoughby Ave & Wyckoff Ave	(1, 1) 
E 47 St & Park Ave	(8, 22) 
E 7 St & Avenue A	(9, 13) 
McGuinness Blvd & Eagle St	(20, 17) 
Columbia St & Rivington St	(11, 2) 
Allen St & Rivington St	(12, 14) 
Graham Ave & Grand St	(1, 3) 
Central Park West & W 100 St	(1, 2) 
Mt Morris Park W & W 120 St	(0, 1) 
47 Ave & Skillman Ave	(0, 1) 
St. Nicholas Ave & W 126 St	(1, 0) 
Hope St & Union Ave	(4, 2) 
Willoughby St & Fleet St	(16, 17) 
E 66 St & Madison Ave	(0, 2) 
Kane St & Clinton St	(3, 1) 
Catherine St & Monroe St	(5, 2) 
W 45 St & 6 Ave	(9, 9) 
Park Ave & St Edwards St	(1, 0) 
2 Ave & E 31 St	(17, 7) 
Jay St & Tech Pl	(2, 7) 
Boerum St & Broadway	(1, 1) 
Pulaski St & Marcus Garvey Blvd	(0, 1) 
Garfield Pl & 8 Ave	(2, 0) 
Rivington St & Chrystie St	(6, 3) 
Lewis Ave & Kosciuszko St	(1, 1) 
Flushing Ave & Vanderbilt Ave	(4, 3) 
Riverside Dr & W 91 St	(0, 2) 
11 Ave & W 27 St	(11, 14) 
E 6 St & Avenue D	(7, 7) 
Berkeley Pl & 7 Ave	(7, 3) 
31 St & Broadway	(0, 1) 
E 84 St & Park Ave	(6, 1) 
3 Ave & E 72 St	(1, 4) 
Prospect Pl & Underhill Ave	(2, 1) 
E 84 St & 1 Ave	(5, 7) 
Fulton St & Clermont Ave	(3, 1) 
E 51 St & Lexington Ave	(151, 149) 
W 15 St & 10 Ave	(170, 172) 
Union St & Bedford Ave	(1, 1) 
Gansevoort St & Hudson St	(13, 11) 
Wythe Ave & Metropolitan Ave	(19, 15) 
E 2 St & Avenue A	(16, 14) 
Bedford Ave & Nassau Ave	(6, 7) 
West Thames St	(12, 13) 
Bond St & Bergen St	(2, 2) 
E 84 St & 3 Ave	(6, 7) 
