Washington Park	(0, 1) 
Vernon Blvd & 10 St	(2, 1) 
Grand Army Plaza & Plaza St West	(1, 3) 
Wyckoff Av & Jefferson St	(4, 1) 
Amsterdam Ave & W 79 St	(4, 4) 
31 St & Newtown Ave	(1, 1) 
Van Brunt St & Wolcott St	(1, 0) 
Cumberland St & Lafayette Ave	(4, 2) 
Reade St & Broadway	(6, 8) 
Fulton St & Adams St	(83, 72) 
Classon Ave & St Marks Ave	(51, 52) 
Frederick Douglass Blvd & W 117 St	(0, 1) 
31 St & Thomson Ave	(2, 0) 
W 52 St & 6 Ave	(6, 4) 
St Nicholas Ave & Manhattan Ave	(2, 0) 
Irving Ave & Jefferson St	(3, 1) 
Stagg St & Morgan Ave	(0, 1) 
India St & Manhattan Ave	(2, 7) 
St Marks Pl & 1 Ave	(18, 12) 
Bedford Ave & S 9 St	(2, 0) 
Riverside Dr & W 82 St	(115, 117) 
E 72 St & York Ave	(5, 1) 
Crescent St & Broadway	(0, 3) 
Washington Ave & Park Ave	(2, 4) 
Bayard St & Baxter St	(8, 7) 
Riverside Dr & W 78 St	(8, 7) 
Banker St & Meserole Ave	(2, 4) 
Lenox Ave & W 111 St	(2, 3) 
Fulton St & Rockwell Pl	(3, 2) 
2 Ave & 36 St - Citi Bike HQ at Industry City	(0, 1) 
Henry St & Degraw St	(4, 1) 
Stanton St & Chrystie St	(11, 16) 
49 Ave & 21 St	(1, 1) 
Park Pl & Church St	(10, 5) 
7 St & 3 Ave	(1, 2) 
Henry St & Grand St	(3, 3) 
E 72 St & Park Ave	(10, 6) 
Forsyth St & Canal St	(6, 12) 
W 78 St & Broadway	(4, 7) 
E 27 St & 1 Ave	(4, 2) 
St James Pl & Pearl St	(2, 0) 
Carlton Ave & Dean St	(1, 2) 
DeKalb Ave & S Portland Ave	(2, 3) 
Pearl St & Anchorage Pl	(2, 1) 
Pioneer St & Van Brunt St	(1, 1) 
31 Ave & 14 St	(1, 0) 
Leonard St & Boerum St	(0, 1) 
N 6 St & Bedford Ave	(159, 162) 
Broadway & E 22 St	(17, 14) 
Park Pl & Vanderbilt Ave	(5, 2) 
31 St & 23 Ave	(2, 2) 
Stanton St & Norfolk St	(8, 8) 
W 82 St & Central Park West	(7, 3) 
Morningside Ave & W 123 St	(0, 1) 
Union St & Nevins St	(2, 0) 
5 Ave & 3 St	(5, 2) 
Columbia Heights & Cranberry St	(1, 3) 
Broad St & Bridge St	(57, 65) 
West End Ave & W 107 St	(3, 3) 
Sterling St & Bedford Ave	(2, 0) 
9 St & 44 Rd	(0, 3) 
E 88 St & Park Ave	(1, 1) 
Amsterdam Ave & W 73 St	(7, 5) 
Broadway & Moylan Pl	(11, 1) 
E 13 St & Avenue A	(15, 10) 
Howard St & Centre St	(164, 176) 
Spruce St & Nassau St	(5, 11) 
Broadway & Whipple St	(1, 2) 
Cadman Plaza E & Johnson St	(3, 3) 
Broadway & W 38 St	(2, 4) 
Lexington Ave & E 36 St	(2, 4) 
E 32 St & Park Ave	(12, 7) 
Water - Whitehall Plaza	(10, 5) 
Devoe St & Morgan Ave	(1, 1) 
Lexington Ave & Classon Ave	(4, 2) 
E 81 St & Park Ave	(5, 2) 
W 95 St & Broadway	(3, 4) 
Norfolk St & Broome St	(13, 12) 
5 St & 6 Ave	(1, 1) 
31 St & Northern Blvd	(1, 0) 
Clinton St & Union St	(0, 2) 
Bank St & Hudson St	(188, 190) 
Clark St & Henry St	(3, 2) 
W 106 St & Amsterdam Ave	(1, 2) 
President St & Henry St	(5, 0) 
W 100 St & Broadway	(3, 3) 
Riverside Dr & W 104 St	(7, 8) 
W 37 St & 5 Ave	(1, 3) 
6 Ave & 9 St	(4, 2) 
Lenox Ave & W 126 St	(0, 3) 
E 47 St & 2 Ave	(1, 5) 
Washington Pl & Broadway	(6, 4) 
Central Park West & W 72 St	(8, 8) 
E 114 St & 1 Ave	(1, 3) 
South End Ave & Liberty St	(35, 39) 
E 12 St & 4 Av	(8, 12) 
E 58 St & 1 Ave (NE Corner)	(3, 4) 
Greenwich Ave & 8 Ave	(25, 15) 
E 53 St & Madison Ave	(4, 6) 
Broadway & W 49 St	(5, 6) 
Montrose Ave & Bushwick Ave	(2, 2) 
Bond St & Fulton St	(5, 4) 
Mercer St & Spring St	(15, 5) 
Pike St & Monroe St	(5, 11) 
Cadman Plaza West & Montague St	(1, 3) 
W 20 St & 11 Ave	(23, 15) 
Berry St & N 8 St	(3, 2) 
Perry St & Bleecker St	(12, 10) 
Central Park North & Adam Clayton Powell Blvd	(3, 6) 
