Peck Slip & Front St	(0, 1) 
5 Ave & E 29 St	(3, 1) 
West St & Chambers St	(6, 7) 
Leonard St & Church St	(0, 2) 
E 2 St & Avenue B	(3, 5) 
Roebling St & N 4 St	(1, 2) 
W 31 St & 7 Ave	(3, 4) 
W 21 St & 6 Ave	(7, 5) 
8 Ave & W 33 St	(3, 2) 
Cleveland Pl & Spring St	(9, 3) 
Duane St & Greenwich St	(2, 2) 
E 31 St & 3 Ave	(3, 1) 
Wolcott St & Dwight St	(1, 1) 
W 43 St & 6 Ave	(1, 0) 
Division St & Bowery	(2, 1) 
Clinton Ave & Myrtle Ave	(27, 22) 
W 63 St & Broadway	(6, 3) 
E 39 St & 2 Ave	(7, 3) 
Columbus Ave & W 95 St	(1, 1) 
Graham Ave & Withers St	(0, 1) 
S Portland Ave & Hanson Pl	(1, 0) 
E 47 St & 1 Ave	(1, 0) 
Bialystoker Pl & Delancey St	(2, 1) 
1 Ave & E 68 St	(4, 2) 
Broadway & W 41 St	(2, 2) 
South St & Whitehall St	(5, 3) 
W 42 St & 8 Ave	(2, 0) 
Broadway & W 32 St	(0, 1) 
Lexington Ave & E 26 St	(2, 1) 
E 25 St & 1 Ave	(1, 1) 
E 93 St & 2 Ave	(2, 0) 
University Pl & E 8 St	(2, 1) 
Warren St & Court St	(1, 0) 
Lafayette St & Jersey St	(2, 3) 
W Broadway & Spring Street	(3, 1) 
3 St & Prospect Park West	(2, 0) 
Lorimer St & Broadway	(2, 0) 
Franklin St & Dupont St	(1, 2) 
Cedar St & Myrtle Ave	(1, 1) 
5 Ave & E 78 St	(1, 0) 
Carroll St & Smith St	(2, 0) 
W 52 St & 11 Ave	(0, 1) 
North Moore St & Greenwich St	(0, 4) 
Broadway & Berry St	(1, 1) 
W 27 St & 10 Ave	(2, 3) 
W 41 St & 8 Ave	(2, 1) 
Bushwick Ave & Powers St	(0, 1) 
W 34 St & 11 Ave	(0, 1) 
E 6 St & Avenue B	(0, 4) 
2 Ave & E 72 St	(3, 2) 
E 97 St & 3 Ave	(0, 1) 
W 22 St & 10 Ave	(2, 2) 
W 26 St & 8 Ave	(1, 4) 
6 Ave & Broome St	(2, 0) 
8 Ave & W 52 St	(3, 2) 
Broadway & W 51 St	(0, 1) 
1 Ave & E 44 St	(0, 1) 
W 24 St & 7 Ave	(4, 6) 
Fulton St & Waverly Ave	(0, 1) 
Avenue C & E 18 St	(2, 0) 
W 53 St & 10 Ave	(0, 2) 
1 Ave & E 18 St	(81, 80) 
E 15 St & 3 Ave	(7, 3) 
Union Ave & N 12 St	(2, 2) 
Riverside Dr & W 72 St	(2, 2) 
W 20 St & 7 Ave	(6, 2) 
Pershing Square North	(1, 3) 
Clinton St & Joralemon St	(0, 1) 
W 33 St & 7 Ave	(1, 2) 
2 Ave & E 96 St	(0, 1) 
E 43 St & 5 Ave	(0, 1) 
Bayard St & Leonard St	(1, 1) 
Hudson St & Reade St	(2, 3) 
Market St & Cherry St	(0, 1) 
Dean St & Hoyt St	(0, 1) 
W 67 St & Broadway	(5, 7) 
E 74 St & 1 Ave	(1, 1) 
Metropolitan Ave & Meeker Ave	(2, 3) 
Eastern Pkwy & Washington Ave	(3, 1) 
6 Ave & Canal St	(1, 1) 
Plaza St West & Flatbush Ave	(0, 1) 
W 87 St & Amsterdam Ave	(0, 1) 
E 78 St & 2 Ave	(6, 0) 
W 88 St & West End Ave	(1, 0) 
Franklin Ave & Myrtle Ave	(1, 1) 
W 27 St & 7 Ave	(1, 1) 
W 15 St & 6 Ave	(1, 4) 
Franklin St & W Broadway	(3, 2) 
Grand Army Plaza & Central Park S	(2, 1) 
E 30 St & Park Ave S	(1, 1) 
Lexington Ave & E 63 St	(2, 1) 
Carlton Ave & Flushing Ave	(1, 1) 
