Washington Park	(0, 2) 
Vernon Blvd & 31 Ave	(1, 1) 
Grand Army Plaza & Plaza St West	(4, 8) 
Wyckoff Av & Jefferson St	(3, 2) 
Amsterdam Ave & W 79 St	(1, 4) 
Carroll St & 6 Ave	(3, 8) 
Van Brunt St & Wolcott St	(0, 1) 
Cumberland St & Lafayette Ave	(4, 3) 
Reade St & Broadway	(6, 10) 
Classon Ave & St Marks Ave	(66, 62) 
Frederick Douglass Blvd & W 117 St	(3, 1) 
Fulton St & Adams St	(137, 138) 
W 52 St & 6 Ave	(18, 16) 
India St & Manhattan Ave	(2, 6) 
St Marks Pl & 1 Ave	(11, 11) 
Bedford Ave & S 9 St	(1, 1) 
Riverside Dr & W 82 St	(78, 78) 
E 72 St & York Ave	(8, 7) 
Washington Ave & Park Ave	(1, 1) 
Bayard St & Baxter St	(2, 19) 
Riverside Dr & W 78 St	(7, 4) 
Banker St & Meserole Ave	(3, 3) 
Lenox Ave & W 111 St	(0, 2) 
Fulton St & Rockwell Pl	(4, 1) 
21 St & 43 Ave	(0, 1) 
Henry St & Degraw St	(2, 2) 
Stanton St & Chrystie St	(13, 9) 
49 Ave & 21 St	(1, 0) 
Park Pl & Church St	(8, 8) 
7 St & 3 Ave	(0, 1) 
Henry St & Grand St	(6, 8) 
Forsyth St & Canal St	(10, 6) 
E 72 St & Park Ave	(2, 2) 
W 78 St & Broadway	(5, 2) 
E 27 St & 1 Ave	(12, 14) 
St James Pl & Pearl St	(5, 0) 
DeKalb Ave & S Portland Ave	(3, 4) 
Carlton Ave & Dean St	(1, 2) 
Pearl St & Anchorage Pl	(3, 4) 
Leonard St & Boerum St	(2, 1) 
Pioneer St & Van Brunt St	(2, 0) 
N 6 St & Bedford Ave	(180, 181) 
Broadway & E 22 St	(26, 24) 
Park Pl & Vanderbilt Ave	(4, 5) 
Stanton St & Norfolk St	(15, 5) 
W 82 St & Central Park West	(7, 2) 
Morningside Ave & W 123 St	(0, 3) 
W 107 St & Columbus Ave	(2, 0) 
Union St & Nevins St	(2, 1) 
5 Ave & 3 St	(1, 4) 
Columbia Heights & Cranberry St	(0, 6) 
Broad St & Bridge St	(66, 67) 
West End Ave & W 107 St	(3, 3) 
9 St & 44 Rd	(1, 1) 
E 88 St & Park Ave	(3, 1) 
Amsterdam Ave & W 73 St	(7, 11) 
Spruce St & Nassau St	(12, 13) 
Howard St & Centre St	(209, 211) 
E 13 St & Avenue A	(15, 8) 
Cadman Plaza E & Johnson St	(3, 3) 
Broadway & W 38 St	(10, 6) 
Lexington Ave & E 36 St	(4, 2) 
E 32 St & Park Ave	(11, 17) 
Water - Whitehall Plaza	(5, 7) 
E 81 St & Park Ave	(2, 2) 
Lexington Ave & Classon Ave	(2, 5) 
Clinton St & Union St	(5, 3) 
W 95 St & Broadway	(7, 0) 
Norfolk St & Broome St	(10, 11) 
E 106 St & Madison Ave	(0, 2) 
W 52 St & 5 Ave	(12, 9) 
Carlton Ave & Park Ave	(2, 2) 
Clinton St & 4 Place	(1, 2) 
Bank St & Hudson St	(128, 137) 
W 106 St & Amsterdam Ave	(1, 0) 
President St & Henry St	(2, 2) 
W 100 St & Broadway	(4, 4) 
Riverside Dr & W 104 St	(5, 3) 
W 37 St & 5 Ave	(5, 11) 
6 Ave & 9 St	(1, 0) 
Soissons Landing	(0, 1) 
E 47 St & 2 Ave	(11, 11) 
Washington Pl & Broadway	(7, 2) 
Lenox Ave & W 126 St	(0, 1) 
Central Park West & W 72 St	(3, 4) 
E 114 St & 1 Ave	(1, 2) 
South End Ave & Liberty St	(20, 19) 
E 12 St & 4 Av	(5, 7) 
E 58 St & 1 Ave (NE Corner)	(2, 1) 
Greenwich Ave & 8 Ave	(11, 10) 
E 53 St & Madison Ave	(15, 10) 
Broadway & W 49 St	(9, 11) 
Bond St & Fulton St	(8, 10) 
9 Ave & W 18 St	(7, 12) 
Mercer St & Spring St	(16, 16) 
Pike St & Monroe St	(4, 4) 
Cadman Plaza West & Montague St	(3, 3) 
W 20 St & 11 Ave	(9, 33) 
Berry St & N 8 St	(2, 3) 
Perry St & Bleecker St	(4, 9) 
5 Ave & E 73 St	(4, 5) 
Central Park North & Adam Clayton Powell Blvd	(8, 2) 
E 45 St & 3 Ave	(8, 12) 
Eastern Pkwy & Franklin Ave	(13, 3) 
W 17 St & 8 Ave	(16, 10) 
E 52 St & 2 Ave	(9, 6) 
MacDougal St & Washington Sq	(5, 4) 
S 4 St & Wythe Ave	(15, 22) 
E 82 St & East End Ave	(6, 2) 
19 St & 24 Ave	(1, 0) 
E 24 St & Park Ave S	(10, 14) 
Old Slip & Front St	(15, 9) 
Center Blvd & 48 Ave	(10, 10) 
Clermont Ave & Park Ave	(1, 2) 
Clermont Ave & Lafayette Ave	(1, 0) 
E 89 St & 3 Ave	(0, 2) 
Knickerbocker Ave & George St	(1, 0) 
Willoughby Ave & Wyckoff Ave	(1, 1) 
E 47 St & Park Ave	(12, 18) 
Jackson St & Leonard St	(0, 4) 
E 7 St & Avenue A	(14, 19) 
McGuinness Blvd & Eagle St	(25, 20) 
Columbia St & Rivington St	(3, 3) 
Allen St & Rivington St	(16, 8) 
Graham Ave & Grand St	(2, 2) 
Central Park West & W 100 St	(4, 2) 
Mt Morris Park W & W 120 St	(0, 1) 
E 118 St & 3 Ave	(2, 0) 
Hope St & Union Ave	(6, 0) 
Willoughby St & Fleet St	(13, 18) 
E 66 St & Madison Ave	(0, 1) 
Catherine St & Monroe St	(5, 4) 
Kane St & Clinton St	(1, 3) 
W 45 St & 6 Ave	(11, 11) 
Park Ave & St Edwards St	(0, 2) 
2 Ave & E 31 St	(7, 10) 
Jay St & Tech Pl	(3, 6) 
Boerum St & Broadway	(0, 1) 
10 St & 5 Ave	(0, 1) 
Garfield Pl & 8 Ave	(2, 2) 
Rivington St & Chrystie St	(10, 10) 
Lewis Ave & Kosciuszko St	(2, 1) 
Flushing Ave & Vanderbilt Ave	(3, 2) 
Riverside Dr & W 91 St	(4, 3) 
11 Ave & W 27 St	(22, 13) 
E 6 St & Avenue D	(7, 9) 
Berkeley Pl & 7 Ave	(6, 6) 
E 84 St & Park Ave	(3, 4) 
3 Ave & E 72 St	(3, 1) 
Prospect Pl & Underhill Ave	(3, 2) 
Fulton St & Clermont Ave	(7, 1) 
E 84 St & 1 Ave	(6, 12) 
E 51 St & Lexington Ave	(132, 134) 
W 15 St & 10 Ave	(214, 214) 
Union St & Bedford Ave	(1, 0) 
Gansevoort St & Hudson St	(6, 7) 
Wythe Ave & Metropolitan Ave	(17, 14) 
E 2 St & Avenue A	(14, 10) 
Bedford Ave & Nassau Ave	(3, 4) 
West Thames St	(11, 19) 
Bond St & Bergen St	(3, 2) 
E 84 St & 3 Ave	(7, 8) 
Amsterdam Ave & W 125 St	(1, 1) 
Jackson Ave & 46 Rd	(1, 0) 
48 Ave & 5 St	(2, 2) 
Carroll St & 5 Ave	(0, 2) 
Lispenard St & Broadway	(186, 188) 
Nassau Ave & Russell St	(2, 4) 
Halsey St & Tompkins Ave	(3, 1) 
Madison Ave & E 82 St	(1, 5) 
Devoe St & Lorimer St	(3, 1) 
W 47 St & 10 Ave	(10, 6) 
Front St & Washington St	(12, 15) 
Lenox Ave & W 115 St	(1, 0) 
Sterling Pl & Bedford Ave	(0, 1) 
Frederick Douglass Blvd & W 112 St	(0, 2) 
Washington Pl & 6 Ave	(8, 1) 
Broadway & W 37 St	(12, 8) 
W 26 St & 10 Ave	(10, 6) 
2 Ave & E 99 St	(1, 0) 
E 81 St & York Ave	(82, 78) 
N 15 St & Wythe Ave	(3, 5) 
12 St & 4 Ave	(1, 0) 
Fulton St & Broadway	(13, 7) 
Hanson Pl & Ashland Pl	(7, 5) 
Cadman Plaza E & Red Cross Pl	(4, 6) 
Meserole Ave & Manhattan Ave	(4, 8) 
Henry St & Middagh St	(1, 0) 
Queens Plaza North & Crescent St	(1, 1) 
Prospect Park West & 8 St	(5, 3) 
E 68 St & 3 Ave	(3, 5) 
Greenpoint Ave & Manhattan Ave	(2, 7) 
Central Ave & Flushing Ave	(1, 0) 
E 89 St & York Ave	(8, 4) 
E 102 St & 1 Ave	(1, 0) 
Vernon Blvd & 47 Rd	(0, 1) 
11 Ave & W 59 St	(6, 12) 
Front St & Maiden Ln	(11, 7) 
E 16 St & Irving Pl	(5, 3) 
Lenox Ave & W 130 St	(1, 2) 
W 59 St & 10 Ave	(3, 6) 
W 45 St & 8 Ave	(2, 9) 
E 19 St & 3 Ave	(3, 10) 
