W 34 St & 11 Ave	(20, 12)
1 Ave & E 16 St	(23, 20)
Watts St & Greenwich St	(17, 8)
E 60 St & York Ave	(2, 2)
Pier 40 - Hudson River Park	(21, 14)
E 81 St & 3 Ave	(4, 3)
Hudson St & Reade St	(12, 10)
E 39 St & 2 Ave	(7, 10)
W 84 St & Broadway	(5, 9)
Washington Pl & Broadway	(6, 8)
E 6 St & Avenue B	(6, 10)
Leonard St & Church St	(8, 5)
E 88 St & Park Ave	(1, 1)
W 52 St & 11 Ave	(6, 8)
W 20 St & 11 Ave	(12, 19)
E 43 St & 5 Ave	(8, 4)
MacDougal St & Washington Sq	(4, 3)
W 56 St & 10 Ave	(4, 7)
Lafayette St & E 8 St	(11, 13)
W 53 St & 10 Ave	(4, 5)
Broadway & E 22 St	(28, 19)
John St & William St	(6, 2)
Amsterdam Ave & W 73 St	(8, 12)
E 13 St & Avenue A	(12, 11)
11 Ave & W 41 St	(6, 11)
Washington Pl & 6 Ave	(9, 9)
Forsyth St & Broome St	(11, 12)
E 53 St & Madison Ave	(6, 9)
E 51 St & 1 Ave	(5, 4)
Great Jones St	(20, 28)
E 48 St & 3 Ave	(2, 3)
E 15 St & 3 Ave	(10, 12)
Bergen St & Vanderbilt Ave	(4, 6)
W 52 St & 5 Ave	(6, 4)
Lafayette Ave & Classon Ave	(1, 5)
W 33 St & 7 Ave	(12, 10)
W 18 St & 6 Ave	(10, 7)
Henry St & Degraw St	(2, 4)
West Thames St	(13, 15)
Jay St & Tech Pl	(4, 7)
Barrow St & Hudson St	(15, 12)
Perry St & Bleecker St	(8, 12)
N 11 St & Kent Ave	(3, 4)
E 30 St & Park Ave S	(9, 6)
Lexington Ave & E 36 St	(4, 5)
W 42 St & Dyer Ave	(6, 3)
2 Ave & E 72 St	(6, 13)
Metropolitan Ave & Bedford Ave	(4, 1)
W 17 St & 8 Ave	(10, 10)
W 44 St & 5 Ave	(5, 5)
India St & West St	(2, 4)
South St & Gouverneur Ln	(9, 13)
Riverside Blvd & W 67 St	(2, 6)
FDR Drive & E 35 St	(13, 6)
E 84 St & 3 Ave	(16, 6)
