Prospect Pl & Underhill Ave	(2, 0) 
E 84 St & 1 Ave	(5, 3) 
E 51 St & Lexington Ave	(42, 41) 
W 15 St & 10 Ave	(156, 160) 
Union St & Bedford Ave	(1, 3) 
Gansevoort St & Hudson St	(8, 8) 
Wythe Ave & Metropolitan Ave	(11, 11) 
E 2 St & Avenue A	(10, 8) 
Bedford Ave & Nassau Ave	(6, 4) 
West Thames St	(24, 21) 
Bond St & Bergen St	(1, 3) 
E 84 St & 3 Ave	(8, 8) 
Jackson Ave & 46 Rd	(3, 3) 
48 Ave & 5 St	(1, 0) 
Carroll St & 5 Ave	(3, 0) 
Lispenard St & Broadway	(105, 119) 
Nassau Ave & Russell St	(2, 5) 
Madison Ave & E 82 St	(3, 6) 
Lenox Ave & W 115 St	(1, 1) 
W 47 St & 10 Ave	(10, 9) 
Front St & Washington St	(1, 2) 
Halsey St & Tompkins Ave	(1, 1) 
Sterling Pl & Bedford Ave	(3, 2) 
Devoe St & Lorimer St	(0, 2) 
Frederick Douglass Blvd & W 112 St	(1, 0) 
Washington Pl & 6 Ave	(6, 5) 
Broadway & W 37 St	(9, 6) 
W 26 St & 10 Ave	(5, 6) 
2 Ave & E 99 St	(2, 0) 
E 81 St & York Ave	(44, 49) 
12 St & 4 Ave	(0, 2) 
Fulton St & Broadway	(7, 9) 
Hanson Pl & Ashland Pl	(2, 3) 
Cadman Plaza E & Red Cross Pl	(1, 5) 
Meserole Ave & Manhattan Ave	(5, 3) 
Henry St & Middagh St	(2, 0) 
Putnam Ave & Throop Ave	(1, 0) 
Queens Plaza North & Crescent St	(2, 1) 
Prospect Park West & 8 St	(2, 3) 
E 68 St & 3 Ave	(2, 1) 
Greenpoint Ave & Manhattan Ave	(4, 6) 
Central Ave & Flushing Ave	(1, 2) 
E 89 St & York Ave	(4, 7) 
Vernon Blvd & 47 Rd	(1, 3) 
E 102 St & 1 Ave	(0, 4) 
11 Ave & W 59 St	(3, 9) 
Front St & Maiden Ln	(4, 5) 
E 16 St & Irving Pl	(3, 1) 
Lenox Ave & W 130 St	(0, 1) 
W 59 St & 10 Ave	(5, 4) 
W 45 St & 8 Ave	(8, 4) 
E 19 St & 3 Ave	(0, 3) 
Bank St & Washington St	(12, 9) 
Central Park S & 6 Ave	(11, 6) 
3 St & 7 Ave	(55, 47) 
Fulton St & William St	(4, 6) 
Laight St & Hudson St	(1, 1) 
E 43 St & 2 Ave	(1, 2) 
Monroe St & Classon Ave	(0, 2) 
1 Ave & E 16 St	(13, 13) 
Douglass St & 3 Ave	(2, 3) 
Grand St & Elizabeth St	(13, 11) 
Milton St & Franklin St	(5, 3) 
Barrow St & Hudson St	(15, 9) 
Nassau St & Navy St	(0, 2) 
Columbia St & Kane St	(0, 2) 
W 50 St & 9 Ave	(5, 5) 
Peck Slip & Front St	(13, 8) 
7 Ave & Central Park South	(0, 3) 
5 Ave & E 29 St	(5, 5) 
Leonard St & Church St	(9, 2) 
West St & Chambers St	(20, 8) 
45 Rd & 11 St	(2, 1) 
E 2 St & Avenue B	(6, 7) 
Roebling St & N 4 St	(1, 3) 
W 31 St & 7 Ave	(22, 8) 
Lexington Ave & E 127 St	(0, 1) 
8 Ave & W 33 St	(13, 12) 
Cleveland Pl & Spring St	(18, 19) 
Duane St & Greenwich St	(6, 4) 
E 31 St & 3 Ave	(6, 3) 
W 43 St & 6 Ave	(4, 2) 
Division St & Bowery	(9, 8) 
Clinton Ave & Myrtle Ave	(99, 91) 
W 63 St & Broadway	(3, 4) 
Central Park West & W 68 St	(0, 4) 
E 39 St & 2 Ave	(7, 10) 
Columbus Ave & W 95 St	(3, 5) 
Graham Ave & Withers St	(2, 0) 
E 67 St & Park Ave	(1, 0) 
S Portland Ave & Hanson Pl	(3, 2) 
White St & Johnson Ave	(1, 2) 
Park Ave & Marcus Garvey Blvd	(2, 1) 
Bialystoker Pl & Delancey St	(5, 3) 
E 47 St & 1 Ave	(1, 0) 
1 Ave & E 68 St	(10, 5) 
Columbia St & Lorraine St	(1, 0) 
E 48 St & 5 Ave	(3, 5) 
South St & Whitehall St	(5, 4) 
Broadway & W 41 St	(6, 3) 
W 42 St & 8 Ave	(11, 7) 
Broadway & Roebling St	(2, 2) 
Jay St & York St	(6, 4) 
2 Ave & E 122 St	(1, 0) 
Lexington Ave & E 26 St	(4, 6) 
Willoughby Ave & Tompkins Ave	(1, 1) 
E 25 St & 1 Ave	(5, 5) 
E 93 St & 2 Ave	(1, 0) 
University Pl & E 8 St	(2, 4) 
Warren St & Court St	(1, 0) 
St James Pl & Oliver St	(5, 4) 
Knickerbocker Ave & Thames St	(0, 1) 
Lafayette St & Jersey St	(13, 16) 
McKibbin St & Bogart St	(2, 1) 
W Broadway & Spring Street	(9, 11) 
Schermerhorn St & Court St	(0, 2) 
Division Ave & Marcy Ave	(0, 1) 
3 St & Prospect Park West	(4, 6) 
Myrtle Ave & Lewis Ave	(3, 2) 
Court St & Nelson St	(2, 0) 
W 120 St & Claremont Ave	(0, 4) 
Franklin St & Dupont St	(1, 3) 
McKibbin St & Manhattan Ave	(1, 0) 
Monroe St & Bedford Ave	(0, 1) 
W 129 St & Convent Ave	(0, 1) 
5 Ave & E 78 St	(2, 5) 
E 110 St & Madison Ave	(1, 1) 
Carroll St & Smith St	(1, 0) 
Macon St & Nostrand Ave	(2, 0) 
W 52 St & 11 Ave	(3, 7) 
North Moore St & Greenwich St	(13, 11) 
Broadway & Berry St	(8, 1) 
W 27 St & 10 Ave	(7, 4) 
W 41 St & 8 Ave	(6, 3) 
Bushwick Ave & Powers St	(2, 3) 
W 34 St & 11 Ave	(7, 13) 
E 6 St & Avenue B	(7, 1) 
2 Ave & E 72 St	(7, 8) 
Myrtle Ave & Marcy Ave	(1, 0) 
W 22 St & 10 Ave	(10, 12) 
W 26 St & 8 Ave	(9, 9) 
6 Ave & Broome St	(16, 12) 
8 Ave & W 52 St	(3, 5) 
11 St & 43 Ave	(1, 0) 
Broadway & W 51 St	(1, 1) 
W 84 St & Broadway	(2, 3) 
Cathedral Pkwy & Broadway	(2, 0) 
1 Ave & E 44 St	(1, 2) 
W 24 St & 7 Ave	(10, 6) 
Fulton St & Waverly Ave	(1, 2) 
Avenue C & E 18 St	(5, 3) 
W 53 St & 10 Ave	(6, 3) 
Stanton St & Mangin St	(3, 2) 
1 Ave & E 18 St	(180, 164) 
University Pl & E 14 St	(4, 6) 
E 15 St & 3 Ave	(8, 8) 
Bus Slip & State St	(9, 4) 
Union Ave & N 12 St	(4, 5) 
Riverside Dr & W 72 St	(4, 3) 
W 20 St & 7 Ave	(5, 9) 
Emerson Pl & Myrtle Ave	(2, 2) 
Pershing Square North	(5, 10) 
Clinton St & Joralemon St	(2, 0) 
W 33 St & 7 Ave	(14, 6) 
Hancock St & Bedford Ave	(1, 1) 
2 Ave & E 96 St	(2, 1) 
E 43 St & 5 Ave	(4, 1) 
Bayard St & Leonard St	(1, 2) 
Hudson St & Reade St	(6, 7) 
E 106 St & Lexington Ave	(0, 1) 
Market St & Cherry St	(3, 1) 
47 Ave & 31 St	(1, 0) 
Dean St & Hoyt St	(0, 1) 
E 74 St & 1 Ave	(4, 3) 
W 67 St & Broadway	(5, 3) 
Metropolitan Ave & Meeker Ave	(5, 2) 
Degraw St & Hoyt St	(0, 1) 
Eastern Pkwy & Washington Ave	(6, 0) 
6 Ave & Canal St	(11, 8) 
Plaza St West & Flatbush Ave	(3, 2) 
3 Ave & Carroll St	(0, 5) 
W 87 St & Amsterdam Ave	(1, 4) 
31 Ave & 30 St	(1, 0) 
India St & West St	(1, 3) 
W 88 St & West End Ave	(5, 5) 
E 78 St & 2 Ave	(1, 2) 
Franklin Ave & Myrtle Ave	(0, 1) 
W 27 St & 7 Ave	(7, 4) 
W 15 St & 6 Ave	(12, 8) 
Franklin St & W Broadway	(5, 5) 
Van Brunt St & Van Dyke St	(1, 2) 
Greene Av & Myrtle Av	(0, 1) 
Grand Army Plaza & Central Park S	(5, 6) 
E 109 St & 3 Ave	(0, 1) 
E 30 St & Park Ave S	(1, 3) 
Kent Ave & S 11 St	(2, 5) 
Vernon Blvd & 30 Rd	(0, 2) 
Lexington Ave & E 63 St	(3, 6) 
Driggs Ave & Lorimer St	(2, 0) 
Dock 72 Way & Market St	(0, 4) 
Adam Clayton Powell Blvd & W 123 St	(2, 0) 
Pacific St & Classon Ave	(1, 0) 
Hicks St & Montague St	(5, 7) 
Carlton Ave & Flushing Ave	(2, 2) 
Washington Ave & Greene Ave	(3, 4) 
W 38 St & 8 Ave	(4, 10) 
W 84 St & Columbus Ave	(1, 0) 
S 3 St & Bedford Ave	(5, 7) 
Douglass St & 4 Ave	(1, 1) 
Underhill Ave & Pacific St	(26, 25) 
Pioneer St & Richards St	(0, 1) 
East End Ave & E 86 St	(1, 3) 
Sharon St & Olive St	(1, 4) 
Frederick Douglass Blvd & W 129 St	(1, 0) 
Cooper Square & Astor Pl	(12, 7) 
Clinton St & Grand St	(14, 11) 
Atlantic Ave & Fort Greene Pl	(3, 4) 
E 20 St & FDR Drive	(5, 14) 
Lincoln Pl & Classon Ave	(2, 4) 
Lafayette Ave & Classon Ave	(3, 3) 
7 Ave & Park Pl	(2, 2) 
1 Ave & E 78 St	(142, 131) 
E 41 St & Madison Ave	(7, 2) 
36 Ave & 10 St	(0, 3) 
Huron St & Franklin St	(3, 7) 
Pacific St & Nevins St	(2, 0) 
E 20 St & Park Ave	(8, 3) 
W 42 St & Dyer Ave	(3, 1) 
Lafayette Ave & St James Pl	(1, 2) 
E 65 St & 2 Ave	(2, 4) 
Duffield St & Willoughby St	(1, 1) 
E 81 St & 3 Ave	(2, 3) 
Maiden Ln & Pearl St	(1, 5) 
John St & William St	(3, 4) 
10 St & 7 Ave	(2, 2) 
Murray St & West St	(102, 136) 
9 Ave & W 28 St	(10, 3) 
W 104 St & Amsterdam Ave	(1, 1) 
9 Ave & W 45 St	(3, 7) 
W 43 St & 10 Ave	(140, 134) 
Cliff St & Fulton St	(5, 6) 
E 2 St & Avenue C	(85, 89) 
Pleasant Ave & E 116 St	(2, 1) 
Stockholm St & Wilson Ave	(2, 0) 
Kosciuszko St & Tompkins Ave	(1, 0) 
Centre St & Chambers St	(6, 8) 
Stagg St & Union Ave	(3, 4) 
Union Ave & Jackson St	(0, 1) 
1 Ave & E 62 St	(12, 11) 
Myrtle Ave & St Edwards St	(1, 2) 
44 Dr & Jackson Ave	(4, 2) 
28 St & 38 Ave	(1, 0) 
Berkeley Pl & 6 Ave	(1, 1) 
Eckford St & Engert Ave	(0, 1) 
E 12 St & 3 Ave	(7, 7) 
Division Av & Hooper St	(2, 1) 
Degraw St & Smith St	(4, 0) 
Pier 40 - Hudson River Park	(27, 27) 
Lafayette St & E 8 St	(10, 9) 
4 Ave & 9 St	(1, 1) 
Forsyth St & Broome St	(11, 9) 
Nassau Ave & Newell St	(2, 2) 
Cherry St	(4, 4) 
Mercer St & Bleecker St	(2, 10) 
5 Ave & E 63 St	(2, 8) 
E 39 St & 3 Ave	(1, 2) 
W 20 St & 8 Ave	(7, 8) 
Murray St & Greenwich St	(14, 11) 
W 16 St & The High Line	(5, 17) 
Suffolk St & Stanton St	(111, 111) 
14 St & 5 Ave	(2, 2) 
Columbia St & W 9 St	(0, 1) 
E 2 St & 2 Ave	(15, 9) 
27 St & Hunter St	(2, 0) 
Clinton Ave & Flushing Ave	(4, 2) 
Johnson St & Gold St	(8, 6) 
W 35 St & Dyer Ave	(3, 5) 
Little West St & 1 Pl	(27, 15) 
Pershing Square South	(5, 3) 
Schermerhorn St & Bond St	(5, 2) 
Greene Ave & Nostrand Ave	(0, 1) 
Willoughby Ave & Walworth St	(2, 0) 
Greenwich St & W Houston St	(11, 6) 
E 25 St & 2 Ave	(12, 10) 
3 Ave & E 62 St	(3, 0) 
Liberty St & Broadway	(5, 6) 
Central Park West & W 102 St	(1, 0) 
E 11 St & Avenue B	(5, 3) 
South St & Gouverneur Ln	(19, 11) 
Columbia St & Degraw St	(2, 1) 
37 Ave & 35 St	(1, 0) 
W 13 St & 7 Ave	(8, 1) 
Avenue D & E 12 St	(1, 1) 
E 23 St & 1 Ave	(109, 126) 
W 25 St & 6 Ave	(8, 7) 
Ditmars Blvd & 19 St	(0, 1) 
E 11 St & 1 Ave	(182, 186) 
W 4 St & 7 Ave S	(18, 24) 
FDR Drive & E 35 St	(9, 8) 
Butler St & Court St	(0, 2) 
E 10 St & Avenue A	(7, 5) 
Tompkins Ave & Hopkins St	(0, 1) 
Avenue D & E 8 St	(3, 5) 
Adam Clayton Powell Blvd & W 118 St	(0, 6) 
Central Park W & W 96 St	(0, 3) 
Adelphi St & Myrtle Ave	(2, 7) 
Vernon Blvd & 41 Rd	(1, 0) 
Graham Ave & Conselyea St	(1, 5) 
Putnam Ave & Nostrand Ave	(1, 0) 
Fulton St & Grand Ave	(4, 0) 
E 59 St & Madison Ave	(71, 78) 
W 37 St & 10 Ave	(6, 4) 
Madison St & Montgomery St	(3, 3) 
Grand St & Havemeyer St	(3, 2) 
Willoughby Ave & Hall St	(1, 2) 
Grand Ave & Bergen St	(1, 0) 
Dean St & 4 Ave	(0, 3) 
E 9 St & Avenue C	(8, 5) 
6 Ave & 12 St	(3, 2) 
Amsterdam Ave & W 66 St	(2, 4) 
Christopher St & Greenwich St	(16, 21) 
1 Ave & E 30 St	(10, 6) 
Broadway & W 25 St	(10, 9) 
W 11 St & 6 Ave	(6, 2) 
46 Ave & 5 St	(14, 8) 
28 St & 41 Ave	(1, 0) 
Carmine St & 6 Ave	(15, 18) 
Henry St & Bay St	(1, 1) 
DeKalb Ave & Hudson Ave	(5, 0) 
Broadway & W 53 St	(5, 2) 
Harrison St & Hudson St	(2, 0) 
2 Ave & E 104 St	(1, 0) 
Metropolitan Ave & Bedford Ave	(1, 2) 
Verona Pl & Fulton St	(0, 3) 
White St & Moore St	(1, 0) 
Pike St & E Broadway	(1, 0) 
W 22 St & 8 Ave	(4, 10) 
W 44 St & 5 Ave	(2, 6) 
E 58 St &  1 Ave (NW Corner)	(5, 7) 
Kent Ave & N 7 St	(7, 19) 
