W 22 St & 8 Ave	(9, 9)
E 11 St & 1 Ave	(223, 223)
W 70 St & Amsterdam Ave	(10, 9)
W 64 St & Thelonious Monk Circle	(114, 126)
Lispenard St & Broadway	(188, 186)
Avenue D & E 8 St	(5, 6)
Bank St & Hudson St	(174, 173)
W 38 St & 8 Ave	(16, 15)
E 72 St & York Ave	(9, 9)
E 81 St & York Ave	(89, 74)
Greenwich Ave & Charles St	(5, 11)
Eastern Pkwy & Washington Ave	(4, 2)
Classon Ave & St Marks Ave	(51, 43)
W 42 St & 8 Ave	(15, 15)
E 48 St & 3 Ave	(6, 5)
Greenpoint Ave & Manhattan Ave	(9, 9)
Vernon Blvd & 50 Ave	(107, 107)
Mott St & Prince St	(17, 13)
48 Ave & 5 St	(1, 2)
Broadway & W 29 St	(17, 11)
W 43 St & 10 Ave	(187, 194)
Fulton St & Adams St	(161, 130)
Bergen St & Smith St	(12, 8)
Howard St & Centre St	(197, 198)
1 Ave & E 16 St	(22, 20)
10 St & 7 Ave	(5, 2)
3 St & 7 Ave	(58, 57)
1 Ave & E 18 St	(223, 221)
E 20 St & FDR Drive	(16, 18)
Clinton Ave & Myrtle Ave	(120, 115)
Jay St & York St	(11, 10)
2 Ave & E 31 St	(9, 6)
Dean St & Franklin Ave	(1, 1)
Vernon Blvd & 41 Rd	(2, 1)
Suydam St & Knickerbocker Ave	(0, 2)
Little West St & 1 Pl	(35, 30)
11 Ave & W 27 St	(14, 14)
E 59 St & Madison Ave	(131, 131)
31 Ave & Steinway St	(1, 1)
N 12 St & Bedford Ave	(2, 4)
Myrtle Ave & Lewis Ave	(0, 1)
S 3 St & Bedford Ave	(12, 3)
N 6 St & Bedford Ave	(173, 184)
E 2 St & Avenue B	(16, 16)
W 53 St & 10 Ave	(3, 7)
Eckford St & Engert Ave	(1, 1)
Underhill Ave & Pacific St	(34, 36)
E 27 St & 1 Ave	(4, 12)
Grand Ave & Bergen St	(2, 2)
Adelphi St & Myrtle Ave	(6, 5)
E 74 St & 1 Ave	(8, 7)
1 Ave & E 62 St	(11, 13)
Clermont Ave & Park Ave	(2, 3)
Bedford Ave & Nassau Ave	(4, 10)
Leonard St & Nassau Ave	(0, 5)
E 30 St & Park Ave S	(6, 4)
Suffolk St & Stanton St	(175, 170)
Duane St & Greenwich St	(10, 5)
Murray St & West St	(147, 149)
Prospect Pl & 6 Ave	(4, 4)
Montgomery St & Franklin Ave	(0, 1)
1 Ave & E 78 St	(200, 182)
E 77 St & 3 Ave	(12, 9)
E 23 St & 1 Ave	(220, 222)
FDR Drive & E 35 St	(10, 7)
Cooper Square & Astor Pl	(14, 17)
W 20 St & 8 Ave	(11, 5)
Stanton St & Norfolk St	(13, 7)
W 15 St & 10 Ave	(213, 219)
W 106 St & Amsterdam Ave	(0, 1)
MacDougal St & Washington Sq	(11, 4)
Pershing Square North	(32, 18)
Frederick Douglass Blvd & W 112 St	(1, 2)
W 54 St & 9 Ave	(6, 2)
West St & Chambers St	(28, 29)
W 18 St & 9 Ave	(2, 0)
E 10 St & Avenue A	(14, 16)
Barrow St & Hudson St	(11, 15)
Washington St & Gansevoort St	(28, 23)
11 Ave & W 41 St	(10, 7)
E 51 St & Lexington Ave	(127, 129)
DeKalb Ave & S Portland Ave	(1, 1)
Forsyth St & Broome St	(6, 11)
E 6 St & Avenue B	(8, 12)
W 15 St & 7 Ave	(13, 14)
Lexington Ave & E 29 St	(8, 8)
6 Ave & Broome St	(17, 7)
Vesey Pl & River Terrace	(329, 334)
Van Brunt St & Van Dyke St	(1, 3)
E 4 St & 2 Ave	(14, 12)
W 41 St & 8 Ave	(23, 18)
Murray St & Greenwich St	(17, 12)
Greene Ave & Nostrand Ave	(0, 2)
Franklin Ave & St Marks Ave	(1, 1)
E 97 St & 3 Ave	(1, 1)
W 50 St & 9 Ave	(5, 4)
12 Ave & W 40 St	(31, 46)
Lafayette St & Jersey St	(26, 28)
University Pl & E 14 St	(14, 19)
Gansevoort St & Hudson St	(9, 15)
Washington Pl & 6 Ave	(6, 4)
Bayard St & Leonard St	(3, 3)
9 Ave & W 28 St	(7, 7)
