Washington Park	(2, 0) 
Grand Army Plaza & Plaza St West	(0, 1) 
Wyckoff Av & Jefferson St	(2, 0) 
Amsterdam Ave & W 79 St	(4, 0) 
Van Brunt St & Wolcott St	(1, 2) 
Carroll St & 6 Ave	(2, 2) 
Cumberland St & Lafayette Ave	(3, 1) 
Reade St & Broadway	(9, 8) 
Fulton St & Adams St	(127, 104) 
Classon Ave & St Marks Ave	(35, 43) 
Frederick Douglass Blvd & W 117 St	(0, 1) 
W 52 St & 6 Ave	(7, 13) 
St Nicholas Ave & Manhattan Ave	(0, 1) 
Irving Ave & Jefferson St	(1, 0) 
India St & Manhattan Ave	(4, 10) 
St Marks Pl & 1 Ave	(16, 8) 
Bedford Ave & S 9 St	(5, 2) 
Riverside Dr & W 82 St	(57, 64) 
E 72 St & York Ave	(5, 14) 
Washington Ave & Park Ave	(5, 1) 
Bayard St & Baxter St	(4, 4) 
Riverside Dr & W 78 St	(1, 2) 
Banker St & Meserole Ave	(4, 3) 
Lenox Ave & W 111 St	(0, 1) 
Fulton St & Rockwell Pl	(4, 2) 
21 St & 43 Ave	(1, 0) 
Henry St & Degraw St	(1, 4) 
Stanton St & Chrystie St	(7, 10) 
Park Pl & Church St	(13, 7) 
7 St & 3 Ave	(1, 0) 
Sullivan Pl & Bedford Ave	(1, 0) 
Henry St & Grand St	(7, 5) 
Forsyth St & Canal St	(5, 4) 
E 72 St & Park Ave	(3, 1) 
W 78 St & Broadway	(3, 6) 
E 27 St & 1 Ave	(3, 9) 
28 Ave & 35 St	(1, 0) 
St James Pl & Pearl St	(3, 3) 
DeKalb Ave & S Portland Ave	(4, 1) 
Carlton Ave & Dean St	(2, 1) 
Pearl St & Anchorage Pl	(0, 2) 
Pioneer St & Van Brunt St	(0, 1) 
N 6 St & Bedford Ave	(140, 137) 
Broadway & E 22 St	(30, 25) 
Park Pl & Vanderbilt Ave	(9, 2) 
Stanton St & Norfolk St	(6, 6) 
W 82 St & Central Park West	(2, 4) 
Union St & Nevins St	(1, 0) 
5 Ave & 3 St	(0, 2) 
Broad St & Bridge St	(63, 63) 
West End Ave & W 107 St	(0, 1) 
9 St & 44 Rd	(1, 0) 
E 88 St & Park Ave	(0, 2) 
Amsterdam Ave & W 73 St	(5, 3) 
Broadway & Moylan Pl	(0, 1) 
Lenox Ave & W 117 St	(0, 1) 
Spruce St & Nassau St	(6, 5) 
Howard St & Centre St	(153, 143) 
E 13 St & Avenue A	(9, 5) 
Broadway & Whipple St	(1, 2) 
Cadman Plaza E & Johnson St	(4, 1) 
Broadway & W 38 St	(6, 8) 
Lexington Ave & E 36 St	(5, 8) 
E 32 St & Park Ave	(6, 7) 
Water - Whitehall Plaza	(5, 5) 
Commerce St & Van Brunt St	(1, 0) 
E 81 St & Park Ave	(1, 3) 
5 St & 6 Ave	(1, 4) 
W 95 St & Broadway	(1, 1) 
Clinton St & Union St	(3, 3) 
Norfolk St & Broome St	(5, 8) 
E 106 St & Madison Ave	(0, 1) 
W 52 St & 5 Ave	(14, 11) 
Clinton St & 4 Place	(2, 2) 
Carlton Ave & Park Ave	(1, 1) 
Bank St & Hudson St	(112, 119) 
W 106 St & Amsterdam Ave	(1, 0) 
Clark St & Henry St	(3, 4) 
President St & Henry St	(0, 1) 
W 100 St & Broadway	(3, 2) 
Riverside Dr & W 104 St	(3, 2) 
W 37 St & 5 Ave	(3, 9) 
6 Ave & 9 St	(4, 2) 
E 47 St & 2 Ave	(3, 7) 
Washington Pl & Broadway	(9, 8) 
