Washington Park	(3, 4) 
Vernon Blvd & 10 St	(2, 0) 
Grand Army Plaza & Plaza St West	(4, 5) 
Wyckoff Av & Jefferson St	(1, 1) 
Amsterdam Ave & W 79 St	(4, 2) 
Carroll St & 6 Ave	(2, 1) 
Cumberland St & Lafayette Ave	(6, 3) 
Reade St & Broadway	(4, 9) 
Fulton St & Adams St	(80, 92) 
Classon Ave & St Marks Ave	(46, 45) 
Frederick Douglass Blvd & W 117 St	(2, 0) 
W 52 St & 6 Ave	(1, 1) 
Irving Ave & Jefferson St	(1, 0) 
India St & Manhattan Ave	(12, 10) 
St Marks Pl & 1 Ave	(13, 9) 
Bedford Ave & S 9 St	(2, 0) 
Riverside Dr & W 82 St	(84, 86) 
E 72 St & York Ave	(4, 5) 
Washington Ave & Park Ave	(0, 1) 
Bayard St & Baxter St	(8, 15) 
Riverside Dr & W 78 St	(11, 3) 
Banker St & Meserole Ave	(3, 3) 
Pleasant Ave & E 120 St	(0, 1) 
Lenox Ave & W 111 St	(2, 0) 
Fulton St & Rockwell Pl	(3, 4) 
21 St & 43 Ave	(4, 0) 
Henry St & Degraw St	(3, 5) 
2 Ave & 36 St - Citi Bike HQ at Industry City	(0, 6) 
Stanton St & Chrystie St	(17, 14) 
Park Pl & Church St	(2, 2) 
7 St & 3 Ave	(0, 1) 
Henry St & Grand St	(5, 2) 
Forsyth St & Canal St	(11, 11) 
E 72 St & Park Ave	(1, 5) 
2 Ave & 9 St	(1, 1) 
W 78 St & Broadway	(8, 3) 
E 27 St & 1 Ave	(8, 13) 
28 Ave & 35 St	(0, 1) 
St James Pl & Pearl St	(2, 3) 
Carlton Ave & Dean St	(4, 2) 
DeKalb Ave & S Portland Ave	(1, 2) 
Pearl St & Anchorage Pl	(0, 3) 
Leonard St & Boerum St	(5, 2) 
Pioneer St & Van Brunt St	(1, 1) 
N 6 St & Bedford Ave	(169, 168) 
Broadway & E 22 St	(15, 13) 
Park Pl & Vanderbilt Ave	(6, 1) 
Stanton St & Norfolk St	(8, 9) 
W 82 St & Central Park West	(0, 1) 
W 107 St & Columbus Ave	(0, 1) 
Union St & Nevins St	(1, 1) 
5 Ave & 3 St	(4, 1) 
Broad St & Bridge St	(36, 35) 
West End Ave & W 107 St	(2, 5) 
9 St & 44 Rd	(2, 2) 
E 88 St & Park Ave	(1, 0) 
Amsterdam Ave & W 73 St	(11, 6) 
Broadway & Moylan Pl	(0, 3) 
Lenox Ave & W 117 St	(1, 0) 
E 13 St & Avenue A	(10, 6) 
Howard St & Centre St	(170, 181) 
Spruce St & Nassau St	(5, 10) 
Broadway & Whipple St	(1, 1) 
Cadman Plaza E & Johnson St	(3, 1) 
Broadway & W 38 St	(5, 2) 
Lexington Ave & E 36 St	(4, 10) 
E 32 St & Park Ave	(6, 8) 
Water - Whitehall Plaza	(4, 9) 
31 St & Northern Blvd	(1, 1) 
Devoe St & Morgan Ave	(1, 1) 
Lexington Ave & Classon Ave	(1, 4) 
W 95 St & Broadway	(2, 3) 
Norfolk St & Broome St	(7, 9) 
Clinton St & Union St	(1, 1) 
E 81 St & Park Ave	(1, 1) 
W 52 St & 5 Ave	(5, 3) 
Carlton Ave & Park Ave	(1, 2) 
Bank St & Hudson St	(187, 173) 
Clark St & Henry St	(7, 2) 
W 106 St & Amsterdam Ave	(0, 1) 
Riverside Dr & W 104 St	(5, 3) 
W 37 St & 5 Ave	(1, 2) 
6 Ave & 9 St	(2, 1) 
Lenox Ave & W 126 St	(1, 1) 
E 47 St & 2 Ave	(2, 5) 
Washington Pl & Broadway	(8, 10) 
Central Park West & W 72 St	(2, 10) 
South End Ave & Liberty St	(25, 34) 
E 58 St & 1 Ave (NE Corner)	(2, 4) 
Greenwich Ave & 8 Ave	(8, 12) 
Broadway & W 49 St	(4, 6) 
E 53 St & Madison Ave	(4, 4) 
Bond St & Fulton St	(3, 7) 
Pike St & Monroe St	(8, 5) 
Mercer St & Spring St	(9, 12) 
Cadman Plaza West & Montague St	(0, 2) 
W 20 St & 11 Ave	(32, 32) 
Berry St & N 8 St	(3, 3) 
5 Ave & E 73 St	(8, 6) 
Perry St & Bleecker St	(9, 7) 
Central Park North & Adam Clayton Powell Blvd	(2, 4) 
E 45 St & 3 Ave	(5, 8) 
Eastern Pkwy & Franklin Ave	(2, 0) 
E 52 St & 2 Ave	(7, 6) 
MacDougal St & Washington Sq	(4, 8) 
S 4 St & Wythe Ave	(13, 15) 
E 82 St & East End Ave	(1, 3) 
E 24 St & Park Ave S	(5, 12) 
Old Slip & Front St	(13, 6) 
Center Blvd & 48 Ave	(8, 2) 
Clermont Ave & Park Ave	(1, 1) 
Clermont Ave & Lafayette Ave	(3, 2) 
E 89 St & 3 Ave	(3, 6) 
Union St & 4 Ave	(1, 2) 
Willoughby Ave & Wyckoff Ave	(2, 2) 
E 47 St & Park Ave	(4, 2) 
E 7 St & Avenue A	(13, 13) 
McGuinness Blvd & Eagle St	(7, 11) 
Columbia St & Rivington St	(5, 3) 
Allen St & Rivington St	(16, 23) 
Graham Ave & Grand St	(1, 4) 
Central Park West & W 100 St	(5, 2) 
Mt Morris Park W & W 120 St	(0, 1) 
St. Nicholas Ave & W 126 St	(1, 0) 
E 118 St & 3 Ave	(1, 0) 
Hope St & Union Ave	(2, 0) 
Willoughby St & Fleet St	(5, 13) 
E 66 St & Madison Ave	(0, 2) 
Catherine St & Monroe St	(6, 6) 
Kane St & Clinton St	(0, 2) 
W 45 St & 6 Ave	(6, 8) 
2 Ave & E 31 St	(6, 8) 
Jay St & Tech Pl	(2, 3) 
10 St & 5 Ave	(1, 2) 
Garfield Pl & 8 Ave	(1, 0) 
Rivington St & Chrystie St	(9, 8) 
Lewis Ave & Kosciuszko St	(0, 1) 
Flushing Ave & Vanderbilt Ave	(2, 5) 
W 110 St & Amsterdam Ave	(0, 1) 
Riverside Dr & W 91 St	(4, 4) 
E 6 St & Avenue D	(10, 4) 
Berkeley Pl & 7 Ave	(3, 1) 
E 84 St & Park Ave	(2, 1) 
3 Ave & E 72 St	(1, 1) 
Prospect Pl & Underhill Ave	(3, 1) 
E 84 St & 1 Ave	(4, 6) 
Fulton St & Clermont Ave	(2, 1) 
E 51 St & Lexington Ave	(65, 68) 
W 15 St & 10 Ave	(214, 215) 
Gansevoort St & Hudson St	(4, 7) 
Wythe Ave & Metropolitan Ave	(23, 12) 
E 2 St & Avenue A	(8, 14) 
Bedford Ave & Nassau Ave	(8, 6) 
West Thames St	(25, 26) 
Bond St & Bergen St	(2, 2) 
E 84 St & 3 Ave	(10, 10) 
E 55 St & 3 Ave	(2, 1) 
Jackson Ave & 46 Rd	(1, 2) 
48 Ave & 5 St	(1, 1) 
Carroll St & 5 Ave	(3, 3) 
Lispenard St & Broadway	(108, 137) 
Nassau Ave & Russell St	(1, 7) 
Madison Ave & E 82 St	(5, 4) 
W 47 St & 10 Ave	(8, 2) 
Front St & Washington St	(9, 9) 
Devoe St & Lorimer St	(3, 2) 
Sterling Pl & Bedford Ave	(4, 1) 
Frederick Douglass Blvd & W 112 St	(0, 1) 
Washington Pl & 6 Ave	(5, 4) 
Broadway & W 37 St	(4, 9) 
W 26 St & 10 Ave	(10, 19) 
E 81 St & York Ave	(77, 63) 
N 15 St & Wythe Ave	(4, 5) 
12 St & 4 Ave	(0, 1) 
W 18 St & 9 Ave	(9, 4) 
Fulton St & Broadway	(5, 9) 
Cadman Plaza E & Red Cross Pl	(2, 0) 
Hanson Pl & Ashland Pl	(2, 6) 
Meserole Ave & Manhattan Ave	(3, 14) 
Putnam Ave & Throop Ave	(1, 0) 
Queens Plaza North & Crescent St	(5, 2) 
Prospect Park West & 8 St	(5, 1) 
E 68 St & 3 Ave	(1, 5) 
Central Ave & Flushing Ave	(0, 1) 
E 89 St & York Ave	(4, 6) 
E 102 St & 1 Ave	(3, 2) 
Vernon Blvd & 47 Rd	(0, 2) 
11 Ave & W 59 St	(9, 12) 
Front St & Maiden Ln	(13, 5) 
E 16 St & Irving Pl	(7, 8) 
W 59 St & 10 Ave	(3, 3) 
W 45 St & 8 Ave	(16, 11) 
E 19 St & 3 Ave	(5, 7) 
Bank St & Washington St	(9, 11) 
Central Park S & 6 Ave	(0, 7) 
3 St & 7 Ave	(58, 54) 
Fulton St & William St	(8, 3) 
Laight St & Hudson St	(1, 1) 
E 43 St & 2 Ave	(1, 4) 
1 Ave & E 16 St	(16, 10) 
Douglass St & 3 Ave	(2, 2) 
Grand St & Elizabeth St	(24, 13) 
Milton St & Franklin St	(10, 13) 
E 55 St & 2 Ave	(11, 7) 
Barrow St & Hudson St	(10, 20) 
Nassau St & Navy St	(3, 1) 
Richards St & Delavan St	(0, 1) 
Peck Slip & Front St	(11, 8) 
W 50 St & 9 Ave	(3, 5) 
7 Ave & Central Park South	(7, 3) 
5 Ave & E 29 St	(5, 5) 
Leonard St & Church St	(1, 8) 
West St & Chambers St	(18, 38) 
45 Rd & 11 St	(4, 1) 
E 2 St & Avenue B	(10, 5) 
Roebling St & N 4 St	(0, 4) 
W 31 St & 7 Ave	(11, 10) 
Lewis Ave & Decatur St	(1, 2) 
W 21 St & 6 Ave	(14, 19) 
8 Ave & W 33 St	(9, 15) 
Cleveland Pl & Spring St	(26, 12) 
Duane St & Greenwich St	(7, 5) 
E 31 St & 3 Ave	(7, 11) 
W 43 St & 6 Ave	(10, 5) 
Division St & Bowery	(8, 10) 
Clinton Ave & Myrtle Ave	(112, 93) 
W 63 St & Broadway	(5, 8) 
Central Park West & W 68 St	(8, 8) 
E 39 St & 2 Ave	(6, 13) 
Columbus Ave & W 95 St	(3, 6) 
Graham Ave & Withers St	(6, 3) 
Broadway & 12 St	(1, 0) 
E 67 St & Park Ave	(4, 3) 
S Portland Ave & Hanson Pl	(5, 3) 
Park Ave & Marcus Garvey Blvd	(0, 1) 
Bialystoker Pl & Delancey St	(2, 3) 
E 47 St & 1 Ave	(1, 3) 
1 Ave & E 68 St	(9, 8) 
Suydam St & Knickerbocker Ave	(0, 3) 
E 48 St & 5 Ave	(4, 7) 
Broadway & W 41 St	(9, 5) 
Broadway & Roebling St	(2, 2) 
W 42 St & 8 Ave	(4, 7) 
South St & Whitehall St	(17, 14) 
Jay St & York St	(3, 5) 
2 Ave & E 122 St	(0, 2) 
Lexington Ave & E 26 St	(4, 9) 
Willoughby Ave & Tompkins Ave	(0, 1) 
E 25 St & 1 Ave	(8, 5) 
E 93 St & 2 Ave	(2, 4) 
University Pl & E 8 St	(15, 7) 
Warren St & Court St	(3, 2) 
St James Pl & Oliver St	(5, 5) 
21 St & Queens Plaza North	(1, 0) 
Lafayette St & Jersey St	(9, 15) 
McKibbin St & Bogart St	(2, 1) 
W Broadway & Spring Street	(11, 11) 
Schermerhorn St & Court St	(2, 0) 
Division Ave & Marcy Ave	(0, 1) 
3 St & Prospect Park West	(1, 10) 
Court St & Nelson St	(0, 1) 
Carroll St & Franklin Ave	(5, 5) 
Franklin St & Dupont St	(7, 5) 
McKibbin St & Manhattan Ave	(1, 0) 
Monroe St & Bedford Ave	(1, 6) 
Cedar St & Myrtle Ave	(1, 1) 
5 Ave & E 78 St	(6, 7) 
E 110 St & Madison Ave	(1, 1) 
Carroll St & Smith St	(1, 0) 
Macon St & Nostrand Ave	(1, 0) 
W 52 St & 11 Ave	(11, 9) 
North Moore St & Greenwich St	(18, 20) 
Broadway & Berry St	(7, 6) 
W 27 St & 10 Ave	(8, 19) 
W 41 St & 8 Ave	(15, 10) 
Bushwick Ave & Powers St	(2, 1) 
W 34 St & 11 Ave	(18, 18) 
E 118 St & 1 Ave	(3, 2) 
E 6 St & Avenue B	(10, 9) 
2 Ave & E 72 St	(11, 9) 
Myrtle Ave & Marcy Ave	(0, 1) 
E 97 St & 3 Ave	(2, 4) 
W 22 St & 10 Ave	(12, 6) 
W 26 St & 8 Ave	(8, 9) 
6 Ave & Broome St	(6, 12) 
8 Ave & W 52 St	(7, 8) 
Carroll St & Washington Ave	(0, 2) 
Broadway & W 51 St	(1, 3) 
W 84 St & Broadway	(1, 1) 
Cathedral Pkwy & Broadway	(1, 0) 
1 Ave & E 44 St	(3, 1) 
W 24 St & 7 Ave	(5, 9) 
Fulton St & Waverly Ave	(2, 2) 
Avenue C & E 18 St	(4, 4) 
W 53 St & 10 Ave	(3, 13) 
Stanton St & Mangin St	(12, 6) 
1 Ave & E 18 St	(189, 175) 
E 15 St & 3 Ave	(10, 15) 
Bus Slip & State St	(7, 8) 
Union Ave & N 12 St	(4, 4) 
Riverside Dr & W 72 St	(4, 5) 
