Lispenard St & Broadway	(177, 190)
Allen St & Stanton St	(21, 21)
Wythe Ave & Metropolitan Ave	(14, 17)
Bayard St & Baxter St	(10, 17)
W 16 St & The High Line	(8, 17)
E 89 St & York Ave	(3, 3)
E 11 St & Avenue B	(9, 8)
Peck Slip & Front St	(10, 8)
W 15 St & 6 Ave	(9, 5)
Maiden Ln & Pearl St	(10, 9)
W 52 St & 11 Ave	(5, 10)
E 53 St & Madison Ave	(3, 5)
Reade St & Broadway	(10, 5)
6 Ave & Broome St	(10, 14)
E 7 St & Avenue A	(12, 12)
E 47 St & Park Ave	(20, 25)
E 81 St & 2 Ave	(2, 6)
Forsyth St & Broome St	(13, 17)
Broadway & Berry St	(15, 11)
Monroe St & Bedford Ave	(1, 1)
Central Park West & W 100 St	(2, 3)
W 43 St & 6 Ave	(14, 8)
Bedford Ave & Bergen St	(2, 1)
Washington Pl & Broadway	(11, 11)
W 53 St & 10 Ave	(3, 8)
E 15 St & 3 Ave	(21, 14)
Amsterdam Ave & W 73 St	(14, 7)
E 20 St & 2 Ave	(17, 9)
W 34 St & 11 Ave	(6, 14)
1 Ave & E 30 St	(5, 11)
W 106 St & Central Park West	(2, 2)
Adelphi St & Myrtle Ave	(5, 1)
W 44 St & 5 Ave	(12, 14)
West End Ave & W 107 St	(1, 0)
Rivington St & Ridge St	(4, 5)
Banker St & Meserole Ave	(1, 4)
W 52 St & 5 Ave	(18, 17)
Prospect Pl & Underhill Ave	(5, 3)
Centre St & Chambers St	(6, 11)
Leonard St & Church St	(8, 8)
E 2 St & 2 Ave	(20, 18)
Underhill Ave & Lincoln Pl	(0, 2)
W 52 St & 6 Ave	(19, 7)
Monroe St & Tompkins Ave	(1, 0)
Liberty St & Broadway	(15, 13)
Fulton St & Broadway	(23, 9)
E 78 St & 2 Ave	(4, 4)
Amsterdam Ave & W 79 St	(6, 4)
W 20 St & 7 Ave	(7, 8)
E 2 St & Avenue A	(11, 9)
Willoughby St & Fleet St	(16, 9)
Watts St & Greenwich St	(18, 9)
Clinton St & Joralemon St	(1, 3)
Johnson St & Gold St	(3, 2)
Bergen St & Smith St	(5, 8)
W 18 St & 9 Ave	(7, 3)
Lexington Ave & E 29 St	(5, 8)
E 84 St & 1 Ave	(6, 7)
Franklin St & Dupont St	(7, 13)
FDR Drive & E 35 St	(14, 18)
E 39 St & 2 Ave	(6, 16)
St Marks Pl & 2 Ave	(9, 10)
W 76 St & Columbus Ave	(3, 3)
E 102 St & 1 Ave	(3, 3)
Broadway & Moylan Pl	(2, 1)
Pershing Square North	(19, 22)
E 41 St & Madison Ave	(8, 6)
Carroll St & 5 Ave	(1, 1)
Degraw St & Hoyt St	(2, 1)
W 13 St & 5 Ave	(13, 13)
Concord St & Bridge St	(1, 2)
E 20 St & Park Ave	(21, 9)
Forsyth St & Canal St	(9, 4)
Eastern Pkwy & Franklin Ave	(6, 3)
W 78 St & Broadway	(7, 2)
W 45 St & 6 Ave	(7, 10)
Norfolk St & Broome St	(7, 3)
Broadway & W 51 St	(6, 13)
Lexington Ave & E 26 St	(12, 10)
E 55 St & 2 Ave	(8, 4)
Broadway & E 22 St	(25, 15)
Boerum St & Broadway	(2, 1)
E 48 St & 3 Ave	(12, 7)
E 10 St & Avenue A	(10, 6)
Lenox Ave & W 117 St	(1, 1)
Sullivan St & Washington Sq	(8, 9)
E 97 St & Madison Ave	(5, 4)
Bedford Ave & S 9 St	(9, 3)
Metropolitan Ave & Bedford Ave	(5, 7)
Vernon Blvd & 31 Ave	(2, 2)
11 Ave & W 59 St	(7, 19)
Allen St & Rivington St	(22, 12)
Lafayette Ave & Fort Greene Pl	(3, 1)
W 113 St & Broadway	(0, 2)
E 9 St & Avenue C	(6, 9)
W 63 St & Broadway	(5, 2)
South St & Gouverneur Ln	(18, 6)
Columbia St & Kane St	(2, 4)
Pearl St & Hanover Square	(3, 6)
E 30 St & Park Ave S	(9, 5)
Hicks St & Montague St	(3, 4)
Allen St & Hester St	(13, 6)
W 84 St & Broadway	(3, 2)
Fulton St & William St	(10, 11)
E 20 St & FDR Drive	(21, 23)
Stanton St & Chrystie St	(10, 14)
3 Ave & Schermerhorn St	(2, 2)
Henry St & Atlantic Ave	(4, 5)
W 74 St & Columbus Ave	(1, 0)
E 51 St & 1 Ave	(9, 7)
Frederick Douglass Blvd & W 117 St	(1, 0)
E 81 St & Park Ave	(1, 2)
3 Ave & E 62 St	(3, 9)
Franklin St & W Broadway	(10, 7)
Bus Slip & State St	(9, 12)
W 24 St & 7 Ave	(13, 11)
S 4 St & Wythe Ave	(21, 29)
Atlantic Ave & Fort Greene Pl	(2, 5)
Schermerhorn St & Bond St	(2, 7)
46 Ave & 5 St	(9, 16)
14 St & 7 Ave	(2, 1)
Lenox Ave & W 130 St	(3, 1)
McGuinness Blvd & Eagle St	(19, 22)
E 114 St & 1 Ave	(1, 1)
Lefferts Pl & Franklin Ave	(2, 2)
Broadway & W 60 St	(17, 18)
E 43 St & 2 Ave	(3, 2)
5 Ave & E 93 St	(2, 2)
Bank St & Washington St	(8, 5)
Grand Army Plaza & Central Park S	(9, 12)
Van Brunt St & Van Dyke St	(3, 2)
W 25 St & 6 Ave	(3, 8)
W 100 St & Broadway	(4, 3)
W 95 St & Broadway	(6, 1)
Graham Ave & Grand St	(2, 2)
E 2 St & Avenue B	(17, 5)
DeKalb Ave & Vanderbilt Ave	(1, 3)
Nassau Ave & Russell St	(6, 11)
W 13 St & 7 Ave	(16, 6)
E 12 St & 3 Ave	(28, 7)
Henry St & Degraw St	(2, 1)
Central Park West & W 85 St	(3, 5)
Broadway & W 37 St	(7, 6)
11 Ave & W 41 St	(6, 9)
W 4 St & 7 Ave S	(6, 12)
E 74 St & 1 Ave	(3, 5)
Berkeley Pl & 7 Ave	(2, 5)
E 4 St & 2 Ave	(19, 8)
E 82 St & East End Ave	(7, 1)
Columbus Ave & W 95 St	(2, 2)
W 59 St & 10 Ave	(10, 5)
E 13 St & Avenue A	(12, 13)
Bergen St & Flatbush Ave	(3, 3)
W 37 St & 10 Ave	(9, 9)
W 22 St & 10 Ave	(15, 7)
Cadman Plaza West & Montague St	(0, 2)
Butler St & Court St	(0, 3)
E 85 St & York Ave	(1, 3)
Old Fulton St	(0, 4)
E 60 St & York Ave	(1, 1)
1 Ave & E 62 St	(17, 8)
E 11 St & 2 Ave	(5, 10)
E 58 St &  1 Ave (NW Corner)	(3, 3)
1 Pl & Clinton St	(2, 1)
W 27 St & 7 Ave	(10, 6)
W 88 St & West End Ave	(1, 2)
Driggs Ave & N Henry St	(1, 6)
Leonard St & Maujer St	(1, 0)
William St & Pine St	(12, 11)
5 Ave & E 29 St	(6, 10)
E 47 St & 1 Ave	(3, 9)
Mercer St & Bleecker St	(12, 9)
Hanson Pl & Ashland Pl	(5, 4)
E 72 St & Park Ave	(2, 3)
E 118 St & 3 Ave	(1, 0)
Franklin Ave & Myrtle Ave	(1, 2)
W Broadway & Spring Street	(8, 15)
Central Park West & W 76 St	(2, 3)
E 52 St & 2 Ave	(6, 7)
Cadman Plaza E & Red Cross Pl	(6, 5)
West Drive & Prospect Park West	(3, 3)
E 16 St & Irving Pl	(11, 9)
Jay St & Tech Pl	(3, 5)
Stanton St & Mangin St	(6, 4)
W 100 St & Manhattan Ave	(1, 4)
Grand St & Havemeyer St	(2, 1)
Nassau St & Navy St	(0, 3)
1 Ave & E 44 St	(7, 8)
21 St & 36 Ave	(0, 1)
W 107 St & Columbus Ave	(1, 0)
Front St & Gold St	(3, 2)
Columbia St & Rivington St	(3, 1)
W 41 St & 8 Ave	(20, 8)
E 6 St & Avenue D	(4, 6)
DeKalb Ave & Hudson Ave	(9, 10)
Henry St & Grand St	(9, 6)
Center Blvd & 51 Ave	(4, 5)
Pitt St & Stanton St	(3, 1)
Lewis Ave & Kosciuszko St	(1, 0)
Center Blvd & 48 Ave	(5, 5)
N 12 St & Bedford Ave	(2, 5)
Clinton St & Grand St	(6, 8)
Fulton St & Clermont Ave	(2, 3)
E 88 St & Park Ave	(1, 3)
E 55 St & 3 Ave	(7, 11)
Carroll St & 6 Ave	(2, 3)
Bond St & Fulton St	(4, 2)
W 89 St & Columbus Ave	(3, 2)
Broadway & W 53 St	(5, 3)
E 91 St & 2 Ave	(8, 8)
2 Ave & E 96 St	(1, 1)
Wyckoff St & 3 Ave	(2, 1)
Riverside Dr & W 91 St	(4, 1)
E 84 St & Park Ave	(4, 7)
Mott St & Prince St	(21, 12)
St James Pl & Oliver St	(6, 3)
5 Ave & E 73 St	(5, 6)
Broadway & Battery Pl	(8, 12)
E 55 St & Lexington Ave	(6, 4)
Spruce St & Nassau St	(5, 8)
Gansevoort St & Hudson St	(7, 7)
Roebling St & N 4 St	(1, 1)
11 St & 43 Ave	(1, 1)
Madison Ave & E 82 St	(4, 11)
Broadway & W 38 St	(4, 11)
4 Ave & 9 St	(0, 1)
S 5 Pl & S 5 St	(7, 2)
Coffey St & Conover St	(1, 1)
W 11 St & 6 Ave	(14, 12)
W 37 St & 5 Ave	(4, 8)
Washington Ave & Park Ave	(2, 0)
E 33 St & 5 Ave	(12, 16)
Centre St & Worth St	(4, 5)
Congress St & Clinton St	(3, 2)
Lawrence St & Willoughby St	(11, 8)
Court St & State St	(4, 2)
Degraw St & Smith St	(4, 3)
W 35 St & Dyer Ave	(3, 4)
E 67 St & Park Ave	(2, 3)
E 89 St & 3 Ave	(2, 6)
Perry St & Bleecker St	(6, 6)
Metropolitan Ave & Meeker Ave	(6, 2)
Columbus Ave & W 72 St	(6, 4)
N 11 St & Kent Ave	(6, 3)
S Portland Ave & Hanson Pl	(2, 3)
Barclay St & Church St	(19, 16)
Madison Ave & E 99 St	(0, 1)
South St & Whitehall St	(8, 4)
Lexington Ave & Classon Ave	(5, 3)
3 St & Hoyt St	(2, 4)
8 Ave & W 52 St	(7, 4)
Lexington Ave & E 63 St	(4, 5)
Lafayette Ave & Classon Ave	(2, 3)
President St & Henry St	(3, 0)
31 St & Broadway	(1, 0)
E 31 St & 3 Ave	(9, 8)
Kane St & Clinton St	(2, 2)
W 92 St & Broadway	(2, 3)
Park Pl & Church St	(14, 12)
Clermont Ave & Lafayette Ave	(1, 0)
Harrison St & Hudson St	(4, 7)
Scholes St & Manhattan Ave	(4, 2)
6 St & 7 Ave	(1, 1)
Marcy Ave & Lafayette Ave	(1, 1)
Cumberland St & Lafayette Ave	(1, 1)
Madison St & Clinton St	(3, 2)
Pearl St & Anchorage Pl	(3, 2)
3 Ave & E 71 St	(3, 1)
Pike St & Monroe St	(1, 3)
Avenue D & E 8 St	(2, 2)
Rivington St & Chrystie St	(8, 8)
Fulton St & Rockwell Pl	(2, 6)
Stagg St & Union Ave	(2, 0)
Pierrepont St & Monroe Pl	(2, 3)
Kingston Ave & Herkimer St	(1, 0)
5 Ave & E 88 St	(7, 1)
34 Ave & 13 St	(1, 0)
1 Ave & E 94 St	(2, 3)
E 76 St & Park Ave	(3, 2)
Amsterdam Ave & W 82 St	(2, 4)
Jay St & York St	(4, 7)
Riverside Dr & W 78 St	(4, 3)
Prospect Park West & 8 St	(1, 2)
Washington Ave & Greene Ave	(1, 3)
Huron St & Franklin St	(9, 5)
India St & West St	(2, 5)
Nassau Ave & Newell St	(6, 7)
Pacific St & Nevins St	(1, 1)
Clark St & Henry St	(3, 4)
Carlton Ave & Dean St	(2, 1)
Bayard St & Leonard St	(2, 1)
Grand Ave & Bergen St	(1, 1)
Mercer St & Spring St	(5, 12)
47 Ave & Skillman Ave	(0, 1)
Cambridge Pl & Gates Ave	(2, 0)
Division Ave & Marcy Ave	(2, 1)
Warren St & Court St	(1, 4)
DeKalb Ave & S Portland Ave	(3, 0)
Catherine St & Monroe St	(2, 2)
Division Av & Hooper St	(1, 1)
21 St & Queens Plaza North	(1, 1)
9 St & 44 Rd	(3, 3)
Columbia Heights & Cranberry St	(1, 2)
Eckford St & Engert Ave	(2, 1)
W 67 St & Broadway	(8, 3)
47 Ave & 31 St	(2, 1)
Riverside Dr & W 104 St	(4, 1)
Railroad Ave & Kay Ave	(0, 4)
5 Ave & E 103 St	(2, 1)
McKibbin St & Manhattan Ave	(1, 0)
3 Ave & 14 St	(1, 0)
Laight St & Hudson St	(3, 3)
Myrtle Ave & Marcy Ave	(2, 0)
Avenue C & E 18 St	(8, 7)
E 65 St & 2 Ave	(2, 0)
24 St & 41 Ave	(0, 2)
Division St & Bowery	(5, 4)
48 Ave & 30 Pl	(1, 1)
Lewis Ave & Madison St	(1, 1)
W 120 St & Claremont Ave	(1, 1)
Avenue D & E 12 St	(6, 5)
E 25 St & 1 Ave	(3, 6)
Union St & 4 Ave	(2, 2)
E 10 St & 5 Ave	(8, 4)
W 104 St & Amsterdam Ave	(1, 1)
Berry St & N 8 St	(1, 6)
Broadway & Roebling St	(1, 2)
State St & Smith St	(1, 2)
