W 27 St & 10 Ave	(4, 1)
45 Rd & 11 St	(2, 1)
Perry St & Bleecker St	(4, 2)
E 20 St & 2 Ave	(6, 4)
Norfolk St & Broome St	(4, 5)
Broadway & W 60 St	(7, 16)
Pier 40 - Hudson River Park	(13, 10)
Mercer St & Bleecker St	(5, 8)
E 20 St & Park Ave	(11, 4)
Hanson Pl & Ashland Pl	(6, 3)
Allen St & Stanton St	(13, 12)
W 47 St & 10 Ave	(3, 5)
Washington Ave & Park Ave	(1, 2)
E 78 St & 2 Ave	(2, 3)
Sullivan St & Washington Sq	(9, 9)
Washington St & Gansevoort St	(4, 6)
Leonard St & Church St	(4, 9)
E 15 St & 3 Ave	(8, 6)
Stanton St & Chrystie St	(4, 4)
W 52 St & 5 Ave	(3, 4)
E 84 St & 3 Ave	(3, 3)
E 53 St & Madison Ave	(8, 5)
W 43 St & 6 Ave	(7, 6)
W 84 St & Broadway	(2, 2)
Bialystoker Pl & Delancey St	(0, 1)
Fulton St & Grand Ave	(2, 0)
W 13 St & 7 Ave	(9, 6)
Broadway & E 14 St	(17, 17)
Johnson St & Gold St	(2, 0)
Franklin Ave & Empire Blvd	(1, 0)
William St & Pine St	(3, 6)
Park Ave & E 124 St	(1, 1)
W 37 St & 10 Ave	(5, 9)
W 34 St & 11 Ave	(7, 7)
W 53 St & 10 Ave	(0, 5)
Stanton St & Mangin St	(3, 0)
FDR Drive & E 35 St	(7, 7)
Central Park West & W 100 St	(1, 0)
Murray St & Greenwich St	(1, 9)
Cooper Square & Astor Pl	(7, 7)
Pacific St & Classon Ave	(0, 3)
E 12 St & 3 Ave	(13, 10)
Lafayette Ave & Classon Ave	(1, 3)
Degraw St & Hoyt St	(1, 0)
E 84 St & 1 Ave	(4, 4)
E 39 St & 2 Ave	(9, 12)
Van Brunt St & Van Dyke St	(2, 3)
7 Ave & Central Park South	(4, 2)
Lafayette St & Jersey St	(7, 20)
E 17 St & Broadway	(33, 22)
E 93 St & 2 Ave	(0, 1)
1 Pl & Clinton St	(1, 1)
Barrow St & Hudson St	(11, 12)
E 9 St & Avenue C	(12, 6)
South St & Gouverneur Ln	(4, 4)
Willoughby St & Fleet St	(15, 8)
E 10 St & Avenue A	(7, 6)
E 33 St & 5 Ave	(8, 6)
Riverside Dr & W 72 St	(2, 2)
Franklin Ave & St Marks Ave	(1, 1)
Monroe St & Tompkins Ave	(1, 0)
W 95 St & Broadway	(2, 0)
Lexington Ave & E 29 St	(3, 4)
Broadway & Moylan Pl	(2, 1)
W 37 St & 5 Ave	(4, 6)
Prospect Park West & 8 St	(0, 1)
E 106 St & Madison Ave	(0, 1)
Pershing Square North	(8, 16)
W 18 St & 9 Ave	(9, 3)
Columbus Ave & W 72 St	(7, 4)
11 Ave & W 59 St	(4, 4)
Broadway & W 49 St	(7, 2)
Frederick Douglass Blvd & W 117 St	(1, 0)
Carlton Ave & Flushing Ave	(0, 1)
W 52 St & 11 Ave	(5, 2)
3 Ave & Schermerhorn St	(2, 1)
Bond St & Fulton St	(1, 5)
Greenwich St & W Houston St	(15, 13)
E 52 St & 2 Ave	(3, 2)
Milton St & Franklin St	(9, 8)
Front St & Washington St	(7, 7)
W 106 St & Central Park West	(1, 0)
Monroe St & Bedford Ave	(1, 0)
W 120 St & Claremont Ave	(0, 1)
E 30 St & Park Ave S	(2, 7)
Harrison St & Hudson St	(2, 4)
E 68 St & 3 Ave	(2, 1)
E 31 St & 3 Ave	(3, 4)
Dean St & 4 Ave	(4, 1)
E 47 St & 1 Ave	(3, 4)
Amsterdam Ave & W 79 St	(2, 1)
Clinton St & Joralemon St	(2, 1)
W 76 St & Columbus Ave	(2, 0)
34 Ave & 13 St	(1, 0)
MacDougal St & Prince St	(8, 5)
W 33 St & 7 Ave	(6, 12)
Graham Ave & Grand St	(1, 2)
6 Ave & Canal St	(9, 8)
Clinton St & Union St	(2, 2)
Driggs Ave & N Henry St	(3, 2)
Pershing Square South	(11, 5)
E 41 St & Madison Ave	(3, 2)
Butler St & Court St	(3, 3)
5 St & 6 Ave	(1, 1)
E 25 St & 1 Ave	(3, 7)
Adelphi St & Myrtle Ave	(2, 0)
E 58 St &  1 Ave (NW Corner)	(5, 2)
E 10 St & 5 Ave	(4, 2)
Lefferts Pl & Franklin Ave	(2, 1)
E 39 St & 3 Ave	(6, 9)
E 53 St & 3 Ave	(3, 3)
Broadway & W 41 St	(9, 15)
W 74 St & Columbus Ave	(2, 1)
W 26 St & 8 Ave	(7, 7)
Stanton St & Norfolk St	(5, 4)
1 Ave & E 44 St	(7, 6)
Amsterdam Ave & W 66 St	(2, 1)
Canal St & Rutgers St	(7, 7)
Lafayette Ave & St James Pl	(3, 2)
Central Park West & W 72 St	(1, 3)
Broadway & W 25 St	(8, 10)
Carmine St & 6 Ave	(12, 11)
Leonard St & Maujer St	(1, 0)
E 19 St & 3 Ave	(3, 8)
5 Ave & E 63 St	(0, 2)
Mott St & Prince St	(5, 3)
E 55 St & 3 Ave	(4, 4)
Carroll St & 6 Ave	(1, 1)
Madison St & Clinton St	(5, 6)
Pike St & E Broadway	(6, 4)
E 13 St & Avenue A	(10, 5)
9 Ave & W 28 St	(4, 1)
Old Slip & Front St	(2, 4)
South St & Whitehall St	(3, 6)
Bergen St & Vanderbilt Ave	(1, 2)
E 72 St & Park Ave	(3, 1)
DeKalb Ave & Vanderbilt Ave	(1, 1)
Washington Pl & Broadway	(6, 5)
Congress St & Clinton St	(2, 1)
Duffield St & Willoughby St	(5, 7)
Center Blvd & 48 Ave	(7, 2)
1 Ave & E 68 St	(15, 2)
Greenwich Ave & Charles St	(3, 2)
Franklin St & W Broadway	(8, 5)
Old Fulton St	(0, 2)
