Washington Park	(1, 1) 
Vernon Blvd & 10 St	(0, 1) 
Grand Army Plaza & Plaza St West	(2, 2) 
Amsterdam Ave & W 79 St	(3, 3) 
Carroll St & 6 Ave	(2, 4) 
Van Brunt St & Wolcott St	(0, 3) 
Cumberland St & Lafayette Ave	(2, 0) 
Reade St & Broadway	(8, 12) 
Fulton St & Adams St	(99, 101) 
Classon Ave & St Marks Ave	(38, 22) 
Frederick Douglass Blvd & W 117 St	(1, 1) 
31 St & Thomson Ave	(3, 2) 
W 52 St & 6 Ave	(6, 4) 
St Nicholas Ave & Manhattan Ave	(2, 0) 
Irving Ave & Jefferson St	(1, 0) 
India St & Manhattan Ave	(3, 4) 
St Marks Pl & 1 Ave	(9, 5) 
Bedford Ave & S 9 St	(6, 2) 
Riverside Dr & W 82 St	(80, 54) 
E 72 St & York Ave	(11, 13) 
Washington Ave & Park Ave	(1, 1) 
Bayard St & Baxter St	(8, 6) 
Riverside Dr & W 78 St	(3, 2) 
Banker St & Meserole Ave	(3, 4) 
Lenox Ave & W 111 St	(0, 1) 
Fulton St & Rockwell Pl	(2, 2) 
21 St & 43 Ave	(1, 0) 
2 Ave & 36 St - Citi Bike HQ at Industry City	(0, 1) 
Henry St & Degraw St	(0, 2) 
Stanton St & Chrystie St	(10, 6) 
Park Pl & Church St	(17, 13) 
7 St & 3 Ave	(1, 2) 
Sullivan Pl & Bedford Ave	(1, 0) 
Henry St & Grand St	(3, 7) 
Forsyth St & Canal St	(10, 6) 
E 72 St & Park Ave	(2, 3) 
W 78 St & Broadway	(3, 3) 
E 27 St & 1 Ave	(6, 8) 
St James Pl & Pearl St	(1, 2) 
DeKalb Ave & S Portland Ave	(2, 2) 
Pearl St & Anchorage Pl	(2, 4) 
Pioneer St & Van Brunt St	(1, 1) 
N 6 St & Bedford Ave	(130, 133) 
Broadway & E 22 St	(20, 15) 
Park Pl & Vanderbilt Ave	(3, 3) 
31 St & 23 Ave	(1, 0) 
Stanton St & Norfolk St	(8, 5) 
W 82 St & Central Park West	(1, 2) 
W 107 St & Columbus Ave	(0, 1) 
5 Ave & 3 St	(1, 3) 
Columbia Heights & Cranberry St	(0, 1) 
Broad St & Bridge St	(52, 67) 
West End Ave & W 107 St	(2, 1) 
9 St & 44 Rd	(2, 2) 
E 88 St & Park Ave	(1, 1) 
Amsterdam Ave & W 73 St	(6, 7) 
Broadway & Moylan Pl	(0, 1) 
E 13 St & Avenue A	(9, 16) 
Howard St & Centre St	(122, 127) 
Spruce St & Nassau St	(2, 10) 
Broadway & Whipple St	(1, 0) 
Cadman Plaza E & Johnson St	(0, 1) 
Broadway & W 38 St	(1, 7) 
Lexington Ave & E 36 St	(4, 0) 
E 32 St & Park Ave	(7, 15) 
Water - Whitehall Plaza	(12, 5) 
Lexington Ave & Classon Ave	(0, 2) 
Commerce St & Van Brunt St	(0, 1) 
E 81 St & Park Ave	(0, 2) 
Clinton St & Union St	(7, 3) 
W 95 St & Broadway	(2, 1) 
Norfolk St & Broome St	(7, 1) 
E 106 St & Madison Ave	(0, 2) 
W 52 St & 5 Ave	(5, 17) 
Clinton St & 4 Place	(1, 1) 
Carlton Ave & Park Ave	(0, 2) 
Bank St & Hudson St	(111, 105) 
Clark St & Henry St	(2, 1) 
President St & Henry St	(3, 0) 
W 100 St & Broadway	(4, 1) 
Riverside Dr & W 104 St	(2, 3) 
W 37 St & 5 Ave	(5, 6) 
6 Ave & 9 St	(5, 4) 
E 47 St & 2 Ave	(6, 9) 
Washington Pl & Broadway	(8, 5) 
Central Park West & W 72 St	(4, 2) 
35 Ave & 37 St	(1, 0) 
E 114 St & 1 Ave	(1, 1) 
South End Ave & Liberty St	(11, 17) 
E 58 St & 1 Ave (NE Corner)	(3, 0) 
Greenwich Ave & 8 Ave	(9, 3) 
E 53 St & Madison Ave	(5, 2) 
Broadway & W 49 St	(6, 8) 
Montrose Ave & Bushwick Ave	(2, 0) 
Bond St & Fulton St	(6, 2) 
Mercer St & Spring St	(9, 9) 
Pike St & Monroe St	(0, 1) 
Cadman Plaza West & Montague St	(2, 1) 
W 20 St & 11 Ave	(10, 11) 
Berry St & N 8 St	(5, 0) 
Perry St & Bleecker St	(3, 3) 
5 Ave & E 73 St	(2, 4) 
E 45 St & 3 Ave	(5, 6) 
Eastern Pkwy & Franklin Ave	(3, 2) 
Central Park North & Adam Clayton Powell Blvd	(0, 2) 
E 52 St & 2 Ave	(7, 3) 
MacDougal St & Washington Sq	(5, 7) 
E 82 St & East End Ave	(3, 0) 
S 4 St & Wythe Ave	(17, 19) 
E 24 St & Park Ave S	(15, 25) 
Old Slip & Front St	(2, 3) 
Center Blvd & 48 Ave	(7, 7) 
Clermont Ave & Park Ave	(0, 1) 
Clermont Ave & Lafayette Ave	(1, 2) 
E 89 St & 3 Ave	(3, 2) 
Union St & 4 Ave	(1, 1) 
Knickerbocker Ave & George St	(2, 0) 
E 47 St & Park Ave	(12, 20) 
E 7 St & Avenue A	(7, 11) 
McGuinness Blvd & Eagle St	(22, 13) 
Columbia St & Rivington St	(3, 3) 
Allen St & Rivington St	(8, 9) 
Graham Ave & Grand St	(2, 0) 
Central Park West & W 100 St	(3, 1) 
47 Ave & Skillman Ave	(1, 3) 
Hope St & Union Ave	(1, 0) 
Willoughby St & Fleet St	(8, 7) 
E 66 St & Madison Ave	(1, 0) 
Kane St & Clinton St	(4, 1) 
Catherine St & Monroe St	(2, 1) 
W 45 St & 6 Ave	(5, 6) 
Park Ave & St Edwards St	(1, 0) 
2 Ave & E 31 St	(8, 4) 
Boerum St & Broadway	(1, 0) 
10 St & 5 Ave	(0, 1) 
Garfield Pl & 8 Ave	(1, 3) 
Rivington St & Chrystie St	(5, 3) 
Flushing Ave & Vanderbilt Ave	(1, 2) 
Riverside Dr & W 91 St	(3, 0) 
11 Ave & W 27 St	(4, 6) 
E 6 St & Avenue D	(5, 3) 
Berkeley Pl & 7 Ave	(1, 2) 
E 84 St & Park Ave	(1, 0) 
3 Ave & E 72 St	(1, 1) 
Prospect Pl & Underhill Ave	(2, 2) 
E 84 St & 1 Ave	(2, 1) 
E 51 St & Lexington Ave	(111, 114) 
W 15 St & 10 Ave	(98, 104) 
Union St & Bedford Ave	(0, 1) 
Gansevoort St & Hudson St	(9, 6) 
Wythe Ave & Metropolitan Ave	(12, 17) 
E 2 St & Avenue A	(11, 9) 
Bedford Ave & Nassau Ave	(5, 5) 
Bond St & Bergen St	(3, 1) 
E 84 St & 3 Ave	(4, 8) 
