E 82 St & East End Ave	(7, 3)
Park Pl & Vanderbilt Ave	(1, 4)
Willoughby Ave & Tompkins Ave	(2, 3)
E 77 St & 3 Ave	(9, 19)
Carlton Ave & Flushing Ave	(5, 2)
West St & Chambers St	(32, 37)
W 20 St & 8 Ave	(5, 4)
Dean St & 4 Ave	(2, 4)
E 39 St & 2 Ave	(16, 14)
48 Ave & 30 Pl	(0, 1)
Little West St & 1 Pl	(20, 28)
1 Ave & E 16 St	(27, 15)
Old Slip & Front St	(14, 5)
E 30 St & Park Ave S	(10, 5)
Park Ave & E 124 St	(2, 2)
Central Park W & W 96 St	(2, 4)
E 43 St & 5 Ave	(9, 6)
Front St & Washington St	(4, 4)
N 11 St & Kent Ave	(1, 2)
Washington Pl & Broadway	(8, 8)
Washington Pl & 6 Ave	(7, 1)
W 52 St & 6 Ave	(2, 9)
LaGuardia Pl & W 3 St	(5, 8)
Huron St & Franklin St	(8, 9)
W 27 St & 7 Ave	(8, 9)
Milton St & Franklin St	(6, 16)
Centre St & Chambers St	(17, 19)
Cadman Plaza E & Red Cross Pl	(14, 16)
Concord St & Bridge St	(3, 0)
E 16 St & Irving Pl	(11, 12)
Prospect Pl & 6 Ave	(1, 2)
W 52 St & 11 Ave	(9, 10)
W 4 St & 7 Ave S	(10, 9)
5 Ave & E 88 St	(2, 4)
11 Ave & W 59 St	(7, 5)
Bank St & Washington St	(10, 8)
Avenue C & E 18 St	(4, 7)
Mercer St & Bleecker St	(10, 10)
W 52 St & 5 Ave	(8, 7)
W 44 St & 5 Ave	(7, 6)
Frederick Douglass Blvd & W 112 St	(1, 0)
W 17 St & 8 Ave	(6, 15)
Central Park S & 6 Ave	(8, 7)
Schermerhorn St & Bond St	(3, 3)
Pike St & Monroe St	(2, 3)
W 26 St & 8 Ave	(7, 9)
W 21 St & 6 Ave	(15, 16)
Broadway & E 14 St	(22, 24)
E 51 St & 1 Ave	(6, 4)
Franklin St & W Broadway	(13, 8)
W 20 St & 11 Ave	(12, 20)
Lexington Ave & E 29 St	(7, 8)
Nassau Ave & Russell St	(8, 3)
Park Pl & Church St	(11, 6)
E 47 St & Park Ave	(12, 11)
E 33 St & 1 Ave	(11, 19)
India St & West St	(3, 2)
Broadway & E 22 St	(28, 21)
Front St & Maiden Ln	(5, 11)
E 48 St & 5 Ave	(11, 7)
Peck Slip & Front St	(11, 6)
E 58 St & 3 Ave	(13, 14)
Hanson Pl & Ashland Pl	(8, 5)
W 16 St & The High Line	(8, 10)
W 20 St & 7 Ave	(5, 7)
E 15 St & 3 Ave	(11, 16)
McGuinness Blvd & Eagle St	(16, 22)
W 22 St & 10 Ave	(7, 7)
Cathedral Pkwy & Broadway	(2, 3)
Washington Park	(0, 4)
E 84 St & 3 Ave	(11, 13)
Cherry St	(5, 3)
W 47 St & 10 Ave	(6, 6)
Stagg St & Union Ave	(2, 2)
Canal St & Rutgers St	(10, 7)
E 78 St & 2 Ave	(2, 0)
12 Ave & W 40 St	(14, 39)
Jackson Ave & 46 Rd	(1, 0)
Riverside Dr & W 78 St	(2, 4)
Bayard St & Leonard St	(1, 1)
E 2 St & 2 Ave	(16, 19)
Duane St & Greenwich St	(10, 3)
Center Blvd & 48 Ave	(8, 10)
Great Jones St	(11, 17)
9 Ave & W 18 St	(8, 11)
FDR Drive & E 35 St	(15, 9)
Willoughby St & Fleet St	(14, 10)
34 Ave & 13 St	(1, 0)
Leonard St & Church St	(14, 8)
W 106 St & Amsterdam Ave	(2, 0)
Lafayette St & Jersey St	(17, 20)
Meserole Ave & Manhattan Ave	(3, 10)
E 25 St & 1 Ave	(6, 15)
Degraw St & Hoyt St	(2, 1)
E 47 St & 2 Ave	(7, 8)
Pearl St & Hanover Square	(7, 3)
Greenpoint Ave & Manhattan Ave	(9, 9)
3 Ave & Carroll St	(0, 1)
Cleveland Pl & Spring St	(18, 22)
Cooper Square & Astor Pl	(17, 21)
Henry St & Atlantic Ave	(2, 2)
Riverside Dr & W 72 St	(9, 12)
Broadway & W 51 St	(4, 4)
3 St & Hoyt St	(3, 2)
Bedford Ave & Nassau Ave	(9, 11)
E 2 St & Avenue B	(8, 12)
6 Ave & Canal St	(5, 7)
E 13 St & Avenue A	(11, 7)
7 Ave & Park Pl	(6, 15)
Graham Ave & Conselyea St	(2, 1)
Adam Clayton Powell Blvd & W 126 St	(0, 1)
Broadway & W 41 St	(8, 14)
Lefferts Pl & Franklin Ave	(1, 2)
Cliff St & Fulton St	(8, 4)
W 33 St & 7 Ave	(8, 8)
Broadway & W 38 St	(4, 12)
Norfolk St & Broome St	(9, 8)
W 59 St & 10 Ave	(9, 12)
Bayard St & Baxter St	(9, 9)
St James Pl & Oliver St	(4, 5)
Greenwich St & W Houston St	(20, 21)
Fulton St & Grand Ave	(3, 2)
W 84 St & Broadway	(2, 4)
Mercer St & Spring St	(9, 14)
E 84 St & Park Ave	(1, 4)
Madison St & Clinton St	(2, 3)
St Nicholas Ave & Manhattan Ave	(0, 2)
DeKalb Ave & Hudson Ave	(7, 2)
McKibbin St & Manhattan Ave	(2, 0)
South St & Whitehall St	(8, 9)
Amsterdam Ave & W 73 St	(6, 9)
6 Ave & Broome St	(11, 8)
John St & William St	(5, 4)
E 20 St & Park Ave	(15, 10)
W 88 St & West End Ave	(7, 1)
E 5 St & Avenue C	(6, 3)
Broadway & W 56 St	(7, 7)
Grand Army Plaza & Central Park S	(13, 4)
Broadway & W 25 St	(14, 11)
Bergen St & Flatbush Ave	(1, 2)
Barrow St & Hudson St	(20, 9)
Dean St & Hoyt St	(1, 1)
5 Ave & E 29 St	(4, 13)
W 13 St & 5 Ave	(7, 13)
W 37 St & 5 Ave	(6, 9)
W 70 St & Amsterdam Ave	(8, 9)
Mott St & Prince St	(12, 6)
Union St & Bedford Ave	(1, 0)
E 11 St & 2 Ave	(7, 6)
Tompkins Ave & Hopkins St	(2, 0)
W 54 St & 9 Ave	(4, 7)
Lewis Ave & Madison St	(3, 0)
5 Ave & E 73 St	(4, 5)
W 113 St & Broadway	(1, 1)
W 35 St & Dyer Ave	(5, 3)
2 Ave & E 31 St	(15, 15)
E 72 St & Park Ave	(0, 2)
St Marks Pl & 2 Ave	(11, 12)
31 St & Thomson Ave	(0, 2)
5 Ave & E 93 St	(1, 0)
3 Ave & E 95 St	(1, 0)
Lawrence St & Willoughby St	(3, 7)
E 75 St & 3 Ave	(1, 3)
Hancock St & Bedford Ave	(1, 1)
E 76 St & Park Ave	(3, 2)
Bond St & Bergen St	(2, 1)
Bialystoker Pl & Delancey St	(2, 1)
Garfield Pl & 8 Ave	(1, 4)
5 Ave & E 78 St	(4, 7)
Center Blvd & 51 Ave	(7, 2)
Berry St & N 8 St	(2, 3)
Pershing Square South	(5, 6)
Central Park West & W 68 St	(6, 5)
Columbia St & Rivington St	(6, 5)
Atlantic Ave & Furman St	(1, 0)
Union Ave & N 12 St	(1, 2)
Lafayette Ave & Fort Greene Pl	(4, 1)
W 89 St & Columbus Ave	(4, 1)
St Marks Pl & 1 Ave	(9, 8)
E 55 St & Lexington Ave	(7, 9)
Clinton St & Union St	(1, 2)
E 65 St & 2 Ave	(4, 1)
E 81 St & 3 Ave	(1, 3)
E 20 St & 2 Ave	(8, 7)
W 49 St & 8 Ave	(5, 7)
Division St & Bowery	(7, 8)
Vernon Blvd & 31 Ave	(1, 2)
W 76 St & Columbus Ave	(5, 1)
Centre St & Worth St	(4, 4)
Kent Ave & S 11 St	(6, 6)
Bond St & Fulton St	(11, 9)
Lexington Ave & E 111 St	(2, 0)
Devoe St & Lorimer St	(5, 2)
E 19 St & 3 Ave	(6, 9)
W 50 St & 9 Ave	(4, 10)
Fulton St & Waverly Ave	(2, 2)
Broadway & W 37 St	(12, 4)
11 Ave & W 27 St	(7, 11)
Fulton St & William St	(4, 9)
Degraw St & Smith St	(2, 3)
W 107 St & Columbus Ave	(1, 0)
W 26 St & 10 Ave	(8, 5)
Warren St & Court St	(1, 4)
Carroll St & Bond St	(2, 0)
6 Ave & W 33 St	(13, 7)
Metropolitan Ave & Meeker Ave	(2, 2)
Carlton Ave & Park Ave	(3, 0)
Bus Slip & State St	(12, 2)
Washington Ave & Greene Ave	(3, 3)
Lenox Ave & W 130 St	(2, 1)
Monroe St & Bedford Ave	(3, 2)
E 85 St & York Ave	(4, 2)
Broadway & Battery Pl	(24, 15)
Lexington Ave & Classon Ave	(1, 1)
Emerson Pl & Myrtle Ave	(1, 1)
3 Ave & Schermerhorn St	(2, 4)
Sullivan St & Washington Sq	(7, 7)
2 Ave & E 96 St	(3, 1)
Allen St & Hester St	(11, 6)
1 Ave & E 110 St	(1, 1)
S 5 Pl & S 5 St	(8, 7)
Carroll St & Smith St	(2, 1)
Atlantic Ave & Fort Greene Pl	(5, 10)
Union St & 4 Ave	(1, 1)
Reade St & Broadway	(9, 6)
Laight St & Hudson St	(9, 3)
Dock 72 Way & Market St	(1, 2)
Old Fulton St	(0, 1)
Commerce St & Van Brunt St	(1, 0)
Driggs Ave & N Henry St	(2, 5)
3 St & Prospect Park West	(0, 1)
DeKalb Ave & S Portland Ave	(2, 2)
President St & Henry St	(5, 1)
E 47 St & 1 Ave	(3, 3)
Amsterdam Ave & W 66 St	(3, 3)
Broadway & Roebling St	(2, 3)
Grand Army Plaza & Plaza St West	(3, 3)
2 Ave & E 122 St	(1, 1)
E 43 St & 2 Ave	(4, 4)
W 46 St & 11 Ave	(4, 9)
Humboldt St & Varet St	(2, 2)
W 25 St & 6 Ave	(4, 8)
E 102 St & Park Ave	(0, 1)
Maiden Ln & Pearl St	(7, 5)
Broadway & 12 St	(1, 0)
State St & Smith St	(2, 1)
Washington Ave & Park Ave	(1, 2)
Columbus Ave & W 95 St	(4, 5)
1 Ave & E 44 St	(7, 7)
W 100 St & Manhattan Ave	(1, 0)
47 Ave & Skillman Ave	(0, 1)
Frost St & Meeker Ave	(0, 1)
Congress St & Clinton St	(6, 0)
Hudson St & Reade St	(10, 7)
Plaza St West & Flatbush Ave	(6, 5)
MacDougal St & Washington Sq	(7, 4)
Clermont Ave & Lafayette Ave	(1, 0)
1 Pl & Clinton St	(1, 2)
Grand St & Havemeyer St	(6, 1)
Bergen St & Vanderbilt Ave	(5, 0)
Myrtle Ave & St Edwards St	(2, 2)
E 6 St & Avenue B	(14, 10)
Broadway & W 53 St	(4, 2)
Prospect Park West & 8 St	(1, 3)
Franklin St & Dupont St	(2, 4)
Suydam St & Knickerbocker Ave	(1, 0)
Harrison St & Hudson St	(5, 4)
Lexington Ave & E 63 St	(8, 5)
Rivington St & Chrystie St	(3, 7)
Spruce St & Nassau St	(5, 5)
Metropolitan Ave & Bedford Ave	(5, 3)
Pike St & E Broadway	(3, 2)
Clark St & Henry St	(2, 2)
Macon St & Nostrand Ave	(2, 0)
Railroad Ave & Kay Ave	(0, 1)
E 88 St & 1 Ave	(6, 5)
W 15 St & 7 Ave	(17, 6)
Henry St & W 9 St	(2, 0)
Willoughby Ave & Hall St	(1, 2)
St James Pl & Pearl St	(2, 2)
Stanton St & Mangin St	(2, 2)
Front St & Gold St	(1, 2)
Lexington Ave & E 26 St	(11, 7)
Knickerbocker Ave & Thames St	(1, 0)
E 6 St & Avenue D	(6, 8)
21 St & 43 Ave	(2, 1)
3 Ave & E 62 St	(3, 5)
Cadman Plaza E & Johnson St	(3, 2)
Stanton St & Chrystie St	(9, 12)
Schermerhorn St & Court St	(1, 3)
Graham Ave & Grand St	(3, 2)
7 St & 3 Ave	(0, 2)
E 89 St & 3 Ave	(2, 2)
11 St & 43 Ave	(2, 0)
W 37 St & 10 Ave	(3, 4)
Central Park West & W 76 St	(1, 2)
Columbia St & W 9 St	(1, 0)
6 Ave & 9 St	(2, 2)
10 St & 7 Ave	(3, 2)
3 Ave & E 72 St	(1, 4)
Carroll St & Franklin Ave	(2, 3)
Water - Whitehall Plaza	(3, 2)
35 Ave & 10 St	(0, 1)
Berkeley Pl & 7 Ave	(3, 1)
9 St & 44 Rd	(1, 2)
Lexington Ave & E 120 St	(1, 0)
Market St & Cherry St	(2, 1)
McKibbin St & Bogart St	(0, 1)
Riverside Blvd & W 67 St	(3, 5)
Willoughby Ave & Walworth St	(0, 2)
5 Ave & E 63 St	(1, 5)
Carroll St & 6 Ave	(3, 2)
Pioneer St & Van Brunt St	(2, 6)
Bedford Ave & S 9 St	(2, 3)
5 Ave & 3 St	(3, 2)
Monroe St & Tompkins Ave	(1, 0)
Berkeley Pl & 6 Ave	(1, 2)
Baltic St & 5 Ave	(0, 1)
Eastern Pkwy & Washington Ave	(2, 1)
University Pl & E 8 St	(8, 5)
W 15 St & 6 Ave	(5, 6)
Avenue D & E 8 St	(3, 2)
Sterling Pl & Bedford Ave	(0, 1)
Clinton St & 4 Place	(1, 0)
Myrtle Ave & Marcy Ave	(0, 2)
Cambridge Pl & Gates Ave	(1, 1)
Carlton Ave & Dean St	(6, 2)
Lexington Ave & E 36 St	(3, 6)
Central Ave & Starr Street	(0, 2)
W 11 St & 6 Ave	(5, 3)
27 St & Hunter St	(0, 1)
Richards St & Delavan St	(0, 2)
E 58 St &  1 Ave (NW Corner)	(6, 5)
Driggs Ave & N 9 St	(0, 2)
Smith St & 3 St	(0, 1)
Avenue D & E 12 St	(2, 2)
3 Ave & 14 St	(2, 0)
44 Dr & Jackson Ave	(0, 3)
Union Ave & Wallabout St	(1, 0)
Van Brunt St & Wolcott St	(1, 0)
Marcus Garvey Blvd & Macon St	(0, 1)
W 120 St & Claremont Ave	(2, 0)
E 98 St & Park Ave	(1, 1)
Putnam Ave & Throop Ave	(1, 0)
Franklin Ave & Empire Blvd	(1, 3)
Franklin Ave & Myrtle Ave	(0, 1)
Central Ave & Flushing Ave	(1, 2)
George St & Wilson Ave	(0, 1)
West End Ave & W 107 St	(1, 2)
Central Park West & W 85 St	(2, 1)
N 15 St & Wythe Ave	(0, 1)
Henry St & Middagh St	(1, 2)
E 58 St & 1 Ave (NE Corner)	(2, 4)
W 116 St & Broadway	(1, 1)
Union Ave & Jackson St	(2, 2)
Clinton St & Joralemon St	(3, 2)
Eckford St & Engert Ave	(0, 4)
E 74 St & 1 Ave	(4, 2)
Halsey St & Tompkins Ave	(0, 2)
10 Ave & W 28 St	(4, 7)
Douglass St & 3 Ave	(1, 1)
Greene Av & Myrtle Av	(1, 1)
Madison St & Montgomery St	(2, 2)
3 Ave & E 71 St	(1, 2)
7 St & 5 Ave	(2, 0)
Central Park North & Adam Clayton Powell Blvd	(0, 1)
Queens Plaza North & Crescent St	(4, 1)
Central Park West & W 100 St	(0, 3)
Driggs Ave & Lorimer St	(4, 2)
45 Rd & 11 St	(0, 2)
2 Ave & 36 St - Citi Bike HQ at Industry City	(1, 0)
Carroll St & Columbia St	(1, 3)
DeKalb Ave & Vanderbilt Ave	(2, 2)
48 Ave & 5 St	(0, 1)
Grand Ave & Bergen St	(3, 1)
E 102 St & 1 Ave	(1, 3)
1 Ave & E 94 St	(0, 2)
Broadway & Moylan Pl	(1, 4)
Columbus Ave & W 103 St	(1, 0)
E 67 St & Park Ave	(3, 2)
W 56 St & 10 Ave	(4, 5)
Graham Ave & Herbert St	(1, 0)
3 Ave & E 100 St	(0, 2)
Lincoln Pl & Classon Ave	(2, 1)
Banker St & Meserole Ave	(2, 2)
Cadman Plaza West & Montague St	(2, 1)
Cumberland St & Lafayette Ave	(3, 2)
E 91 St & Park Ave	(0, 3)
14 St & 7 Ave	(3, 5)
Hope St & Union Ave	(3, 2)
Pitt St & Stanton St	(1, 1)
S Portland Ave & Hanson Pl	(0, 3)
36 Ave & 31 St	(0, 1)
Graham Ave & Withers St	(2, 0)
Flushing Ave & Vanderbilt Ave	(1, 2)
Carroll St & 5 Ave	(2, 0)
St Johns Pl & Washington Ave	(1, 3)
5 St & 6 Ave	(2, 0)
Vernon Blvd & 10 St	(0, 1)
Frederick Douglass Blvd & W 115 St	(0, 1)
W 129 St & Convent Ave	(2, 0)
S 4 St & Rodney St	(1, 0)
6 St & 7 Ave	(1, 0)
Willoughby Ave & Wyckoff Ave	(1, 0)
Division Av & Hooper St	(8, 2)
Amsterdam Ave & W 79 St	(1, 1)
40 Ave & Crescent St	(0, 1)
Scholes St & Manhattan Ave	(2, 1)
Broadway & Whipple St	(2, 0)
Eastern Pkwy & Franklin Ave	(6, 3)
Amsterdam Ave & W 125 St	(0, 1)
3 St & 3 Ave	(1, 1)
Cedar St & Myrtle Ave	(2, 0)
44 Dr & 21 St	(1, 2)
West End Ave & W 94 St	(1, 2)
E 60 St & York Ave	(2, 1)
Kane St & Clinton St	(0, 4)
W 74 St & Columbus Ave	(0, 1)
Columbia St & Kane St	(1, 1)
Amsterdam Ave & W 119 St	(1, 0)
Park Ave & St Edwards St	(0, 3)
Richardson St & N Henry St	(2, 4)
49 Ave & 21 St	(1, 0)
Columbia Heights & Cranberry St	(4, 2)
Jay St & Tech Pl	(2, 1)
E 118 St & 1 Ave	(0, 1)
14 St & 5 Ave	(0, 1)
E 88 St & Park Ave	(2, 1)
47 Ave & 31 St	(1, 0)
W 90 St & Amsterdam Ave	(0, 2)
Pleasant Ave & E 116 St	(0, 1)
Court St & State St	(0, 1)
W 84 St & Columbus Ave	(0, 2)
Throop Ave & Myrtle Ave	(1, 1)
Pleasant Ave & E 120 St	(0, 2)
5 Ave & E 103 St	(1, 0)
Catherine St & Monroe St	(8, 1)
Lafayette Ave & Classon Ave	(1, 2)
Kosciuszko St & Tompkins Ave	(0, 2)
Vernon Blvd & 47 Rd	(1, 1)
Roebling St & N 4 St	(0, 2)
W 110 St & Amsterdam Ave	(1, 1)
24 St & 41 Ave	(0, 1)
Henry St & Degraw St	(0, 2)
6 Ave & 12 St	(2, 3)
Fulton St & Clermont Ave	(0, 1)
Boerum St & Broadway	(0, 1)
Verona Pl & Fulton St	(1, 2)
White St & Moore St	(1, 1)
10 St & 5 Ave	(1, 0)
E 97 St & 3 Ave	(1, 1)
Lenox Ave & W 111 St	(1, 1)
Henry St & Bay St	(1, 2)
Kosciuszko St & Nostrand Ave	(0, 1)
Franklin Ave & St Marks Ave	(2, 3)
28 St & 41 Ave	(1, 1)
W 104 St & Amsterdam Ave	(0, 1)
Pierrepont St & Monroe Pl	(0, 1)
Leonard St & Nassau Ave	(0, 2)
12 St & 4 Ave	(1, 0)
5 St & Market St	(1, 0)
Underhill Ave & Lincoln Pl	(1, 1)
28 St & 36 Ave	(0, 1)
Greene Ave & Nostrand Ave	(1, 1)
E 115 St & Lexington Ave	(0, 1)
Lewis Ave & Kosciuszko St	(0, 1)
Monroe St & Classon Ave	(1, 0)
Wyckoff Av & Jefferson St	(2, 0)
5 Ave & E 126 St	(0, 1)
2 Ave & E 99 St	(1, 0)
Myrtle Ave & Lewis Ave	(1, 2)
W 92 St & Broadway	(1, 0)
Bushwick Ave & McKibbin St	(0, 1)
Dean St & Franklin Ave	(2, 1)
W 106 St & Central Park West	(0, 1)
43 St & Broadway	(1, 0)
Columbia St & Degraw St	(1, 0)
Pacific St & Classon Ave	(1, 1)
Wyckoff St & Bond St	(0, 1)
Irving Ave & DeKalb Ave	(0, 1)
Pulaski St & Marcus Garvey Blvd	(0, 1)
