Washington Park	(1, 2) 
Vernon Blvd & 31 Ave	(0, 1) 
Grand Army Plaza & Plaza St West	(4, 2) 
Amsterdam Ave & W 79 St	(3, 3) 
31 St & Newtown Ave	(0, 2) 
Carroll St & 6 Ave	(2, 2) 
Van Brunt St & Wolcott St	(0, 1) 
Cumberland St & Lafayette Ave	(4, 2) 
Reade St & Broadway	(11, 18) 
Fulton St & Adams St	(112, 110) 
Classon Ave & St Marks Ave	(42, 42) 
31 St & Thomson Ave	(2, 0) 
W 52 St & 6 Ave	(8, 5) 
St Nicholas Ave & Manhattan Ave	(2, 0) 
Frederick Douglass Blvd & W 115 St	(0, 1) 
St Marks Pl & 1 Ave	(6, 9) 
Bedford Ave & S 9 St	(3, 0) 
Riverside Dr & W 82 St	(87, 67) 
E 72 St & York Ave	(11, 12) 
Crescent St & Broadway	(0, 1) 
Washington Ave & Park Ave	(3, 4) 
Bayard St & Baxter St	(10, 8) 
Riverside Dr & W 78 St	(3, 3) 
Banker St & Meserole Ave	(3, 3) 
Fulton St & Rockwell Pl	(3, 2) 
21 St & 43 Ave	(2, 3) 
Henry St & Degraw St	(3, 3) 
2 Ave & 36 St - Citi Bike HQ at Industry City	(1, 0) 
Stanton St & Chrystie St	(14, 12) 
49 Ave & 21 St	(0, 2) 
Park Pl & Church St	(11, 15) 
7 St & 3 Ave	(1, 1) 
Sullivan Pl & Bedford Ave	(1, 0) 
Crescent St & Ditmars Blvd	(0, 1) 
Henry St & Grand St	(7, 5) 
Forsyth St & Canal St	(12, 5) 
E 72 St & Park Ave	(4, 2) 
W 78 St & Broadway	(5, 5) 
E 27 St & 1 Ave	(13, 7) 
28 Ave & 35 St	(1, 0) 
St James Pl & Pearl St	(4, 4) 
Carlton Ave & Dean St	(5, 1) 
DeKalb Ave & S Portland Ave	(0, 2) 
Pioneer St & Van Brunt St	(0, 1) 
N 6 St & Bedford Ave	(165, 163) 
Broadway & E 22 St	(25, 21) 
Park Pl & Vanderbilt Ave	(8, 3) 
Stanton St & Norfolk St	(9, 3) 
W 82 St & Central Park West	(2, 1) 
Morningside Ave & W 123 St	(2, 0) 
Union St & Nevins St	(0, 1) 
5 Ave & 3 St	(2, 4) 
Columbia Heights & Cranberry St	(0, 1) 
Broad St & Bridge St	(81, 82) 
West End Ave & W 107 St	(0, 1) 
9 St & 44 Rd	(0, 2) 
E 88 St & Park Ave	(0, 2) 
Amsterdam Ave & W 73 St	(11, 13) 
Broadway & Moylan Pl	(1, 1) 
E 13 St & Avenue A	(13, 5) 
Howard St & Centre St	(172, 173) 
Spruce St & Nassau St	(4, 4) 
Cadman Plaza E & Johnson St	(0, 4) 
Lexington Ave & Classon Ave	(3, 2) 
Lexington Ave & E 36 St	(5, 5) 
E 32 St & Park Ave	(12, 15) 
Water - Whitehall Plaza	(8, 4) 
Broadway & W 38 St	(5, 6) 
31 St & Northern Blvd	(1, 0) 
5 St & 6 Ave	(3, 0) 
W 95 St & Broadway	(3, 3) 
Clinton St & Union St	(3, 1) 
Norfolk St & Broome St	(6, 12) 
E 106 St & Madison Ave	(0, 1) 
W 52 St & 5 Ave	(9, 8) 
Clinton St & 4 Place	(3, 0) 
Carlton Ave & Park Ave	(1, 4) 
40 Ave & Crescent St	(0, 2) 
Bank St & Hudson St	(159, 157) 
W 106 St & Amsterdam Ave	(2, 2) 
Clark St & Henry St	(2, 3) 
President St & Henry St	(1, 1) 
W 100 St & Broadway	(2, 1) 
Riverside Dr & W 104 St	(1, 3) 
W 37 St & 5 Ave	(6, 4) 
6 Ave & 9 St	(1, 4) 
E 47 St & 2 Ave	(5, 8) 
Washington Pl & Broadway	(8, 6) 
Central Park West & W 72 St	(5, 2) 
35 Ave & 37 St	(0, 1) 
E 114 St & 1 Ave	(1, 1) 
South End Ave & Liberty St	(23, 16) 
E 12 St & 4 Av	(6, 8) 
E 58 St & 1 Ave (NE Corner)	(0, 1) 
Greenwich Ave & 8 Ave	(17, 15) 
Broadway & W 49 St	(6, 10) 
E 53 St & Madison Ave	(8, 5) 
Montrose Ave & Bushwick Ave	(2, 1) 
Bond St & Fulton St	(6, 8) 
9 Ave & W 18 St	(14, 4) 
Pike St & Monroe St	(4, 6) 
Mercer St & Spring St	(13, 11) 
Cadman Plaza West & Montague St	(1, 0) 
W 20 St & 11 Ave	(14, 25) 
Berry St & N 8 St	(1, 2) 
Perry St & Bleecker St	(8, 5) 
5 Ave & E 73 St	(4, 3) 
E 45 St & 3 Ave	(5, 11) 
Eastern Pkwy & Franklin Ave	(4, 3) 
Central Park North & Adam Clayton Powell Blvd	(0, 1) 
W 17 St & 8 Ave	(12, 13) 
E 52 St & 2 Ave	(5, 11) 
MacDougal St & Washington Sq	(6, 1) 
E 82 St & East End Ave	(1, 2) 
E 24 St & Park Ave S	(19, 26) 
Old Slip & Front St	(5, 4) 
Center Blvd & 48 Ave	(13, 16) 
Clermont Ave & Park Ave	(1, 1) 
E 89 St & 3 Ave	(2, 4) 
Union St & 4 Ave	(3, 1) 
Willoughby Ave & Wyckoff Ave	(0, 1) 
E 47 St & Park Ave	(15, 16) 
Jackson St & Leonard St	(1, 0) 
E 7 St & Avenue A	(15, 15) 
McGuinness Blvd & Eagle St	(24, 22) 
Columbia St & Rivington St	(2, 5) 
Allen St & Rivington St	(12, 8) 
Graham Ave & Grand St	(1, 2) 
Central Park West & W 100 St	(1, 1) 
Mt Morris Park W & W 120 St	(1, 1) 
47 Ave & Skillman Ave	(1, 2) 
Hope St & Union Ave	(2, 1) 
Willoughby St & Fleet St	(18, 11) 
10 Ave & W 28 St	(5, 6) 
E 66 St & Madison Ave	(1, 2) 
Catherine St & Monroe St	(6, 0) 
Kane St & Clinton St	(0, 1) 
W 45 St & 6 Ave	(9, 7) 
Park Ave & St Edwards St	(1, 0) 
2 Ave & E 31 St	(11, 10) 
Boerum St & Broadway	(1, 0) 
Jay St & Tech Pl	(2, 2) 
10 St & 5 Ave	(0, 1) 
Rivington St & Chrystie St	(10, 6) 
Lewis Ave & Kosciuszko St	(1, 1) 
Flushing Ave & Vanderbilt Ave	(3, 5) 
Riverside Dr & W 91 St	(3, 4) 
11 Ave & W 27 St	(14, 17) 
E 6 St & Avenue D	(8, 5) 
Berkeley Pl & 7 Ave	(6, 2) 
E 84 St & Park Ave	(2, 1) 
3 Ave & E 72 St	(0, 1) 
Prospect Pl & Underhill Ave	(1, 0) 
E 84 St & 1 Ave	(7, 10) 
Fulton St & Clermont Ave	(0, 2) 
E 51 St & Lexington Ave	(132, 131) 
W 15 St & 10 Ave	(145, 134) 
Union St & Bedford Ave	(2, 1) 
Gansevoort St & Hudson St	(5, 7) 
Wythe Ave & Metropolitan Ave	(16, 22) 
E 2 St & Avenue A	(23, 12) 
Bedford Ave & Nassau Ave	(7, 10) 
West Thames St	(12, 17) 
Bond St & Bergen St	(3, 1) 
E 84 St & 3 Ave	(13, 11) 
Jackson Ave & 46 Rd	(3, 1) 
48 Ave & 5 St	(2, 1) 
Carroll St & 5 Ave	(2, 1) 
Lispenard St & Broadway	(196, 196) 
Nassau Ave & Russell St	(4, 2) 
Halsey St & Tompkins Ave	(1, 0) 
Madison Ave & E 82 St	(2, 5) 
W 47 St & 10 Ave	(5, 9) 
Devoe St & Lorimer St	(1, 0) 
Front St & Washington St	(5, 10) 
Sterling Pl & Bedford Ave	(1, 1) 
Frederick Douglass Blvd & W 112 St	(2, 1) 
Washington Pl & 6 Ave	(8, 5) 
Broadway & W 37 St	(10, 8) 
W 26 St & 10 Ave	(6, 7) 
2 Ave & E 99 St	(1, 0) 
E 81 St & York Ave	(83, 81) 
Fulton St & Broadway	(22, 18) 
Cadman Plaza E & Red Cross Pl	(3, 6) 
Hanson Pl & Ashland Pl	(5, 9) 
Meserole Ave & Manhattan Ave	(4, 8) 
Henry St & Middagh St	(1, 1) 
Queens Plaza North & Crescent St	(1, 2) 
Prospect Park West & 8 St	(2, 0) 
E 68 St & 3 Ave	(3, 1) 
Greenpoint Ave & Manhattan Ave	(6, 10) 
E 89 St & York Ave	(4, 6) 
E 102 St & 1 Ave	(1, 2) 
11 Ave & W 59 St	(10, 12) 
Front St & Maiden Ln	(6, 7) 
E 16 St & Irving Pl	(11, 8) 
Lenox Ave & W 130 St	(2, 2) 
W 59 St & 10 Ave	(6, 7) 
W 45 St & 8 Ave	(8, 7) 
E 19 St & 3 Ave	(5, 9) 
Bank St & Washington St	(9, 12) 
Central Park S & 6 Ave	(12, 9) 
3 St & 7 Ave	(62, 65) 
Fulton St & William St	(7, 11) 
Laight St & Hudson St	(5, 5) 
E 43 St & 2 Ave	(13, 3) 
1 Ave & E 16 St	(24, 24) 
Douglass St & 3 Ave	(2, 4) 
Grand St & Elizabeth St	(19, 20) 
Milton St & Franklin St	(6, 16) 
Barrow St & Hudson St	(7, 12) 
Columbia St & Kane St	(2, 3) 
W 50 St & 9 Ave	(8, 5) 
Peck Slip & Front St	(7, 4) 
7 Ave & Central Park South	(7, 5) 
5 Ave & E 29 St	(12, 10) 
Leonard St & Church St	(11, 7) 
West St & Chambers St	(24, 31) 
45 Rd & 11 St	(6, 2) 
E 2 St & Avenue B	(9, 16) 
Roebling St & N 4 St	(2, 1) 
W 31 St & 7 Ave	(17, 7) 
W 21 St & 6 Ave	(30, 14) 
8 Ave & W 33 St	(14, 23) 
Cleveland Pl & Spring St	(18, 20) 
Duane St & Greenwich St	(11, 4) 
E 31 St & 3 Ave	(4, 8) 
Division St & Bowery	(9, 9) 
Clinton Ave & Myrtle Ave	(95, 98) 
W 63 St & Broadway	(5, 8) 
Central Park West & W 68 St	(7, 8) 
E 39 St & 2 Ave	(13, 19) 
Columbus Ave & W 95 St	(0, 2) 
Graham Ave & Withers St	(2, 1) 
E 67 St & Park Ave	(2, 3) 
S Portland Ave & Hanson Pl	(3, 1) 
Bialystoker Pl & Delancey St	(4, 2) 
E 47 St & 1 Ave	(3, 6) 
1 Ave & E 68 St	(8, 11) 
E 48 St & 5 Ave	(15, 17) 
Broadway & W 41 St	(17, 17) 
Broadway & Roebling St	(4, 0) 
W 42 St & 8 Ave	(8, 8) 
South St & Whitehall St	(10, 7) 
Jay St & York St	(3, 8) 
Lexington Ave & E 26 St	(9, 12) 
Willoughby Ave & Tompkins Ave	(1, 3) 
E 25 St & 1 Ave	(4, 8) 
Warren St & Court St	(1, 2) 
University Pl & E 8 St	(11, 6) 
E 93 St & 2 Ave	(0, 2) 
St James Pl & Oliver St	(11, 3) 
Knickerbocker Ave & Thames St	(0, 1) 
Lafayette St & Jersey St	(19, 27) 
McKibbin St & Bogart St	(1, 0) 
E 103 St & Lexington Ave	(1, 0) 
W Broadway & Spring Street	(19, 8) 
Schermerhorn St & Court St	(0, 2) 
3 St & Prospect Park West	(3, 5) 
Myrtle Ave & Lewis Ave	(0, 2) 
Court St & Nelson St	(0, 1) 
W 120 St & Claremont Ave	(2, 0) 
Carroll St & Franklin Ave	(0, 1) 
Lorimer St & Broadway	(1, 0) 
Franklin St & Dupont St	(3, 2) 
Monroe St & Bedford Ave	(3, 0) 
W 129 St & Convent Ave	(0, 1) 
Cedar St & Myrtle Ave	(0, 2) 
5 Ave & E 78 St	(8, 5) 
Carroll St & Smith St	(3, 3) 
Macon St & Nostrand Ave	(0, 1) 
W 52 St & 11 Ave	(5, 8) 
North Moore St & Greenwich St	(53, 68) 
Broadway & Berry St	(11, 8) 
W 41 St & 8 Ave	(17, 15) 
Bushwick Ave & Powers St	(1, 0) 
W 34 St & 11 Ave	(19, 9) 
E 6 St & Avenue B	(12, 6) 
2 Ave & E 72 St	(9, 10) 
Myrtle Ave & Marcy Ave	(1, 0) 
E 97 St & 3 Ave	(2, 0) 
W 22 St & 10 Ave	(12, 7) 
W 26 St & 8 Ave	(6, 13) 
6 Ave & Broome St	(16, 14) 
8 Ave & W 52 St	(8, 6) 
