Washington Park	(4, 3) 
Vernon Blvd & 31 Ave	(0, 1) 
Vernon Blvd & 10 St	(0, 1) 
Grand Army Plaza & Plaza St West	(2, 0) 
Wyckoff Av & Jefferson St	(1, 0) 
Amsterdam Ave & W 79 St	(5, 2) 
31 St & Newtown Ave	(0, 3) 
Van Brunt St & Wolcott St	(1, 1) 
Carroll St & 6 Ave	(0, 3) 
Cumberland St & Lafayette Ave	(4, 2) 
Reade St & Broadway	(5, 7) 
Fulton St & Adams St	(121, 119) 
Classon Ave & St Marks Ave	(62, 46) 
Frederick Douglass Blvd & W 117 St	(0, 1) 
31 St & Thomson Ave	(1, 1) 
W 52 St & 6 Ave	(8, 7) 
Throop Ave & Myrtle Ave	(0, 1) 
Newtown Ave & 23 St	(0, 2) 
India St & Manhattan Ave	(7, 11) 
Bedford Ave & S 9 St	(4, 0) 
St Marks Pl & 1 Ave	(15, 9) 
Riverside Dr & W 82 St	(63, 77) 
E 72 St & York Ave	(9, 6) 
Washington Ave & Park Ave	(0, 4) 
Bayard St & Baxter St	(8, 13) 
Riverside Dr & W 78 St	(7, 5) 
Banker St & Meserole Ave	(1, 8) 
Fulton St & Rockwell Pl	(2, 3) 
Henry St & Degraw St	(2, 4) 
Stanton St & Chrystie St	(16, 9) 
49 Ave & 21 St	(0, 1) 
Park Pl & Church St	(10, 6) 
7 St & 3 Ave	(1, 1) 
2 Ave & 9 St	(2, 0) 
Henry St & Grand St	(3, 6) 
Forsyth St & Canal St	(8, 6) 
E 72 St & Park Ave	(3, 3) 
W 78 St & Broadway	(8, 2) 
E 27 St & 1 Ave	(5, 5) 
St James Pl & Pearl St	(1, 2) 
Carlton Ave & Dean St	(3, 1) 
DeKalb Ave & S Portland Ave	(2, 0) 
Pearl St & Anchorage Pl	(2, 6) 
Leonard St & Boerum St	(2, 2) 
N 6 St & Bedford Ave	(163, 164) 
Broadway & E 22 St	(19, 18) 
Park Pl & Vanderbilt Ave	(5, 7) 
31 St & 23 Ave	(0, 1) 
Stanton St & Norfolk St	(5, 4) 
W 82 St & Central Park West	(5, 1) 
W 107 St & Columbus Ave	(1, 0) 
Union St & Nevins St	(1, 1) 
5 Ave & 3 St	(1, 2) 
Columbia Heights & Cranberry St	(0, 1) 
Broad St & Bridge St	(71, 66) 
West End Ave & W 107 St	(3, 1) 
9 St & 44 Rd	(3, 3) 
E 88 St & Park Ave	(2, 1) 
Amsterdam Ave & W 73 St	(6, 6) 
Broadway & Moylan Pl	(1, 3) 
Spruce St & Nassau St	(10, 9) 
Howard St & Centre St	(192, 190) 
E 13 St & Avenue A	(15, 15) 
Broadway & Whipple St	(0, 1) 
Cadman Plaza E & Johnson St	(1, 3) 
Lexington Ave & Classon Ave	(2, 5) 
Broadway & W 38 St	(5, 6) 
E 32 St & Park Ave	(9, 9) 
Water - Whitehall Plaza	(2, 8) 
E 81 St & Park Ave	(1, 2) 
Lexington Ave & E 36 St	(1, 5) 
Clinton St & Union St	(2, 1) 
Norfolk St & Broome St	(4, 7) 
W 95 St & Broadway	(2, 4) 
Greene Ave & Throop Ave	(0, 1) 
E 106 St & Madison Ave	(0, 1) 
W 52 St & 5 Ave	(10, 12) 
Carlton Ave & Park Ave	(1, 1) 
Clinton St & 4 Place	(0, 1) 
Bank St & Hudson St	(177, 169) 
Clark St & Henry St	(3, 0) 
President St & Henry St	(1, 1) 
W 100 St & Broadway	(2, 1) 
Riverside Dr & W 104 St	(6, 4) 
W 37 St & 5 Ave	(3, 12) 
6 Ave & 9 St	(4, 2) 
Lenox Ave & W 126 St	(0, 1) 
E 47 St & 2 Ave	(6, 5) 
Washington Pl & Broadway	(7, 6) 
Central Park West & W 72 St	(2, 6) 
E 114 St & 1 Ave	(2, 0) 
South End Ave & Liberty St	(28, 31) 
E 58 St & 1 Ave (NE Corner)	(1, 3) 
Greenwich Ave & 8 Ave	(13, 13) 
E 53 St & Madison Ave	(5, 12) 
Broadway & W 49 St	(13, 12) 
Montrose Ave & Bushwick Ave	(0, 1) 
Bond St & Fulton St	(8, 6) 
Pike St & Monroe St	(6, 7) 
Mercer St & Spring St	(12, 7) 
Cadman Plaza West & Montague St	(2, 2) 
W 20 St & 11 Ave	(22, 26) 
Berry St & N 8 St	(1, 0) 
Perry St & Bleecker St	(19, 7) 
5 Ave & E 73 St	(6, 6) 
E 45 St & 3 Ave	(3, 7) 
Eastern Pkwy & Franklin Ave	(5, 3) 
Central Park North & Adam Clayton Powell Blvd	(0, 2) 
E 52 St & 2 Ave	(7, 6) 
MacDougal St & Washington Sq	(10, 6) 
S 4 St & Wythe Ave	(17, 14) 
E 82 St & East End Ave	(3, 2) 
E 24 St & Park Ave S	(14, 14) 
Old Slip & Front St	(11, 3) 
Center Blvd & 48 Ave	(6, 4) 
Clermont Ave & Park Ave	(1, 2) 
Clermont Ave & Lafayette Ave	(1, 1) 
E 89 St & 3 Ave	(5, 1) 
Union St & 4 Ave	(1, 2) 
Willoughby Ave & Wyckoff Ave	(0, 1) 
E 47 St & Park Ave	(10, 15) 
Jackson St & Leonard St	(1, 1) 
E 7 St & Avenue A	(9, 17) 
McGuinness Blvd & Eagle St	(23, 20) 
Columbia St & Rivington St	(4, 3) 
Allen St & Rivington St	(11, 5) 
Graham Ave & Grand St	(6, 2) 
Mt Morris Park W & W 120 St	(1, 0) 
Central Park West & W 100 St	(1, 1) 
47 Ave & Skillman Ave	(0, 2) 
St. Nicholas Ave & W 126 St	(0, 2) 
E 118 St & 3 Ave	(1, 0) 
Hope St & Union Ave	(1, 2) 
Willoughby St & Fleet St	(6, 6) 
Catherine St & Monroe St	(3, 1) 
Kane St & Clinton St	(1, 4) 
W 45 St & 6 Ave	(7, 5) 
Park Ave & St Edwards St	(1, 0) 
2 Ave & E 31 St	(8, 9) 
Jay St & Tech Pl	(7, 3) 
Boerum St & Broadway	(1, 0) 
Pulaski St & Marcus Garvey Blvd	(2, 0) 
10 St & 5 Ave	(0, 1) 
Garfield Pl & 8 Ave	(3, 2) 
Rivington St & Chrystie St	(13, 12) 
Lewis Ave & Kosciuszko St	(1, 1) 
Flushing Ave & Vanderbilt Ave	(3, 4) 
Riverside Dr & W 91 St	(5, 5) 
11 Ave & W 27 St	(20, 26) 
E 6 St & Avenue D	(3, 4) 
Berkeley Pl & 7 Ave	(10, 4) 
31 St & Broadway	(1, 2) 
E 84 St & Park Ave	(0, 4) 
3 Ave & E 72 St	(4, 4) 
Prospect Pl & Underhill Ave	(2, 4) 
E 84 St & 1 Ave	(6, 15) 
Fulton St & Clermont Ave	(1, 1) 
E 51 St & Lexington Ave	(122, 123) 
W 15 St & 10 Ave	(191, 207) 
Union St & Bedford Ave	(0, 1) 
Gansevoort St & Hudson St	(10, 15) 
Wythe Ave & Metropolitan Ave	(9, 10) 
E 2 St & Avenue A	(7, 13) 
Bedford Ave & Nassau Ave	(5, 6) 
Bond St & Bergen St	(0, 1) 
E 84 St & 3 Ave	(4, 16) 
E 55 St & 3 Ave	(9, 11) 
Jackson Ave & 46 Rd	(0, 1) 
48 Ave & 5 St	(4, 2) 
Carroll St & 5 Ave	(0, 2) 
Lispenard St & Broadway	(176, 178) 
Nassau Ave & Russell St	(4, 4) 
Madison Ave & E 82 St	(3, 1) 
Halsey St & Tompkins Ave	(0, 1) 
W 47 St & 10 Ave	(9, 7) 
Devoe St & Lorimer St	(3, 0) 
Front St & Washington St	(6, 8) 
Sterling Pl & Bedford Ave	(1, 1) 
Washington Pl & 6 Ave	(10, 6) 
Broadway & W 37 St	(8, 6) 
W 26 St & 10 Ave	(2, 16) 
2 Ave & E 99 St	(0, 1) 
E 81 St & York Ave	(79, 62) 
N 15 St & Wythe Ave	(1, 4) 
Lexington Ave & E 120 St	(2, 0) 
W 18 St & 9 Ave	(7, 7) 
Fulton St & Broadway	(12, 19) 
Hanson Pl & Ashland Pl	(5, 4) 
Cadman Plaza E & Red Cross Pl	(8, 10) 
