universal	(25979, 1006, 2)
universal	(31099, 2817, 3)
universal	(24956, 1955, 3)
universal	(31380, 1137, 2)
universal	(28055, 929, 1)
universal	(33447, 953, 2)
universal	(26960, 901, 1)
universal	(31502, 5533, 4)
universal	(26607, 922, 1)
universal	(16442, 925, 1)
universal	(34197, 603, 1)
universal	(19919, 7021, 8)
universal	(33994, 812, 3)
universal	(21180, 2514, 3)
universal	(28757, 742, 3)
universal	(30160, 1167, 2)
universal	(35090, 2081, 3)
universal	(28925, 219, 1)
universal	(25904, 968, 1)
universal	(26603, 442, 1)
universal	(25823, 851, 2)
universal	(30172, 2286, 2)
universal	(34000, 1231, 2)
universal	(35159, 1649, 2)
universal	(20775, 3853, 3)
universal	(35293, 1736, 4)
universal	(16006, 3486, 3)
universal	(25632, 569, 1)
universal	(32355, 1911, 2)
universal	(28225, 3853, 4)
universal	(30925, 2517, 5)
universal	(21256, 780, 2)
universal	(33871, 6502, 6)
universal	(28654, 639, 2)
universal	(31084, 742, 1)
universal	(30210, 2321, 3)
universal	(25811, 6920, 6)
universal	(19570, 824, 1)
universal	(27849, 4936, 4)
universal	(19757, 2685, 3)
universal	(19830, 1181, 4)
universal	(28462, 1429, 3)
universal	(27027, 2726, 3)
universal	(26809, 1245, 1)
universal	(15745, 1062, 2)
universal	(31540, 4002, 3)
universal	(33858, 3150, 6)
universal	(30020, 1790, 2)
universal	(29857, 3496, 5)
universal	(34354, 1334, 3)
universal	(28316, 1660, 2)
universal	(14570, 441, 1)
universal	(31046, 2214, 3)
universal	(30514, 516, 1)
universal	(30893, 3498, 2)
universal	(28855, 2483, 2)
universal	(30461, 7482, 6)
universal	(25815, 1978, 2)
universal	(19052, 2285, 3)
universal	(35108, 2185, 3)
universal	(28338, 620, 2)
universal	(25868, 501, 2)
universal	(30623, 211, 1)
universal	(29910, 944, 2)
universal	(26478, 1127, 2)
universal	(34038, 1632, 2)
universal	(30469, 2830, 4)
universal	(15140, 570, 2)
universal	(28572, 443, 1)
universal	(18680, 2526, 4)
universal	(17939, 298, 2)
universal	(32218, 6507, 4)
universal	(28852, 984, 2)
universal	(28645, 1224, 2)
universal	(31425, 1524, 3)
universal	(21155, 418, 2)
universal	(25452, 1905, 2)
universal	(16024, 2680, 2)
universal	(32930, 207, 1)
universal	(18496, 174, 1)
universal	(31593, 296, 1)
universal	(27428, 1429, 2)
universal	(25864, 219, 1)
universal	(20690, 725, 2)
universal	(15016, 1086, 1)
universal	(31078, 2521, 4)
universal	(34967, 2552, 4)
universal	(35289, 881, 2)
universal	(34407, 5760, 5)
universal	(19787, 159, 1)
universal	(31408, 256, 1)
universal	(15638, 3963, 4)
universal	(18282, 376, 1)
universal	(33175, 1269, 2)
universal	(30726, 1741, 2)
universal	(32194, 1662, 2)
universal	(30989, 1526, 4)
universal	(33780, 1713, 2)
universal	(17231, 953, 1)
universal	(28629, 315, 1)
universal	(25102, 70, 1)
universal	(31853, 211, 1)
universal	(34393, 4036, 5)
universal	(34013, 1863, 3)
universal	(26718, 984, 2)
universal	(35303, 5918, 8)
universal	(29892, 545, 1)
universal	(35161, 7074, 6)
universal	(26700, 3612, 6)
universal	(33803, 4666, 6)
universal	(35219, 1920, 2)
universal	(14938, 5372, 6)
universal	(27090, 1691, 4)
universal	(33882, 3556, 2)
universal	(15254, 2783, 3)
universal	(17711, 3710, 4)
universal	(26525, 1773, 4)
universal	(33938, 2242, 2)
universal	(17088, 1118, 2)
universal	(14627, 317, 1)
universal	(26849, 541, 2)
universal	(15522, 1077, 1)
universal	(34348, 4041, 4)
universal	(31645, 1366, 2)
universal	(30379, 2709, 2)
